execrable	ks. buruk sekali, benar-benar terlalu /keterlaluan. her dutch is e. bahasa belandanya buruk sekali.
execution	kb. 1 pelaksanaan. 2 law : menghukum mati, pelaksanaan hukum mati. 3 pembuatan . 4 penandatanganan, pengesahan / pengabsahan dengan penandatanganan.
executioner	kb. algojo.
executive	kb. pelaksana, eksekutip, laksanawan (of a firm). -ks. 1 eksekutip. 2 pelaksana. e. board meeting rapat kepala-kepala bagian.
executor	kb. wali, pengawas seseorang yang dalam surat wasiat ditunjuk sebagai pelaksana dari ketentuan-ketentuan dalam surat wasiat.
executrix	kb. wali wanita.
exegesis	kb. penjelasan, penafsiran.
exemplary	ks. patut dicontoh. e. behavior kelakuan yang patut dicontoh.
exemplification	kb. 1 pemberian contoh. 2 contoh.
exemplify	kkt. (exemplified) 1 memberikan contoh. 2 menunjukkan. his manners e. his breeding tingkah lakunya menunjukkan didikannya.
exempt	ks. dibebaskan. e. from taking examinations dibebaskan dari ujian. -kkt. membebaskan, mengecualikan.
exemption	kb. 1 pembebasan. e. from military duty pembebasan dari dinas militer. 2 pengecualian, potongan (for income tax purposes).
exercise	kb. 1 gerak badan. 2 latihan. 3 penggunaan, penghikmatan. -kkt. 1 menggunakan (a right, duty). 2 menjalankan, melakukan. 3 mengadakan. 4 meminta perhatian. -kki. bergerak badan.
exert	kkt. menggunakan, mendesak. to e. pressure menggunakan tekanan.
exertion	kb. 1 penggunaan, penyelenggaraan. 2 pemerasan / pengerahan tenaga, usaha.
exfoliation	kb. pengelupasan kulit.
exhalation	kb. pernapasan keluar.
exhale	kkt. mengeluarkan (dengan bernafas), menghembuskan. to e. air from the lungs mengeluarkan udara dari paru-paru. -kki. mengeluarkan napas.
exhaust	kb. tempat atau alat pembuangan uap atau gas. -kkt. 1 meletihkan, menghabiskan tenaga. 2 melemahkan. 3 menanduskan. 4 menyelesaikan. -exhausted ks. 1 kehabisan tenaga, sangat letih. 2 habis, terpakai. -exhausting ks. meletihkan, melelahkan.
exhaustion	kb. kelelahan, keletihan, kepayahan. to be in a state of e. dalam keadaan sangat lelah.
exhaustive	ks. yang mendalam, lengkap. e. search penyelidikan yang mendalam.
exhibit	exhibit , kb.pameran
exhibition	kb. pameran, pertunjukan. he gave e. of temper ia memperlihatkan kemarahan yang besar sekali.
exhibitionist	kb. orang yang suka sekali memperlihatkan kecakapan-kecakapannya.
exhilarate	kkt. meriangkan, menggembirakan. the atmosphere exhilarated us suasananya meriangkan kami. -exhilarating ks. yang menyegarkan, yang meriangkan.
exhilaration	kb. keriangan, kegembiraan.
exhort	kkt. mendesak. to e. s.o. to greater efforts mendesak seseorang untuk berusaha lebih keras.
exhortation	kb. 1 desakan. 2 nasihat, peringatan.
exhume	kkt. menggali (dari kuburan).
exigency	kb. (j. -cies) urgensi, keadaan darurat.
exile	kb. 1 pembuangan, pengasingan. 2 orang buangan. he was sent into e. dia dibuang. dia diasingkan. -kkt. mengasingkan, membuang.
exist	kkt. 1 ada. 2 hidup.- existing ks. yang ada. in e. circumstances dalam keadaan demikian.
existence	kb. 1 adanya. to be aware of its e. sadar akan adanya. 2 kehidupan, keadaan hidup. to come into e. menjelma, menjadi ada.
existential	ks. eksistensial.
existentialism	kb. eksistensialisme.
exit	kb. (jalan) keluar. to make a hasty e. keluar dengan cepat. -kkt. keluar, pergi, meninggalkan.
exodus	kb. 1 kepergian banyak orang. the june e. from school kepergian anak- anak dari sekolah dalam bulan juni. 2 bible : keluaran.
exogamy	kb. eksogami, perkawinan diluar suku, perkawinan campuran.
exonerate	kkt. membebaskan dari tuduhan/celaan, membuktikan tidak bersalah.
exorbitant	ks. melebihi yang biasa. e. price for a house harga yang terlalu tinggi untuk sebuah rumah.
exorcise	kkt. mengusir setan, membebaskan dari roh jahat. to e. a spirit from s.o. mengusir roh jahat dari tubuh seseorang, membebaskan seseorang dari roh jahat.
exotic	ks. aneh-aneh, luar biasa, asing. e. dishes makanan-makanan yang aneh-aneh, makanan dari negeri asing.
expand	kkt. memperluas, mengembangkan. to e. a business memperluas perusahaan. -kki. mengembang, meluas, memuai. -expanding ks. yang mengembang/berkembang.
expandable	ks. dapat diperluas/di(per)kembangkan.
expanse	kb. suatu ruang/bidang/permukaan yang luas. an ocean is a large e. of water samudera adalah permukaan air yang luas.
expansion	kb. 1 perluasan (of business). 2 pengembangan, pemuaian (of ballon, metal). 3 ekspansi.
expansive	ks. 1 luas. 2 meluap-luap. he's in on e. mood perasaannya meluap-luap.
expatiate	kki. mengarang/bercakap dengan panjang-- lebar.
expatriate	kb., ks. seorang yang melepas kewarganegaraannya. e. writer penulis dalam pengasingan. -kkt. 1 meninggalkan negeri asalnya. 2 mengusir, membuang (dari negeri asalnya).
expect	kkt. 1 mengharapkan. to e. him home tonight mengharapkan dia pulang malam ini. 2 menyangka. 3 mengira. what did you e. me to do ? apa yang kau kira akan saya perbuat/lakukan ?
expectancy	kb. (j. -cies) 1 pengharapan. 2 harapan. life e. harapan lamanya orang hidup, harapan panjangnya umur seseorang.
expectant	ks. 1 yang mengandung harapan. an e. smile senyuman yang mengandung harapan. 2 yang sedang mengandung, hamil. e. mother ibu yang sedang mengandung.
expectation	kb. (peng) harapan, dugaan. beyond expectations diluar dugaan.
expectorate	kki. meludah.
expediency	kb. (j. -cies) keadaan yang layak, kelayakan, kebijaksanaan, kemanfaatan, kegunaan.
expedient	kb. jalan yang berguna sekali. -ks. bijaksana. to take an e. course mengambil jalan yang bijaksana.
expedite	kkt. mempercepat, melancarkan. it will e. matters if we cooperate dengan bekerja sama kita akan menyelesaikan hal-hal lebih cepat.
expediter	kb. ekspeditur.
expedition	kb. 1 ekspedisi. 2 kecepatan.
expeditious	ks. 1 cara terbaik, tepat guna. 2 cepat.
expel	kkt. (expelled) 1 mengeluarkan, memaksa keluar. 2 mengeluarkan, menghembuskan. 3 membuang (from society group).
expend	kkt. 1 mengeluarkan, membelanjakan to e. money mengeluarkan uang. 2 mencurahkan. to e. time on a project mencurahkan waktu untuk suatu rencana.
expendable	ks. dapat dihabiskan.
expenditure	kb. pengeluaran, belanja.
expense	kb. biaya, ongkos. at the e. of 1 atas biaya. 2 dengan mengorbankan. -expenses j. ongkos-ongkos, pengeluaran-pengeluaran.
expensive	ks. mahal.
experience	kb. pengalaman. -kkt. mengalami. -experienced ks. berpengalaman. he is e. in reporting ia sudah berpengalaman sebagai wartawan.
experiment	kb. percobaan, eksperimen. e. station balai percobaan/penyelidikan. -kki. mengadakan percobaan (on/with dengan).
experimental	ks. bersifat percobaan. e project proyek percobaan.
experimentation	kb. (pelaksanaan suatu) percobaan, pencobaan.
expert	kb. ahli. to call in an e. minta nasehat seorang ahli. -ks. ahli. e. advice nasehat seorang ahli.
expertise	kb. keahlian.
expiration	kb. 1 waktu berakhir. e. date on an insurance policy tanggal berakhirnya polis asuransi. 2 penghembusan nafas terakhir, mati, meninggal.
