multifarious	ks. bermacam-ragam.
multigraph	kb. mesin pencetak. -kkt. mencetak dalam jumlah yang banyak.
multilateral	ks. lebih-pihak, multilateral.
multilevel	ks. bersusun, bertingkat-tingkat.
multilingual	ks. berbagai bahasa.
multimillionaire	kb. jutawan besar.
multinational	ks. berbagai bangsa.
multiple	kb. perkalian. lowest common m. kelipatan persekutuan terkecil.
multiplication	kb. perkalian. m. sign tanda kali. m. table daftar darab/perkalian.
multiplicity	kb. (j. -ties) keserbaragaman.
multiplied	lih multiply.
multiplier	kb. pengali.
multiplies	lih multiply.
multiply	kkt. (multiplied) 1 mengalikan (two numbers). 2 melipatgandakan. -kki. membiak, berbiak.
multipurpose	ks. serbaguna.
multiracial	ks. bersuku banyak.
multitude	kb. 1 banyak. to receive a m. of offers mendapat bertumpuk-tumpuk tawaran. 2 orang banyak.
mum	kb. inf.: bunga krisan. -ks. diam. to keep m. about s.t. tetap bungkam mengenai sesuatu.
mumble	kkt. berkomat-kamit. -kki. mengomel.
mumbo-jumbo	kb. birit-biritan/ucapan-ucapan kosong, upacara yang tiada berarti, omong-kosong.
mummy	kb. (j. -mies) 1 inf.: bu. 2 mumia.
mumps	kb., j. beguk, penyakit gondok/gondong.
mun.	[municipal] kota, kotapraja.
munch	kkt., kki. mengunyah.
mundane	ks. 1 keduniaan. 2 biasa.
municipal	ks. yang berkaitan dengan kota. m. government pemerintahan kota praja.
municipality	kb. (j. -ties) kotapraja, kotamadya.
munificence	kb. kemurahan hati.
munificent	ks. banyak sekali (of a gift).
munition(s)	kb. munisi, mesiu. m. dump gudang mesiu. m. plant paberik mesiu.
mural	kb. lukisan dinding.
murder	kb. pembunuhan. m. will out bangkai itu, bagaimana baik membungkusnya, akhirnya akan tercium juga. -kkt. 1 membunuh. 2 merusak (the king's english).
murderer	kb. pembunuh.
murderess	kb. pembunuh wanita.
murderous	ks. 1 kejam. 2 inf.: meletihkan (of work).
murkiness	kb. kegelapan, kemuraman, kesuraman.
murky	ks. kelam kabut, suram.
murmur	kb. 1 bisikan (of voice). 2 bunyi desioran yang abnormal (of heart). -kkt. membisikkan. -kki. berbisik.
mus.	1 (music) musik. 2 (museum) yang bersifat music). 3 (museum) musium).
muscle	kb. otot, urat. he didn't move a m. dia samasekali tak bergerak. -kki. sl.: to m. in masuk dengan kekerasan (on ke).
muscular	ks. berotot (tegap). m. strain ketegangan otot. m. dystrophy penyakit otot menyusut.
muse	kki. merenungkan, memikirkan. -musing kb. renungan.
museum	kb. musium.
mush	kb. 1 bubur. 2 inf.: omongan yang tolol.
mushroom	kb. jamur, cendawan. m. cloud awan bentuk cendawan dari ledakan bom nuklir. -kki. berkembang/tumbuh dengan cepat.
mushy	ks. 1 inf.: cengeng, sentimentil. 2 seperti bubur.
music	kb. 1 musik. m. lover penggemar musik. 2 buku musik. inf.: to face the m. menghadapi kesulitan dengan berani. to put to m. melagui.
musical	kb. komidi musik. -ks. berbakat musik. m. chairs permainan rebutan kursi dengan diiringi musik. -musically kk. dalam bidang musik.
musician	kb. pemain musik, pemusik, musikus. -musicians j. musisi, para pemain musik.
musicology	kb. ilmu musik.
muskrat	kb. tikus air.
muslim	kb. muslim, orang islam. lih moslem.
muslin	kb. kain tipis untuk gorden, tirai dll. kain kasa.
muss	kkt. 1 mengobrak-abrik (a room). 2 mengotorkan (the hands). 3 mengusutkan. her dress is mussed pakaiannya kusut.
mussel	kb. remis, kepah.
mussy	ks. berantakan, kacau, kusut.
must	kb. 1 keharusan. 2 lapuk. -ks. wajib, yang dimestikan. m. book buku wajib. -kkb. harus, mesti.
mustache	lih moustache.
mustard	mustard
muster	kb. apel, pengumpulan. to pass m. dapat diterima (setelah diperiksa), cukup baik. -kkt. mengumpulkan, mengerahkan. to m. out mengeluarkan.
mustiness	kb. keapakan, kelapukan.
mustn's	[must not]. lih must.
musty	ks. (berbau) apak, pengap.
mutation	kb. mutasi.
