sophisticate	kb. orang yang pintar dan berpengalaman dalam hal-hal duniawi.
sophistication	kb. pengalaman dalam soal-soal duniawi.
sophistry	kb. (j. -ries) cara berpikir yang menyesatkan, cara berpikir yang tidak masuk akal.
sophomore	kb. mahasiswa tingkat kedua. s. year tahun kedua.
soporific	kb. obat tidur/penidur. -ks. membuat mengantuk, mengantukkan.
soppy	ks. 1 basah (clothes). 2 lembab, basah (weather).
soprano	kb. 1 penyanyi sopran. 2 suara sopran.
sorcerer	kb. tukang/ahli sihir.
sorceress	kb. ahli sihir wanita.
sorcery	kb. (j. -ries) ilmu sihir.
sordid	ks. 1 kotor, jorok (environment). 2 kototr, mesum (stories).
sore	kb. luka. -ks. 1 sakit. i have a s. arm tanganku sakit. 2 marah. don't get s. at me jangan marah kepada saya. 3 menjengkelkan. -sorely kk. terasa, dengan berat. he'll be s. missed kepergiannya akan terasa berat.
sorehead	kb. inf.: pemarah, orang yang mudah mendongkol.
soreness	kb. rasa sakit, kesakitan.
sorghum	kb. 1 sejenis tanaman yang menyerupai jagung atau gandum. 2 semacam ceng, tetes, air gula.
sorority	kb. (j. -ties) perkumpulan mahasiswi/wanita.
sorrel	kb. 1 merah bata, coklat merah/ kemerah-merahan (color). 2 kuda cokelat kemerah-merahan (horse).
sorrow	kb. 1 dukacita. there was s. on her face wajahnya membayangkan rasa dukacita. 2 penderitaan. -kki. to s. over berdukacita atas.
sorrowfull	ks. sedih.
sorry	ks. 1 menyesal. 2 menyedihkan. 3 ma'af.
sort	kb. 1 orang. 2 macam, rupa. 3 jenis. 4 yang demikian. -kkt. menyortir, memisah-misahkan (mail, clothes). -sorting kb. penyortiran.
sorter	kb. tukang sortir/pilih. s. of mail tukang sortir surat-surat (pos).
sortie	kb. serangan tiba-tiba/mendadak.
sos	kb. isyarat darurat, panggilan minta tolong.
sot	kb. pemabuk.
souffle	kb. kue dadar pakai telur. cheese s. kue dadar keju.
sought	lih seek.
soul	kb. 1 jiwa. 2 arwah. 3 orang, makhluk.
soul-searching	kb. mempertimbangkan masak-masak. ks. mendalam.
soulful	ks. menggetarkan jiwa/hati, penuh perasaan. s. music musik yang menggetarkan jiwa.
sound	kb. 1 bunyi. 2 suara. 3 selat. to s. off memperdengarkan. -sounding kb. pengukuran dalam air dengan gema suara atau dengan pengukuran, dugaan.
sounder	kb. orang atau alat yang membunyikan sesuatu (of an alarm).
soundly	kk. keras-keras. to spank s. menampar dengan keras.
soundness	kb. 1 kesehatan (of body). 2 kekuatan, kesehatan, kesegaran (of mind). 3 kebaikan (of an enterprise). 4 hal-hal yang menguatkan (of an argument).
soundproof	ks. tahan suara, tak tembus suara. -kkt. menjadikan sebuah kamar tahan bunyi/suara (a room).
soup	kb. 1 sup, sop. vegetable s. sop sayur. 2 sl.: kabut. s. kitchen dapur umum.
soupbone	kb. tulang sup.
soupy	ks. tebal, pekat (fog, weather).
sour	ks. 1 asam, masam. s. cream susu asam. s. face muka asam. 2 tidak enak (of remarks). -kk. asam. to turn s. manjadi asam/basi. -kkt. membuat kapok/jera. -kki. menjadi asam, kemasaman (of milk).
source	kb. 1 sumber (of information, news). 2 sumber, mata air (of a well, river). s. of infection asal permulaan infeksi.
sourpuss	kb. inf.: pengomel, pencomel, perengut.
souse	kb. sl.: pemabuk. -kkt. menceburkan. -soused ks. sl.: mabuk.
south	kb. selatan. to live in the s. berdiam di as bagian selatan. -ks. selatan. south-southeast ks. selatan menenggara. south-southwest ks. selatan membarat daya.
southeast	kb. bagian tenggara. he lives in the s. dia tinggal di as bagian tenggara. -ks. tenggara. s. asia tenggara. s. wind angin tenggara. the wind is s. angin menenggara.
southeasterly	ks. dari arah tenggara, di sebelah tenggara.
southeastern	ks. bagian tenggara.
southerly	ks. dari/ke arah selatan. s. wind angin selatan.
southern	ks. selatan. she is s. dia orang selatan. s. dialect logat bagian selatan. s. exposure menghadap ke selatan (of a room, house).
southerner	kb. orang selatan.
southernmost	ks. bagian paling selatan.
southland	kb. daerah selatan.
southpaw	southpaw
southward(s)	kk. menuju ke selatan, menyelatan.
southwest	kb. bagian barat-daya. he lives in the s. dia tinggal di as bagian barat daya. -ks., kk. barat-daya.
southwesterly	ks. dari arah barat-daya, di sebelah barat-daya.
southwestern	ks. barat-daya.
souvenir	kb. tandamata, oleh-oleh.
sovereign	kb. raja, yang berkuasa. s. rule pemerintahan tertinggi. s. right hak-hak yang berkuasa. s. of the seas penguasa lautan. s. power kekuasaan yang memerintah.
sovereignty	kb. (j. -ties) kedaulatan. transfer of s. penyerahan kedaulatan.
soviet	kb. sovyet. s. publications publikasi-publikasi sovyet. s. union sovyet.
sow	kkt. (sowed, sowed atau sown) 1 menaburkan (seeds). 2 menyebarkan (dissension). to s. land with wheat menaburi tanah dengan gandum.
sower	kb. penabur.
sown	lih sow kkt.
sox	= socks.
soy	kb. kedele. s. sauce kecap.
soya	lih soy.
soybean	kb. (kacang) kedelai.
sp.	[spelling] ejaan. 2 [special] istimewa, khusus, tertentu. 3 [species] jenius. 4 [spirit] semangat ; minuman keras.
spa	kb. 1 sumber air mineral. 2 tempat pemandian air panas.
space	kb. 1 tempat. 2 angkasa. 3 ruang. 4 spasi, jarak. 5 (jangka) waktu. -kkt. memberi jarak (flowers). s. fiction cerita khayalan yang berhubungan dengan angkasa raya. s. flight penerbangan (ruang) angkasa. -spacing kb. jarak, mengadakan jarak.
spacecraft	kb. kendaraan angkasa.
spaceman	kb. (j. -men) angkasawan, antariksa.
spacer	kb. pengatur jarak (pada mesin tik).
spaceship	kb. tembakan ke ruang angkasa.
spaceshot	kb. kendaraan/kapal angkasa.
spaceworthy	ks. sanggup terbang di angkasa luar.
spacious	ks. luas, lapang.
spaciousness	kb. keluasan, kelapangan.
spade	kb. 1 sekop. 2 kartu sekop. -kkt. menyekop, menggali dengan sekop.
spadework	kb. persiapan-persiapan, pekerjaan pendahuluan/persiapan.
spaghetti	kb. spageti.
spake	lih speak.
span	kb. jengkal (of a hand). 2 masa (of time). 3 jangka, waktu. 4 rentang (of a bridge). 5 sepasang (of horse). -kkt. (spanned) 1 merentang. 2 menjengkal (with the hand). 3 menjangkau.
span.	[spanish] 1 bahasa spanyol. 2 bangsa spanyol. 3 orang spanyol.
spangle	kb. kida-kida, kelip-kelip.
spangled	ks. berkelip-kelip.
spaniard	kb. orang spanyol.
spaniel	kb. anjing spanil. cocker s. anjing kecil yang berbulu panjang.
spanish	kb. bahasa spanyol. the s. j. orang-orang spanyol. -ks. spanyol.
spank	kb. tampar(an). -kkt. menampar, memukul (bagian pantat). -spanking kb. tamparan, pukulan di pantat. ks. inf.: amat, sekali. to have a s. good time bergembira sekali.
spar	kb. tiang kapal.
spare	kb. 1 ban serap (stire). 2 serap. -ks. 1 terluang, senggang (time). 2 kurus (man). -sparing ks. 1 berhemat. 2 secara hemat. -sparingly kk. dengan hemat.
sparerib	kb. tulang iga babi.
spark	spark
sparkle	kb. kilau, cahaya berkelip. i saw the s. in her eyes saya melihat matanya berseri-seri. -kki. berkilau-kilauan (of ornaments, lights). -sparkling ks. yang berkilauan.
sparkler	kb. kembang api yang mengeluarkan percikan api.
sparred	saling bertahan dan menyerang (of boxer).
sparrow	kb. burung pipit/gereja.
sparse	ks. jarang, tipis. s. growth of hair pertumbuhan rambut yang tipis. s. population penduduk yang jarang. -sparsely kk. jarang. this area is s. populated daerah ini jarang penduduknya.
sparseness	kb. kekurangan.
spasm	kb. kekejangan, kejang urat. to work in spasms bekerja angin-anginan.
spasmodic	ks. 1 tak teratur. s. interest perhatian yang tak tetap. 2 hebat (rage). 3 menyesak (cough). -spasmodically kk. tak teratur/tetap. he works s. dia bekerja tak teratur.
spastic	ks. kejang. s. disease penyakit yang disertai kekejangan.
spat	kb. pertengkaran, percekcokan.
spate	kb. banjir, hujan. s. of lincoln biographies banjir biografi-biografi lincoln.
spatial	ks. mengenai ruang/temat. s. relationship hubungan yang renggang.
spatter	kb. percik, renjisan. -kkt. memerciki (s.o. with mud). -kki. 1 memercik (of rain on a roof). 2 berhamburan (of bullets). 3 menyembur, merenjis, menjepret (of grease).
spatula	kb. sudip, kape.
spawn	kb. telur ikan, telur katak, dll. -kkt. 1 membiakkan (crime). 2 menimbulkan (political problems). 3 menelurkan. -kki. bertelur, menelur. spawning ground tempat (ikan) bertelur.
spay	kkt. memandulkan (binatang betina).
speak	kkt. (spoke, spoken) mengatakan. -kki. 1 berbicara. 2 berpidato. 3 berkata. -spoken ks. yang diucapkan. -speaking. kb. berpidato.
speakeasy	kb. (j. -sies) sl.: kedai minuman (keras) gelap.
speaker	kb. 1 pembicara, ahli pidato. he's a fluent s. of balinese ia seorang yuang berbicara lancar dalam bahasa bali. 2 (loud-) pengeras suara. 3 penutur (of a language).
spear	kb. tombak, lembing. -kkt. menombak.
spearhead	kb. 1 pelopor. 2 permulaan, bagian pertama, taraf permulaan. -kkt. mempelopori, membuka jalan bagi.
spearmint	kb. tanaman permen.
spec.	1 [special] istimewa, khusus. 2 [specimen] contoh. 3 [specification] spesifikasi, perincian.
special	kb. 1 rest.; makanan istimewa. 2 rr.: kereta api istimewa. 3 suratkabar istimewa. 4 pertunjukan tv yang tunggal. -ks. 1 istimewa, khusus. 2 luar biasa. -specially kk. khusus(nya).
specialist	kb. spesialis, ahli. he's a s. on ... dia seorang spesialis tentang... eye s. dokter ahli penyakit mata, dokter spesialis mata.
specialization	kb. spesialisasi, pengkhususan, pengahlian. high degree of s. spesialisasi yang mendalam.
specialize	kki. 1 berspesialisasi (in some field). 2 mengkhususkan, mengkhusus pada.
specialty	kb. (j. -ties) bidang/keahlian khusus. linguistics is his s. ilmu bahasa merupakan bidang khususnya.
specie	kb. mata uang.
species	kb. 1 jenis. s. of dog jenis anjing. 2 macam. the s. rumpun manusia.
specific	kb. obat. specifics j. pokok-pokok, seluk beluk. -ks. spesifik, khusus, tertentu. specifically kk. tegasnya, khususnya.
specification	kb. 1 spesifikasi, perincian. built to specifications dibangun menurut perencaan yang terperinci. 2 syarat, perincian (of a contract).
specificity	kb. ketegasan, kekhususan.
specifies	lih specify.
specify	kkt. (specified) 1 menetapkan. to s. the choice of color menetapkan pemilihan warna-warna. 2 menentukan. at a specified time pada waktu yang ditentukan.
specimen	kb. contoh, bahan percobaan. urine s. contoh air kencing. plant s. contoh tanaman. s. page contoh halaman. to take a s. of s.o's blood mengambil contoh darah. s. copy a) lembaran contoh. b) contoh buku.
specious	ks. tampaknya bagus. s. argument alasan yang kedengarannya saja bagus.
speck	kb. 1 noda (of dirt). 2 bintik (of color). he was just a s. on the horizon ia kelihatan sebagai sebuah bintik di kaki langit. 3 (jumlah) sedikit. we haven't a s. of fruit kami tak mempunyai buah-buahan barang sedikitpun.
speckle	kb. bintik, becak, kurik.
specs	kb., j. 1 inf.: kaca mata, tasmak. 2 inf.: perincian, spesifikasi.
spectacle	kb. tontonan, pertunjukan besar. to make a s. of o.s. berlagak, bertindak memalukan. -spectacles j. kacamata, tasmak.
spectacular	kb. perunjukan besar-besaran. -ks. hebat, spektakuler, mengagumkan, menakjubkan (view, career).
spectator	kb. penonton. s. sport olahraga tontonan.
specter	kb. hantu, momok.
spectrum	kb. (j. -tra, -trums) spektrum. the entire s. of political views seluruh aneka warna pandangan-pandangan politik.
speculate	kki. 1 memikirkan, mempertimbangkan. 2 berspekulasi, mengadu untung/nasib (on the market).
speculation	kb. 1 spekulasi (on the market). 2 pemikiran, renungan (about s.t.).
speculative	ks. spekulatif, bersifat untung-untungan.
speculator	kb. 1 spekulan. 2 tukang catut.
sped	lih speed.
speech	kb. 1 pidato. 2 kemampuan berbicara. 3 cara berbicara, logat.
speechless	ks. terdiam, terkelu.
speechmaking	kb. pengucapan pidato.
speed	kb. 1 kecepatan. 2 persneling. 3 sl.: amphetamine, penggiat jalannya darah (drug). -kkt. (sped) 1 mempercepat (the work). 2 mengirim dengan cepat (reinforcements). -speeding kb. melampaui batas kecepatan.
speedboat	kb. perahu motor cepat.
speeder	kb. pelanggar batas kecepatan.
speedometer	kb. pengukur cepat, meteran kecepatan.
speedster	kb. 1 pelanggar batas kecepatan. 2 pelari cepat. 3 kendaraan cepat, kapal cepat dsb.
speedway	kb. 1 gelanggang balapan mobil. 2 jalan raya untuk lalulintas cepat.
