cio	(congress of industrial organization) kongres organisasi industri
cipher	kb. 1 nol. 2 sandi rahasia. -kkt. inf.: memecahkan.
cir.	(circa) kira-kira. cir. 1964 kira-kira tahun 1964.
circle	kb. 1 lingkaran, bundaran. 2 lingkungan. 3 perkumpulan. -kkt. mengedari (the earth). -kki. berputar-putar. the plane circledfor an hour kapal terbang itu berputar-putar selama sejam.
circuit	kb. 1 perjalanan keliling. 2 kontak broken c. kontak putus.
circuitous	ks. yang memutar, tidak langsung. c. route jalan yang tidak langsung.
circular	kb. surat edaran, sirkuler. c. letter surat edaran, sirkuler. c. reasoning cara berfikir yang tak berujung pangkal. -ks. bundar. c. saw gergaji bundar.
circularity	kb. (j. -ties) bentuk bundar. there is some c. in his argument dalam mengemukakan alasannya terdapat sifat berputar-putar.
circularize	kkt. mengirimkan surat edaran. to c. the club members mengirimkan surat edaran kepada anggota perkumpulan.
circulate	kkt. mengedarkan (s.t.). -kki. 1 beredar. 2 bersebar. 3 berkunjung. circulating library perpustakaan yang meminjamkan buku-bukunya.
circulation	kb. 1 peredaran. c.of the blood peredaran darah. 2 oplah. this magazine has a tremendous c. majalah ini oplahnya besar sekali. 3 sirkulasi. c. of money sirkulasi uang.
circulatory	ks. yang berhubungan dengan peredaran c. system sistim/ susunan peredaran darah.
circumcision	kb. penyunatan, sunatan, khitanan.
circumcize	kkt. menyunat, mengkhitan, mengislamkan.
circumference	kb. lingkar, bundara, keliling. what is the c. of the earth? berapa panjang keliling bumi? c. of a circle keliling sebuah lingkaran.
circumflex	kb. sirkompleks. c. accent tanda sirkompleks ( ^ )
circumlocution	kb. pemakaian kata-kata yang terlampau banyak dan tidak perlu.
circumnavigate	kkt. mengelilingi (the earth).
circumnavigation	kb. pelayaran mengelilingi.
circumscribe	kkt. membatasi. opportunities in the job are circumscribed kesempatan-kesempatan maju dalam pekerjaan ini terbatas.
circumspect	ks. sangat berhati-hati. he's c. in this matter ia sangat berhati-hati dalam hal ini.
circumspection.	kb. kehati-hatian.
circumstance	kb. keadaan (sekitar) he's in good circumstances keadaannya baik. under no circumstance bagaimanapun juga (tidak). under the circumstances dalam keadaan itu.
circumstantial	kb. tidak langsung, sambil lalu.
circumvent	kkt. mengelakkan (regulations).
circus	kb. sirkus.
cirrhosis	kb. sirosis. c of the liver sirosis hati.
cistern	kb. waduk, bak/tangki air (biasanya dibawah tanah).
citadel	kb. benteng (biasanya untuk penjagaan dan pertahanan kota).
citation	kb. 1 surat pujian, surat/tanda penghargaan. 2 penggilan. 3 tanda/surat penghargaan. 4 kutipan, sitiran, sebutan (from s.t.).
cite	kkt. 1 menyebut(kan). 2 memuji.
citizen	kb. warganegara, wargakota.
citizenry	kb. (j -ries) rakyat (jelata), penduduk.
citizenship	kb. kewarganegaraan.
citrate	kb. garam/asam sitrat.
citric	ks. c. acid asam sitrat/limau.
citronella	kb. serai. c. oil minyak serai.
citrus	kb. pohon jeruk. c. fruit buah jeruk.
city	kb. (j. -ties) kota (besar) c. editor redaksi kota. city-wide ks. yang meliputi seluruh kota.
civet	kb. c. cat musang (kesturi).
civic	ks. bersifat kewarganegaraan. civic-minded ks. yang memikirkan kepentingan umum.
civics	kb. ilmu kewarganegaraan.
civies	kb. inf.: baju preman, pakaian sipil.
civil	ks. 1 sipil, perdata. 2 berhubungan dengan pemerintah. 3 penduduk. 4 sopan. c. code/law hukum perdat. c. liberty kebebasan perseorangan, hak penduduk. c. service pamong praja. c. war perang saudara. c. wedding kawin kantor.
