jentik	jentik-jentik mosquito larva.
jentret	(jakarta, java) row, line.
jenuh	1 surfeited, having had too much of s.t., sick and tired. 2 saturated.
jepang	japan, japanese.
jepet, jepit	1 tweezers. 2 clip, clamp.
jeprat	men-jeprat sprinkle, splash, splatter (of water). jeprat-jepret snap pictures.
jepret	sound of clicking or snapping . jepret-an stapler.
jepun	see jepang.
jeput	1. se-jeput hari all day long. 2. see jemput.
jera	1 be cured of a habit, learn o.'s lesson. 2 wary, chary, leery.
jerabai	ber-(jerabai-jerabai) with tattered edges, in tassels.
jeragan	see juragan.
jeragih	k.o. weed.
jerah	1. 1) abundant, plentiful. 2) prevalent (of disease, etc.). 2. learn a lesson, have had enough.
jerahak	ter-jerahak neglected, abandoned (of work, a problem, etc.).
jerahap	men-jerahap lie on o.'s stomach. ter-jerahak fall into a prone position.
jerait	ber-jerait(an) interwined, interwoven, intergrown (of plants, etc.).
jerajak	see jerjak.
jeram	1. rapids, cataracs. 2. see jaram.
jeramah	ber-jeramah tug or pull at. men-jeramah attack viciously, fall upon prey.
jerambab	see jerembab.
jerambah	platform terrace annexed to a house used for washing things.
jerambai	see jerabai.
jerambang	glow that sometimes appears at night over marshy areas.
jerami	1 dried rice stalks. 2 straw.
jeran	see jera.
jerang	men-jerang 1 heat s.t. 2 place s.t. on the fire or stove.
jerangau	the sweet flag, awild rush with pungent root stock and sweet-smelling flowers, widely used for medicinal purposes.
jerangkak	men-jerangkak crawl on hands and knees.
jerangkang	ber-jerangkang stick up, project upward. ter-jerangkang standing, in position projecting upward.
jerangkong	(java) skeleton.
jerap	men-jerap absorb. ter-jerap absorbed.
jerapah	giraflfe.
jerat	1 snate, lasso. 2 ruse, trick.
jeratan	noose, trap.
jerau	florid, deep red.
jeraus	nimble, sprightly.
jerawat	pimple, blackhead, acne.
jerbar	[jerman barat] west germany.
jerejak	adhere, stick.
jerembab,jerembap	men-jerembab throw o.s. down headlong.
jerembet	see jerepet.
jerembun	ter-jerembun suddenly become visible (of huge object).
jerempak	ber-, men-, ter- suddenly meet, suddenly come face to face with.
jereng	1. 1) squinting. 2) cross-eyed. 2. men-jereng spread s.t. out.
jerepet	1 linked together (of links in chain). 2 grown togheter (of fingers, etc.). jerepet-an coalescence.
jeri	1 frightened, afraid. men-jeri-kan fearsome.
jeriau	joists used to support floor or roof.
jerigen	see jeriken.
jerih	tired, weary. jerih-lelah/payah exertion, effort.
jeriji	1. finger. 2. see jeruji.
jeriken	jerrycan.
jering	1. pithecolobium tree, with edible seeds considered beneficial to kidneys. 2. k.o. cricket with strong chirping sound.
jerit	1 a scream, shriek. 2 clamor. 3 strong complaint.
jerjak	bars at window, grid, latticework.
jerkah	snarl, growl. men-jerkah snarl or snap at s.o.
jermal	fish trap conmsisting of closely spaced stakes behind which the fish get caught when the tide goes out.
jerman	german, germany.
jermang	props for boat on beach.
jernang	dragon's blood, red dye obtained from fruit of k.o. rattan.
jernih	1 clear (of water, air, eyes, etc.). pure (of liquids, etc.). make s.t. clear, clear up (a misunderstanding). 2 purify, cleanse. purification.
jeroan	(java) innards, entrails as food.
jerohok	ter-jerohok fall or sink into a hole.
jerojol	men-, ter-jerojol stick out.
jerongkang	jerongkang-korang head over heels. ter-jerongkang fall backward.
jerongkok	men-jerongkok sit with the chin on o,'s knees.
jerongkong	men-jerongkong lean forward and press chest against the knees. ter-jerongkong fall prostrate.
jerubung	awning, canopy, tarpaulin.
jeruji	1 trellis, grating, lattice. 2 grating, iron bars. ber-jeruji supplied with a grating or iron bars.
jeruju	k.o. small shrub.
jeruk	citrus fruit. jeruk-bali pomelo. jeruk-garut/kepruk tangering or orange that peels easly. jeruk-purut small fragrant k.o. lime used as medicine.
jerukun	men-jerukun cover or spread over.
jerukup	men-jerukup overarch.
jerumat	men-jerumat darn, mend.
jerumbai	tassle, fringe.
jerumun	1 lair of wild boar. 2 shelter, hide-out.
jerumus	men-jerumus-kan 1 drop s.t. on its face. 2 make s.t. fall down or into a hole.
jerung	k.o. large shark.
jerungkau	men-jerungkau hang down like hair over the face or branches of a willow tree.
jerungkis	bent upward. men-jerungkis damage, harm.
jerungkup	see jerukup.
jet	(av.) jet.
jetis	men-jetis make banging noise of firecracker.
jetisasi	replacing old fashioned aircraft with jets.
jetset	1 sophisticated, well trained. 2 (sl.) ugly but fashionable.
jewang	snatch s.t. up.
jewawut	see jawawut.
jewer	men-jewer 1 pull or tweak s.o.'s ear. 2 reprimand, scold s.o.
jiarah	see ziarah.
jiawang	k.o. monitor lizard.
jib	(naut.) jib sail.
jibaku	(japanese) 1 suicide attack. 2 make a suicide attack, participate in a suicide squad. ber-jibaku engage in a suicide attack.
jibakutai	(japanese) suicide squadron.
jiblah	aptitude, talent.
jibun	ber-jibun 1 pile (of work). 2 teem, swarm (of ants).
jicing	opium dust.
jidar	1 border around a letter or printed page. 2 wooden ruler.1 provide a line. 2 make a line with a ruler.
jidat	forehead.
jidor,jidur	see tanjidor.
jidwal	see jadwal.
jigo	(china) 25.
jigong	1 tartar, plaque, dirt on teeth. 2 dirty person, tramp. ber-jigong have dirt on it (of teeth).
jih	(lit.) target.
jihad	(islam) holy war. ber-jihad engage in a holy war.
jihat	side.
jihin	see jin 1.
jiitmeh	(china) twenty-first day of the first china month (end of the cap go meh celebration).
jijak	see jejak 1.
jijat	see jidat.
jijik	1 repugnant, abhorrent, nauseating. 2 disgusted, nauseated.1 loathe, abhor, abominate. 2 nauseating, loathsome.
jijit	see jinjit 2.
jika,jikalau	1 if. 2 when (future, general).
jilat	bootlicker.
jilat-jilat	men-jilat-jilat purr (of cat).
jilatisme	mental attitude characterized by seeking benefits by bootlicking.
jilbab	(islam) female headgear that exposes fase but not ears, neck, or hair.
jilid	volume. ber-jilid bound (of book, etc.). men-jilid bind (book, periodicals)
jimak	coitus. ber-, men- have sexual intercourse.
jimat	charm, talisman, amulet.
jimbit	se-jimbit a pinch, a small amount.
jin	1. 1) genie. 2) evil spirit. 2. gin.
jina,jinah	see zina.
jinak	1 tame, domesticated (animal). 2 gentle, docile, moderate. 3 (med.) benign (tumor).
jinawi	see gemah-ripah.
jinerap	absorbant.
