kreda	see krida.
kredap	ber-kredap-an glitter, shine, flicker.
kredep	scintillate.
kredibilitas	(fin.) credibility.
kredit	credit.
kreditir	/kreditor/ creditor.
kredo	(rel.) credo, creed.
krei	see kerai.
krem	1 cream of milk. 2 skin-care salve. 3 cream colored, light-yellow.
kremasi	cremation.
krematorium	crematorium.
kremes	k.o. cake made of cassava and palm sugar.
kremi	see keremi.
krempeng	see kerempang.
kremus	chew a.t. crispy into small pieces.
kreolin	creolin, a preparation of creosol and resin soap used as a deodorant and disinfecrant.
kreosot	creosote.
krep	crepe paper.
krepyak	blinds.
kreseh-peseh	see kareseh-peseh.
kresek	1. see keresek. 2. thin plastic bag with handle.
kresna	central figure of the mahabharata.
kresten	see kristen.
kretek	1. k.o. cigarette containing choped cloves. 2. (java) horse-drawn cart.
kri	[kapal republik indonesia] an indonesian flagship.
kriat-kriut	see keriang-keriut.
kribo	frizzy (of hair, like africans, melanesian, etc.).
kricika	(od.) scorpio.
krida	activity, physical activity (as opposed to office, school work).
kridit	see kredit.
kriditor	pupil who must repeat many school subjects.
kriir	create.
krim	see krem.
kriminal	/kriminil/ criminal (law, ast, etc.).
kriminalitas	/kriminalitet/ criminality.
kriminologi	criminology.
kring	1. cell, small group of believers who work together (e.g. catholics, etc.). 2. see kering 2.
kripik	see keripik.
krisis	crisis.
kristal	crystal.
kristalisasi	crystallization.
kristalisir	crystallize.
kristen	1 christian. 2 protestan.
kristenisasi	/kristianisasi/ christianization.
kristus	christ.
kriteria	criteria.
kriterium	criterion.
kritik	1 criticism. 2 critical.
kritikal	critical.
kritikus	critic.
kritis	critical, serious (of patient, situation).
kritisi	see kritikus.
kriuk-kriuk	see keriuk.
kriwil	see priwil.
kriya	skill.
kriyawan	male salesclerk.
kriyawati	female slaesclerk.
kroco	1. k.o. small snail. 2 of little value, of no great importance. 3 loest economic class.
kroket	croquettes.
krokot	purslane.
krol	see kerul.
kromo	1 the polite form of java used to and among upper-class people. 2 the common people.
kromosom	chromosome.
krompyang	1 sound of s.t. crashing to the floor. 2 sound of tin cans.
kron	see keron.
kroncong	see keroncong 1.
krong	see kerong.
kronik	chronicle.
kronis	chronic.
kronologi	chronology.
kronologis	chronological.
kropok	1 empty, without concent. 2 soft, weak. 3 moldy.
krosak	see kerosak.
krosboi	(coll.) delinquent youth.
krosgirl	(coll.) female delinquent.
krosmama	(coll.) a woman who goes after young men.
krosok	see kerosok 1.
krospapa	a man who goes after young women.
kroto	red ant eggs (fed to birds).
krtikawan	literary critic.
kruis	crotch.
kruk	crutches.
krukas	crankcase.
krul	see kerul.
kruntel	(java) rolled up, curled.
krupuk	see kerupuk.
krupukan	confused, doing s.t. hastily.
krus	see kerus, kurs.
krutuk	bombard.
ks	[kepala staf] chief of staff.
ksatria	see kesatria.
ktp	[kartu tanda penduduk/pengenal] residence indentification card.
ktt	[konperensi tingkat tinggi] summit conference.
ku	see kue.
ku-	first person agent marker of passive verb.
kuaci	see kwaci.
kuade	seat at which couples sit in wedding ceremony.
kuadran	quadrant.
kuadrat	quadrate.
kuah	gravy, broth, thin sauce, (thin) dressing.
kuak	1. low (of buffalo), croak (of frogs). 2. part (in the hair).
kuala	estuary, river mouth, confluence.
kualahan	see kewalahan.
kualat	1 accursed, damned. 2 struck down by a calamity.
kuali	1 wide-mouthed clay pot for cooking. 2 (in some regions only) iron wok.
kualifikasi	1 qualification, limitation. 2 qualification, fitness, eligibility
kualitas	quality.
kualitatif	qualitative.
kualitet	quality.
kualon	step-(relation). ibu-kualon stepmother.
kuangwung	k.o. beetle in coconut trees.
