maluku	moluccas.
malung	k.o. sea fish.
mam	1. (coll.) mother. 2. see maem.
mama	1 mother. 2 (ambon) aunt. 3 (ambon) term of address for women the age of o.'s mother.
mamah	chew. me-mamah chew, masticate. pe-mamah biak ruminant.
mamai	1 walk in o.'s sleep. 2 drowsy.
mamak	(m) mother's brother.
mamalia	mammals.
mamanda	term of respect for o.'s mamak, esp. in letters.
mamang	1. 1) dizzy. 2) frightened, confused. 2. (sunda) 1) term of address for parents' younger brother. 2) term of address for men older than the speaker, esp. as mang.
mambang	k.o. supernatural being associated with crimson sunsets.
mambeg	(java) stagnant (of water in a swamp or stream that is stopped up).
mambruk	k.o. bird from e. indonesia with unusual plumage.
mambu	(java) smelling bad. tainted.
mami	1 (child language) mother, mommy. 2 madame in a brothel.
mamik	tasting bad.
mampan	see mempan.
mampat	/mampet/ 1 solid, compact, compressed. 2 clogged up. 3 excellent, fine.
mampir	drop in, come by, call at.
mampu	1 capable, able. 2 well-to-do, wealthy. 3 afford, be able.
mampuh	see mampu.
mampung	porous (of coal, sponge).
mampus	(vulg.) 1 die. 2 exclamation about s.t. unfortunate.enterminate, finish off.
mamut	mammoth.
mana	1. 1) where. 2) which, which person. 3) how (can it be). 4) what kind, which kind. 2. particle preceding a list of problems o. is facing.
manai	pale, colorless (of complexion).
manajemen	management.
manalagi	name given to esp. good varieties of fruits (esp. mangos).
manao	k.o. large rattan.
manasik	manual, guide. manasik-haji guide for those going on the haji.
manasuka	as you like, voluntarily.
manat	firm and permanent agreement.
manau	see manao.
mancanegara	foreign countries.
mancawarna	varicolored, multicolored.
mancis	matches, lighter.
mancung	1 sharp, pointed. 2 dry sheath of a coconut.
manda	1. bear to do, put up with. 2. storage place for rice.
mandah	1. bear to do, put up with. 2. storage place for rice. 3. see malah.
mandala	1 arena, area in a circle. 2 area or field of operations.
mandam	1 drunk, intoxicated. 2 madly in love.
mandar	k.o. waterfowl.
mandarsah	see madrasah.
mandat	1 gvt. orders to make paymen. 2 mandate.
mandataris	o. entrusted with a mandate.
mandau	k.o. sword made in borneo.
mandeg	/mandek/ (java) 1 stop, get stuck, stall. 2 stagnate.
mandeng	(java) knowing o.'s proper position.
mandering	see mindering.
mandi	1 bathe, take a bath. 2 go swimming.
mandiang	see mendiang.
mandiri	stand alone, be autonomous.
mandor	see mandur.
mandraguna	invulnerable.
mandu	opinion, point of view, thesis.
mandul	barrent, sterile.
mandung	rooster, cock.
mandur	foreman, overseer.
maneken	/manekin/ mannequin.
manfaat	1 use, benefit. 2 profit.
mang	see mamang 2.
mangap	(java) 1 gape. 2 yawn.
mangau	agape.
mangga	1. mango. 2. /manggaq/ (sunda) please.
manggan	manganese.
manggis	/mangistan/ mangosteen.
manggung	1 coo (of doves). 2 perform (of a band, theater troupe, etc.).
manggut	nod (in agreement). manggut-manggut nod the head.
mangir	(java) k.o. powder to lighten the skin.
mangka	see maka.
mangkak	faded and dull.
mangkal	1. see pangkal. 2. see mangkel.
mangkasar	see makasar.
mangkat	(honorific) pass away, die, depart this world.
mangkel	annoyed, irritated.
mangkin	see makin.
mangkir	1 be absent. 2 be missing, lack. 3 fail.
mangkok	see mangkuk.
mangku	see pangku.
mangkubumi	o. of the high administrators in the malay and java courts.
mangkuk	cup, bowl.
mangkus	efficacious, effective.
mangoni	see mahoni.
mangpang-mungpung	taking advantage of a favorable situation (us. in an unsavory way).
mangro	in a dual capacity. ke-mangro-an duality.
mangsa	1 prey, bait. 2 victim.
mangsai	see masai.
mangset	see manset.
mangsi	1 (ling.) ink. 2 powdered charcoal for blackening the teeth.
mangu	1 confused, dazed. 2 taken aback, speechless. 3 thoughtful.
mangut	1 confused, dazed. 2 doze.
mangut-ikan	dish of fish in spicy coconut milk.
mani	sperm. pancuran-sperma ejaculation of sperm. per-mani-an insemination.
maniak	maniac.
manifes	bill of lading, manifest.
manifestasi	manifestation.
manifesto	manifesto, political statement.
manik	manik-mata pupil. manik-manik 1 beads. 2 beads of perspiration, small droplets.
manikam	gem, precious stone.
manikebu	[manifesto kebudayaan] anticommunist intellectual manifesto of 1964.
manikur	manicure.
manikuris	manicurist.
manipol	[manifesto politik] sukarno's 1959 manifeto of political orientation. manipol-usdek manifesto of political reorganization.
manipolis	o. who follow sukarno's 1959 manifesto.
manipolisasi	bringing society into conformity with sukarno's 1959 manifesto.
manipulasi	manipulation.
manipulir	manipulate.
manis	1 sweet. 2 talking sweetly. 3 attractive, cute. 4 nicely done. manis-an candy, sweets.
manisan	candy, sweets.1 sweetener. 2 cosmetics. 3 decoration.
manja	1 spoiled. 2 attached, friendly. 3 intimate, close in feeling.
manjung	1. k.o. large torch used during fishing. 2. k.o. small boat.
manjur	1 efficacious. 2 strong, effective. 3 powerful.
manover	maneuver.
manpaat	see manfaat.
mans	(crd.) game (in bridge).
manset	1 cuff. 2 cuff links.
mansuh	/ mansukh/ 1 abrogated. 2 expired, null, invalid. 2 cancel, annul.
mantab	see mantap.
mantakan	that is why, therefore.
mantan	former.
mantap	steady, stable, unwavering.
mantel	1 coat, cardigan, cape. 2 casting. 3 condom.
mantep	see mantap.
mantera	magic formula.
manteri	see mantri 1.
mantik	logic, thinking based on reason rather than emotion.
mantiki	logical.
mantol	see mantel.
mantram	see mantera.
mantri	1. low-ranking gvt. employee us. a technician. 2. see menteri.
mantu	1. (java) hold wedding for o.'s doughter. 2. see menantu.
mantuk	1. the real meanting. 2. nodding the head.
manuk	1 (java) bird (in set phrases). manuk-dewata bird of paradise. 2 (child language) penis.
manunggal	be united.
manusia	1 human being, man. 2 human.
manusiawi	human, humane.
manut	(java) obeidient, tending to follow ordesr
manuver	see manover.
manyala-bob	(sl.) excellent, terrific.
manyar	see burung.
manyun	pout in distate.
manyung	k.o. fish.
manzil	rest house, a place to spend the night on a trip.
maoni	see mahoni.
map	portfolio, file folder. map-ordner/ortner/thick folder with clips. map-snelhekhter binder with clips.
mapak	meet s.o., welcome.
mapalus	mutual assistence.
mapan	(java) established, in proper place, order.
mapang	show, display.
mapram	[masa prabakti mahasiswa] time of initiating freshmen as full-fledged members of the student body.
mar	(che.) queen.
mara	1. danger, disaster. 2. advance, progress, approach.
marabunta	k.o. voracious african ant.
marah	1 angry. 2 anger, fury. 3 become angry.
marajalele	see maharajalela.
marak	glow, luster.
marakas	k.o. percussion instrument, maraca.
maras	very anxious, frightened.
maraton	marathon.
marawal	1 banner. 2 (mil.) the colors.
marbut	caretaker of the mosque.
marcapada	the earth, this world as opposed to heaven (in wayang stories).
marem	(java) satisfied, content, complacent.
maret	march.
marga	1. 1) (batak) clan. 2) (biol.) genus. 3) (south sumatra) district. 4) family name. 2. (lit.) street, way. bina-marga highway construction, road maintenance.
margarin	margarine.
margasatwa	wild animals, fauna.
marge	/marse/ margin.
marhaban	(islam) welcome ! (esp. used in islam school circles).melody for praising the prophert on mikraj.
marhaen	working classes : peasantry, petty vendors, small-time artisans.
marhaeni	female marhaen.
marhaenis	o. who fights for the interest of the have-nots.
marhaenisme	movement to fight for the interests of the have-nots.
marhum	see almarhum.
marhumah	the late (female).
mari	1 come here. 2 please (do). 3 goodbye. 4 let us (do).
marihuana	see marijuana.
marijuana	/mariyuana/ marijuana.
marikan	(coll.) american.
marikh	mars.
marin	(coll.) see kemarin.
marinir	marine, marines.
maritim	maritime.
marjin	margin (of profit).
markas	1 station, office. 2 army or police post, barracks. markas-besar headquarters.
markis	1. awning against sun. 2. k.o. setting for gems.
markisa	/markisah/ 1 passion fruit. 2 syrup made from passion fruit.
markonis	ship's radio operator.
marksis	marxist.
marksisme	marxism.
marmar	/marmer/ marble.
marmot,marmut	guinea pig.
maro,maron	/maron/ (java) system of renting rice fields sharing the crop 50-50.
mars	marching tune.
marsda	[marsekal muda] major general in the air force.
marsdya	[marsekal madya] lieutenant general in the air force.
marsekal	air marshal.
marsma	[marsekal pertama] brigadier general in the air force.
marsose	military police, constabulary of colonial period.
martabak	k.o. thick folded crepe filled with spices and pieces of meat.
martabat	1 rank, grade, status. 2 prestige. 3 value. 4 (chem.) valence.
martel	see martil.
martelar	see martir.
martil	hammer.
martir	(rel.) martyr. martydom.
marus	clotted blood (as in food).
marwah	1 pride, dignity. 2 manliness.
marxis	see marksis.
maryam	1 mariam. 2 (rel.) mary, the mother of jesus.
mas	1. 1) sir, brother (used to address or refer to contemporary males, including wife to husband, us. only for java). 2) java title below raden. 2. see emas.
masa	1. 1) time, period. 2) during. 3) phase. 2. see masak 1.
masa-bodoh	see masa 1.
masaalah	see masalah.
masai	tangled.
masak	1. impossible, it is inconceivable. 2. 1) ripe. 2) cooked, done. 3) mature. 4 experienced, ready to handle. 5) cook.
masakan	1) food, cooking. 2) cooking utensils.
masakat	difficulty.
masakh,masakan.	see masak 1.
masakini	the present time.
masal	massive.
masalah	1 problem, complication. 2 question.
masalla	see masya allah, mushola.
masam	sour, acid.
masap	me-masap evaporate.
masarakat	see masyarakat.
masdar	infinitive.
maseh	jesus, the messiah.
masehi	christian, us. protestant.
masgul	see masygul.
mashab	see mazhab.
mashaf	handwritten text of the koran.
mashur	see masyhur.
masih	see maseh.
masin	(java) 1 salty, briny. 2 brackish. masin-an pickles.
masin-masing	1 each. 2 respective, respectively.
masinasi	machinations.
masinis	engineer of a ship or locomotive.
masir	granular.
masjid	see mesjid.
masjul	see masygul.
maskapai	company, enterprise.
maskara	mascara.
maskat	k.o. shirt or outer jacket.
masker	1 makeup mask (for a facial). 2 gas mask, fencing mask.
maski	see meski.
maskot	mascot.
maskulin	masculine.
maslahat	use, benefit.
masmur	see mazmur.
massa	mass.
massal	see masal.
massalisasi	spread of s.t. to the masses.
mastautin	reside at.
mastika	see mestika.
masturbasi	masturbation.
masuk	1 enter, go into. 2 set (of the sun). 3 be present at work. 4 be included. 5 participate, join. 6 almost, just about.
masukan	input.
masup	(jakarta) see masuk.
masyaallah	(islam) good heavens ! my god ! (an exclamation expressing strong disapproval).
masyakat	see masakat.
masyarakat	1 society, community. 2 inhabitants, people.
masyawarat	see musyawarah.
masygul	sad, downhearted. arouse concern.
masyhur	well-known, famous.
masyrik	(lit.) the orient.
masyuk	(lit.) beloved, sweetheart.
masyumi	(majlis syuro muslimin indonesia) a modernist islam party prior to 1960.
mat	1. tempo. 2. /mat-matan/ (java) sitting around enjoying o.s.
mata	1. 1) eye. 2) the important part of s.t., source, center. 3) type. 4) cutting edge, point of s.t. sharp. 2. se-(mata-mata) only, nothing other than.
mata-mata	see mata 1.
matahari	the sun. matahari-terbenam sunset. matahari terbit sunrise.
matalamat	objective, target.
matang	1 ripe. 2 done, cooked. 3 mature, adult.
matari	see matahari.
matematik	/matematika/ mathematics.
matematikus	mathematician.
matematis	see mathematical.
mateng	see matang.
materi	see meterai.
materialis	/materialistis/ materialistic.
materiil	material (help, contribution).
materos	see matros.
mati	1 die, be dead. 2 stop, go out (of lights, gas, etc.), stop existing 3 fixed, inflexible. 4 numb. 5 (ling.) word-final (of consonants not followed by a vowel).
matine	matinee.
matius	1 matthew. 2 (bib.) the book of mattew.
matlamat	see matalamat.
maton	(java) rational.
matra	1 dimension. 2 musical measure, bar. 3 ideal, measure.
matras	(sport) mattress, mat.
matros	sailor.
matu	units of weight for gold (= 2.4 carats).
mau	1 shall, will. 2 wish, want. 3 wish.
maujud	concrete, real, tangible.
maujudat	all that has existence, the universe.
maulana	(islam) 1 our lord. 2 the honorable (title of a muslim scholar).
maulid	/maulud/ (islam) 1 muh.'s birthday. 2 stories of muh.'s birth.
maung	1. stinking, disgusting 2. 1) roar of a tiger. 2) tiger.
maunya	would like.
maupun	/mau pun/ 1 although, in spite of the fact. 2 as well as.
maut	1 death. 2 hour of death for humans. 3 tremendous, terrible. pe-an, ke-an mortality.
mawar	rose.
mawas	1. orangutan. 2. mawas-diri self-correction through introspection.
mawut	chaotic, disorganized.
maya	illusion, hallucination. maya-maya clear and transparent.
mayang	spadix, palm blossom.
mayapada	world of the heavens (in wayang stories).
mayat	human corpse.
mayeur	see mayor2.
mayit	see mayat.
mayong	see mahyong.
mayor	1. (mil.) 1) major. 2) lieutenant commander. 2. (music) major (key).
mayoritas	majority.
mayur	see mayor 1, sayur.
mazbah	(islam) place of ritual slaughter.
mazhab	1 (islam) school of thought concerning muslim law 2 (rel.) sect. 3 school of thought, school of scientific discipline.
mazmur	1 (bib.) book of psalms. 2 psalm.
mb	[markas besar] headquarters.
mbad	[markas besar angkatan darat] army headquarters.
mbah	1 leader, champion. 2 see embah.
mbak	/mbakyu/ term of address to a java woman contemporary.
mbal	[markas besar angkatan laut] navy headquarters.
mbau	[markas besar angkatan udara] air force headquarters.
mbek	(java, coll.) 1 bleat. 2 goat.
mbeleri	(java) cut into something.
mbeling	1 naughty (of children). 2 antiestablishment, tongue-in-cheek literature or policy.
mbengok	(java) shout, yell.
mblekek	oversatiated, overfull.
mbois	behave and dress like a young man.
mbok	1. (java) a coaxing particle. 2. (java) form of address for older java woman of humble origin.
mbokmas	(java) see mbok 2.
mck	[mandi cuci kakus] public bathing, washing, and toilet facilities.
mebea-bingo	k.o. three-wheeled vehicle with motorcycle engine.
mebel	furniture.
mebeler	1 pertaining to furniture. 2 furniture.
mecicil	opened wide (of eyes) out of illness or bad behavior.
medali	medal.
medalyon	medallion, pendant.
medan	1 field, plain, square. 2 domain, realm.
medang	various luarinaceae trees or trees bearing similar timber.
mede	see mente.
media	media.
median	median.
mediasi	mediation.
medio-	medical.
medit	stingy.
meditasi	meditation.
medok	1. speaking with a heavy java (esp. west java) accent. 2. /meduk/ 1porous. 2 dirty, filthy. 3 done.
mee	[masyarakat ekonomi eropa] european common market
meester	see mester.
mega	cloud. mega-mendung rain cloud.
megafon	megaphone.
megah	1 glotious. 2 fame, glory. 3 luxurious, grandiose.
megal-megol	sway the hips provocatively.
megan	k.o. paste made from fruit.
megap-megap	gasp for breath.
megapon	see megafon.
megar	see mekar.
megat	spin (of a top).
megrek	1 continuously sick. 2 emaciated.
mei	may.
meja	1 table. 2 (crd.) dummy.
mejam	turn, spin.
mejan	see mejen.
mejen	dysentery.
mek	(sl.) term of address to a friend of either sex.
mekah	mecca.
mekanik	/mekanika/ (phys.) mechanics.
mekanis	mechanical.
mekanisasi	mechanization.
mekanisir	mechanize.
mekanisme	mechanism.
mekankan	/mekangkang/ see kangkang 1.
mekap	(coll.) makeup.
mekar	1 open up, blossom. 2 rise.
mekasi	see terimakasih.
mekis	see mengkis.
meksiko	mexico.
mel	1. report, present o.s. 2. illegal highway toll.
melabuhkan	1 drop, lower (anchor, blinds). 2 give birth to, drop (a foal, calf, etc.).
melacur	carry on or perform prostitution.
melacurkan	prostitute s.t.
meladeni	1 serve, wait on (a customer, etc.). 2 pay attention, listen to.
melahirkan	1 express, utter s.t. 2 think out (an idea).
melainkan	1 but, but rather. 2 except.
melak-melak	openly, clearly, obviously (when cheating s.o.).
melaka	malacca.
melakonkan	1 present (a play). 2 act out (a story, play, etc.).
melaksanakan	1 bring about, cause to materialize. 2 implement s.t., execute (an order). 3 perform (a religious obligation).
melakukan	1 carry out, execute. 2 make, do. 3 bring about. 4 commit, perpetrate (a crime).
melalap	eat such a dish, eat voraciously. 2 utterly destroy, defeat. 3 rape.
melalui	1 pass through (town, diplomatic, channels, etc.). 2 by means of.
melamar	1 ask for the hand of. 2 propose marriage to s.o. 3 apply for (a job).
melambai	wave o.'s hands.
melamban	1 be indolent, lazy. 2 be clumsy.
melambang	k.o. flat-bottomed boat.
melambangkan	1 symbolize. 2 demonstrate in a graphic way, epitomize.
melambatkan	1 retard, slow s.t. down or up. 2 delay.
melambungkan	throw, toss s.t. upward.
melamin	decorate the bed of the newlyweds.
melampai	graceful (of trees, women, etc.).
melampas	melampas
melampaui	1 pass by s.t., go by way of s.t. 2 pass over. 3 exceed, overstep.
melancong	go sightseeing, take a pleasure trip
melanda	1. attack violently, knock down s.o. 2.. pan (tin, gold).
melandakan	1 crash or ram s.t. into s.t. 2 pound, overwhelm (of storms, fire, etc.).
melandasi	base s.t. on.
melandaskan	1 rest s.t. on s.t. 2 base.
melanding	/melandingan/ k.o. fast-growing tree used for shading other plants, the beans of which are edible and the leaves of which are used as fodder.
melang	anxious, restless.
melangah	open s.t. widely.
melanggar	1 collide with s.t., run into s.t. 2 break (the law, etc.)., contravene.
melanggengkan	perpetuate, preserve.
melangit	1 soar skyward. 2 sky high.
melanglang	1 make the rounds. 2 wander.
