menguntir	twist.
menguntukkan	allocate, assign.
menguntungkan	cause s.o. to enjoy a profit or benefit.
mengunyah	1 chew, masticate. 2 digest (advice, a problem, etc.)
mengunyai	do s.t. slowly.
mengupacarai	/mengupacarakan/ hold a ceremony for.
mengupahi	pay s.o. wages or some remuneration.
mengupahkan	have s.t. done upon payment.
mengupam	polish, burnish.
mengupayakan	strive for, seek.
mengupgrade	/apgred/ upgrade s.t.
mengupil	1 pick o.'s nose. 2 form scab on a wound.
mengurah	1 (m) demolish, tear down. 2. relate.
mengurai	become disentangled.
menguraikan	1 loosen, disentangle (o.'s hair, a fastening, etc.). 2 scatter. 3 explain, analyze.
mengurapi	rub with ointment.
mengurapkan	apply s.t. to the body.
mengurat	1 be rooted. 2 become tough.
menguruk	1 bury. 2 fill (with soil, sand, etc.).
menguruki	put sand or soil on.
mengurungkan	1 cause to fail. 2 abandon, cancel.
mengurup	1 barter, exchange. 2 change money.
mengurus	1 arrange matters (with a higher-up). 2 take care of, manage.
mengurusi	take care of.
menguruskan	1 manage, run. 2 take care of on s.o.'s behalf, handle for s.o.
mengurut	1. 1) massage, rub. 2) caress, stroke. 2. 1) put in the right order. 2 trace s.t.
mengurutkan	put s.t. in the right order.
mengusahakan	1 carry on, expend o.'s energy at s.t. 2 organize, manage.
mengusang	dry up, wither.
mengusap	1 wipe s.t. off. 2 caress, stroke.
mengusapkan	wipe with s.t.
mengusik	1 tease. 2 touch on. 3 (phys.) perturb.
mengusir	chase away, drive out, expel.
mengusuli	examine s.o.
mengusulkan	propose, suggest.
mengusung	carry (together with others) on the shoulders.
mengusut	1 feel all over, handle. 2 examine.
mengutak-atik	/mengutak-utik/ tinker with s.t.
mengutamakan	consider as most important, give priority to.
mengutarakan	present, state in public.
mengutik	1.tinker with 2.pick (o.s nose ) 3.cavil,look for faults in another person.
mengutik-utik	touch with a finger, poke into s.t. to examinate it.
mengutip	1 pick up small bits (money, rice grains, etc.). 2 copy a portion, cite, excerpt s.t.
mengutuskan	delegate s.o.
menguyel-uyelkan	cause to jostle.
menhankam	[menteri pertahanan dan keamanan] minister of defense and security.
menhub	[menteri perhubungan] minister of communication.
meni	orange paint used as antirust primer.
meniadakan	1 abolish, destroy, nullify. 2 consider nonexistent.
meniangi	provide with poles, posts, masts, etc.
meniarap	(lie) face downward.
meniarapkan	place s.o. or s.t. face downward.
meniduri	1 (of a man) to have intercourse with s.o. 2 lie or sleep on s.t.
menidurkan	1 put to bed. 2 lay s.t. down.
menikam	1 stab s.o. 2 be cutting, be biting (words, wind, etc.). 3 put up a stake in a card game, etc.
menikamkan	stab with s.t.
menikmati	1enjoy. 2 benefit from.
menikung	1 curve or bend. 2 make a turn.
menilang	issue a traffic ticket.
menilik	1 tell the future. 2 observe carefully, watch. 3 consider, examine carefully. 4 supervise.
menimang	rock (a child) in o.'s arms or a cradle.
menimang-nimang	1 (lit.) test the balance of s.t. by shifting it in o.'s hand. 2 observe by holding in the hand. 3 consider an issue carefully.
menimba	1 bail out (a boat). 2 draw (water) from a well, etc.
menimbali	counterbalance, counter s.t.
menimbang	1 weigh. 2 consider, take into account. menimbang-terimakan hand over, transfer.
menimbangi	1 repay, counterbalance. 2 be in proportion to.
menimbangkan	weigh out on behalf of s.o.
menimbrung	(java) 1 interfere in s.o.'s affairs. 2 butt in on a conversation.
menimbrungi	interrupt a conversation.
menimbulkan	1 make s.t. to come to the surface. 2 cause s.t. to occur or appear.
menimbun	1 be heaped up, become piles. 2 be piled up on. 3 heap s.t. up.
menimbuni	heap piles on s.t.
menimbunkan	1 pile s.t.up. 2 accumulate s.t.
menimbusi	fill up s.t.
menimpai	1 fall on. 2 descend upon, strike down.
menimpakan	1 cause s.t. to fall upon. 2 blame.
menimpang	1 be unbalanced. 2 limp.
menimpe	(jakarta) swipe, pilfer.
menimpuki	(jakarta) throw at.
menimpukkan	throw s.t.
meninabobokan	lull to sleep.
menindak	take ation against.
menindakkan	carry on s.t.
menindas	1 crush with snapping action (esp. insects). 2 oppress. 3 suppress.
menindih	/menindihi/ 1 press with s.t. heavy, place a weight on s.t. 2 suppress. 3 oppress.
menindihkan	press wiht s.t.
menindik	pierce.
meninggal	die, pass away.
meninggali	1 live in, stay at. 2 leave behind to, bequeath.
meninggalkan	1 leave s.t. behind. 2 leave.
meninggi	1 go high, rise, advance. 2 boast, be boastful.
meninggikan	1 raise, heighten. 2 increase, enhance.
meningkahi	1. put on airs toward s.o., contradict. 2. strike a musical instrument to accompany other instruments.
meningkap	(lit.) peer from a window.
meningkar	(sunda) surround.
meningkat	1 rise, mount. 2 be promoted, advance. 3 terrace.
meningkatkan	1 increase s.t., raise. 2 upgrade.
meninjau	1 watch, observe at a distance. 2 view, consider. 3 observe s.t., reconnoiter s.t., survey s.t. 4 guess from afar.
meninju	be engaged in a fist fight.
menipis	1 become thin. 2 diminish, become less and less.
menipiskan	1. make s.t. thin. 2. dilute s.t. 3 reduce, decrease.
menipu	deceive s.o.
menir	1. finely ground grains of rice. 2. see meneer.
meniran	(java, jakarta) tired from speaking (of the lips).
meniru	imitate, do as s.o. does.
menirukan	imitate s.t.
menirus	taper, come to a point.
menisiki	darn, mend.
menisikkan	give to s.o. to mend.
menit	minute.
menitahkan	command, decree s.o.
meniti	walk on s.t. elevated, narrow, and long.
menitik	1 drip. 2 place a period.
menitikberatkan	1 stress, emphasize. 2 count heavily on.
menitiki	sprinkle on s.t.
menitikkan	cause s.t. to drip.
menitipi	entrust to s.o.
menitipkan	/menitip/ entrust s.t. to s.o. for a short period.
menitir	sound an alarm in such a way.
menitis	1(java) become incarnate. 2 (coll.) descend into o.'s offspring (of traits, etc.).
meniup	1 blow. 2 blow air into or through.
meniupi	1 blow on s.t. 2 blow on s.o. as part of a healing ritual.
meniupkan	1 cause to spread, cause to fan out. 2 blow on or up on behalf of s.o.
menj-	see also entries with j-.
menjabat	1 takehold of, grasp. 2 occupy an office.
menjadi	1 become 2 be 3 as,be 4 boil down to 5 succeed ,win out,go through with.
menjadikan	1 make into s.t 2 conclude ,bring into being 3 create ,make 4 cause bring about , bring to pass.
menjahanamkan	1 ruin, destroy. 2 curse, swear at.
