padri	see paderi.
padu	1 solid, compact, fused. 2 in harmony. 3 resolute.
paduan	fusion, combination, blend, synthesis.
paduk	baseline.
paduka	(lit.) excellency.
padusi	(m) woman, female.
paedah	see faedah.
paes	(java) makeup (cosmetics).
paga	(java) basket (hung up to preserve food).
pagan	firm, solid.
pagar	1 fence. 2 hedge.
pagarisasi	program to provide fences.
pagelar	put on a show, present.
pagelaran	show, presentation.
pager	see pagar.
pagi	morning.
pagina	page (of a publication).
pagu	ceiling.
pagut	1 peck. 2 bite (of snake). 3 embrace
paguyuban	(java, sunda) association.
pah	see pak 2.
paha	thigh.
pahala	merit, reward for moral conduct.
paham	1 understanding. 2 view, concept. 3 understand, know.
pahar	teacart, tea wagon.
pahat	chisel.
pahatan	carving, relief.
pahing	see paing.
pahit	1 bitter (in taste).
pahlawan	hero, patriot.
pahlawati	heroine.
pai	1. pie. 2. (m) go.
paidah	see faedah.
paido	(java) m-paido disparage, belittle.
paidon	(java) cuspidor.
pailit	see palit1.
paing	2d day of java week.
pair	1. pair-jantung (med.) pulse deviation. 2. see payar.
pais	cook in banana leaves over coals.
pait	see pahit.
paitua	1 (ambon) husband. 2 (coll.) old man.
pajajaran	name of kingdom in west java.
pajak	1 tax. 2 monopoly or franchise given by colonial gvt.
pajang	mem-(p)ajang dress window, display. mem-(p)ajang-i decorate.
pajar	see fajar.
paju	see aju.
pajuh	stuff, gorge.
pak	1./pa`, pak/ 1) package, parcel. 2) pack. 2. lease, rent a right. 3. /pak/ charter, pact. 4. see bapa.
pakai	1 involve the use of, with, by means of. 2 take (a certain food). 3 wear.
pakaian	1 clothes, suit, uniform, dress.
pakal	putty, caulking.
pakam	see pakem 1.
pakan	woof.
pakansi	holiday, vacation.
pakar	expert in certain field.
pakarya,pakaryan	(blue-collar) worker, artisan, crafisman.
pakat	1. 1) agreement. 2) discussion, convention. 2. see pekat.
pakcik	uncle (younger brother or younger cousin of parent).
pakde	(java) uncle (older brother or older cousin of o.'s parent).
pake(k)	see pakai.
pakem	1. taking hold well (of brakes). 2. source book for the java shadow play stories.
paket	1 parcel. 2 package, set of proposals that go together.
pakih	see fakih.
paking	1 gasket. 2 packaging.
pakir	see fakir.
pakis	k.o. edible fern.
pakking	see paking.
pakne	(java) term of address to o.'s husband.
pakpue	/pakpui/ (china) divination.
paksa	1.1) force. 2) necessity, compulsion. 2. favorable opportunity.
paksi	1 axis. 2 pivot.
paksina	north.
pakta	pact.
pakter	stall selling palm wine.
paktor	see faktor.
paktur	see faktur.
paku	1. nail, spike. 2. k.o. edible fern.
pakuk	hit or cut with an axe.
pakum	a vacuum.
pal	1 lenght of about o. mile. 2 milestone. 3 pole.
pala	1. nutmeg. 2. /sepala-pala/ if and so has already gotten started, been done to a certain extent (o. might as well go ahead and finish it, do it the whole way).
palagan	(java) battleground.
palai	stew until tender.
palaikat	see pelekat.
palak	1. 1) angry. 2) passionate, easily excited. 3) hot, feverish. 2. penis. 3. see falak.
palam	1. stop a leak. 2. see palem.
palang	1 crossbar. 2 bolt. 3 barrier.
palapa	name of fruit gajah madah swore not to eat until kingdom of majapahit was united.
palar	1 consider sufficient, all right. 2 count on, hope for.
palawija	crops planted as 2d crop in dry season.
paleh	(sunda) take care of a fighting or racing animal.
palem	palm.
palen	sundries, ready-made merchandise.
paleolitik	(geol.) paleolithic.
paleontologi	(geol.) paleontology.
palet	palette.
palindrom	palindrome.
paling	1. the most. 2. turn.
palis	1. avert o.'s eyes, turn o.'s face away. 2. polish.
palit	1. bankrupt. 2. ointment.
palka	(naut.) hold of a ship.
palma	palm (tree).
palsu	false, counterfeit.
paltu	1 assistant. 2 acting, temporary holder of position.
palu	1 hammer. 2 blow. 3 gavel.
paluh	deep pool.
palun	embrace, hug e.o.
palung	1 pool. 2 trough. 3 riverbed. palung-an manger.
palupuh	pounded bamboo.
palut	wrapped.
pam	[perusahaan air minum] municipal water corporation.
paman	uncle (esp. younger brother or younger cousin of parent).
pamarta	(rel.) savior, redeemer.
pambek	(java) pride.
pamegat	patron.
pamen	(mil.) an officer of the middle ranks.
pameo	1 slogan. 2 saying, proverb.
pamer	show off. pamer-an exhibition.
pamflet	pamphlet.
pamili	1 family. 2 relative.
pamit	1 farewell. 2 say goodbye. ber-pamit take leave.
pamong	1 guardian, o. who takes care of (us. gvt. official). 2 tutor.
pamor	1 pattern inherent in blade of good kris. 2 luster, prestige.
pampang	1 wide, broad. 2 obvious.
pampas	reimbursement, indemnity.
pampasan	reparations payment.
pampat	press, squeeze.
pamplet	see pamflet.
pamrih	1 profit, reward o. gets for doing s.t. 2 purpose, what o. is after.
pamungkas	1 (java) final (part). 2 deadly, s.t. that finishes s.t. off.
pamur	see pamor.
pan	1. oven heated with charcoal. pan-pan-an baked in a charcoal oven. 2. (jakarta) see kan 1.
pana	1 stupified, stunned. 2 stunned, impressed.
panah	bow (and arrow).
panahan	archery.
panakawan	see punakawan.
panar	stunned, surprised.
panas	1 warm, hot, heat. 2 fever, feverish. 3 critical. 4 fierce.
panasaran	see penasaran.
panatik	see fanatik.
panatisme	see fanatisme.
panau	skin fungus causing white blotches.
