penambalan	act of patching.
penambang	1. miner. 2. 1) ferryman. 2) ferry. 3) s.o. engaging in transporting a small number of passengers (taxi drivers, pedicab drivers, etc.).
penambangan	1. the activity of mining. 2. ferrying, transport.
penambat	s.t. to tie with.
penambatan	act of tethering or mooring.
penambul	threatrical performer, artiste.
penampakan	appearance.
penampan	penampan
penampang	1 diameter or longitudinal plane through the center. 2 longitudinal section.
penampangan	profile.
penampar	s.t. or s.o. that slaps.
penamparan	action of slapping.
penampi	winnowing basket.
penampikan	act of refusing or rejecting.
penampilan	1 presentation. 2 making o.'s appearance.
penampung	1. cross-section. 2. s.t. or s.o. who intercepts.
penampungan	1 collecting and saving water, etc. 2 place that receives. 3 act of receiving or accommodating.
penanakan	s.t. to boil rice in.
penanam	planter.
penanaman	1 planting. 2 (fin.) investment.
penanda	1 s.t. used as a sign. 2 (ling.) marker.
penandaan	1 signaling, giving a sign, designating. 2 (ling.) markedness.
penandak	female dancer in this dance.
penandasan	emphasizing.
penandatangan	the signer, signatory.
penandatanganan	the signing.
penanganan	handling.
penangas	steam bath.
penangasan	steaming.
penanggalan	1. 1) stripping, removal (of a cover, etc.). 2) (lit.) k.o. ghost whose head separates and flies independently. 2. 1) calendar, almanac. 2) dating.
penangguhan	postponement, deferment.
penangguk	1 fisherman who uses such a device. 2 o. who takes unfair advantage.
penanggul	o. who tackles a problem, etc.
penanggulangan	tackling.
penanggung	1 guarantor, backer. 2 sufferer. 3 o. who is insured.
penanggungan	1 trials and tribulationas. 2 assumption of responsibility.
penangis	a crybaby.
penangkal	1 amulet, charm. 2 preventive.
penangkalan	preventive measure, esp. refusal of entry to a country to a potentially dangerous foreigner.
penangkap	captor, capturer, s.t. that catches.
penangkapan	1 catching. 2 arrest, seizure. 3 haul, catch (fish).
penangkis	s.t. which ward off.
penangkisan	1 repelling. 2 fending off (blows, etc.).
penangsel	s.t. used to fill s.t. up.
penanjakan	ascending, climbing.
penantang	challenger.
penantangan	act of challenging..
penantian	1 (process of) waiting. 2 waiting room.
penanya	interrogator, questioner.
