sitar	see siter.
sitegang	see tegang.
sitekan	see tekan.
siten	see seten.
siter	zither.
siti	1 title for a woman of noble lineage. siti-hawa eve. siti-mariam (islam) mary, the mother of jesus. 2 a woman's name.
sitiau	see si 2.
sitiran	citation, quotation (from book).
sitokar	see stoker.
sitologi	(med.) cytology.
sitronella	k.o. plant, citronella.
sitrun	citron.
sitti	see siti.
situ	1. 1) there (not very far away and near person addressed). 2) (coll.) you. 2. (sunda) lake.
situasi	1 situation, circumstances. 2 location, the way s.t. is located.
situn	(lit.) k.o. earthenware pot.
situs	archaeological site.
siul	sound of whistling.
siulan	whistling s.t.
siuman	1 become sober. 2 recover consciousness.
siung	1. 1) canine tooth. 2) fang, tusk. 3) clove (of garlic). 2. sound of bazzing.
siur	1. sound of leaves rustling. 2. see silang.
siut	sound of sizzling, whizzing, etc.
siutan	whizzing sound.
siva	[surat impor valuta asing] foreign exchange import permit.
sivil	see sipil.
sivilisasi	civilization.
siwak	(lit.) bundle of young twigs or roots used to clean teeth.
siwakan	(java) not on speaking terms.
siwalan	(jv) k.o. fan palm or its edible fruit.
siwar	(psychological war] psychological warfare.
siwer	(java) squinting. mata-siwer cross-eyed.
siyet	1 k.o. knitting. 2 wool for knitting.
sk	[surat keputusan] decree.
sk.	[surat kabar] newspaper.
skak	see sekak.
skakelar	see sakelar.
skala	scale (of map, etc.).
skandal	scandal.
skap	tool to plane wood.
skat	1 ice skates. 2 skating.
skema	1 scheme, sketch. 2 chart, diagram.
skematis	schematic.
skena	(thea.) scene.
skenario	scenario.
skeptikus	a skeptic.
skeptis	skeptical.
skeptisi	skeptic.
sket	/skets, sketsa/ sketch.
sketsel	partition.
skizofren	schizophrenic.
skizofrenia	schizophrenia.
skka	[sekolah kesejahteraan keluarga atas] upper secondary school for training home economics teachers.
skm	[sarjana kesehatan masyarakat] master of public health.
skn	[staf keamanan nasional] national security staff.
skop	shovel, spade.
skor	(sport) score.
skorbut	(med.) scurvy.
skorkar	score card.
skorsing	suspension (of student, sportsman, etc.).
skp	[sekolah kepandaian puteri] home economics school.
skrining	screening (of applicants, us. for security reasons).
skrip	(thea.) script.
skripsi	k.o. minithesis to obtain dokterandus degree.
skuadron	/skwadron/ squadron.
skup	see skop.
skuter	(coll.) motor-scooter.
sl-	see also entries with sel-.
sla	1. salad. 2 see slah.
slada	see selada.
slagorde	(mil.) battle-array.
slah	(crd.) trick.
slahrom	/slahrum/ whipped cream.
slametan	(coll., java) ceremonial meal, esp. at marriages, promotions, etc.
slang	1. tube, hose. 2. /sleng/ slang.
slebor	1. (jakarta) mudguard, fender. 2. (coll.) unconventional.
slek	women's slacks often tight.
slendro	five-tone tuning system of java gamelan.
slenger	(auto.) crank, starting-handle.
slintru	(java screen to partition a room.
slip	see selip 2.
sliwar-sliwer	to and fro.
sljj	[sambungan langsung jarak jauh] (tel.) direct-dial long distance network.
slof	carton of cigarettes (unit of 10 packs).
slogan	slogan.
sloganisasi	sloganizing.
sloganisme	mentality characterized by excessive use of slogans.
sloki	1 shot glass. 2 a shot (of liquor).
slompret	1. trumpet (us. made of paper). 2. see sompret 1.
slong	/nge-slong/ not working (of brakes).
slop	see slof.
slot	see selot.
slt.	[selatan] south.
sm	1. [sekolah menengah] secondary school. 2. [sarjana muda] academic degree similar to the baccalaureate.
sm.	[sebelum masehi] b.c., before christ.
sma	[sekolah menengah atas] upper secondary school.
smir	see semir.
smokel	see semokel.
smp	[sekolah menengah pertama] lower secondary school.
snel	(coll.) fast.
snelvarband	long gauze bandage.
snur	(coll.) cable, wire, cord.
so	(e. indonesia) see sudah.
so'un	see sohun.
soal	/so'al/ 1 problem, matter. 2 question.
sob	[staat van oorlog en beleg] (pol.p state of war and siege.
sobat	1 friend. 2 comrade (among communists).
sobek	torn, ripped.
sobekan	a torn piece.
sobok	alloy.
sobsi	[sentral organisasi buruh seluruh indonesia] all-indonesia federation of labor organizations.
soda	soda (of various substances containing sodium).
sodet	1. spatula. 2. see sudet.
sodok	shovel, spade.
sodokan	1 a poke. 2 (sport) shot in billiards. 3 instrument to poke or thrust.
sodomi	sodomy.
soe	(china) bringing misfortune, unlucky.
soek	see sobek.
soen	/sun/ see sun.
sofa	sofa.
sofis	sophist.
sofisme	sophism.
softball	/softbol/ (sport) softball.
soga	k.o. tree from which red dye used for batik is made.
sogang	fence, palisade.
sogok	1. (coll.) bribery. 2. stab, pierce through.
sogokan	bribe.
sohon	see sohun.
sohor	famous.
sohun	(china) transparent bean flour vermicelli.
sok	1. 1) as if, pretending. 2) put on airs. 2. /sok/ stocking, sock. 3. /sok/ socket, waterpipe connection. 4. see syok 2.
sok-sok	(java) often.
sok-sokan	putting on airs, showing off.
soka	k.o. flowering tree.
sokbreker	(auto.) shock absorber.
soklat	(coll.) see coklat.
sokoguru	1 (java) central pillar (of house). 2 princippal factor.
sokong	prop, support.
sokongan	support, aid, contribution.
sol	1. sole (of a shoe). 2. the musical note sol.
solar	diesel fuel.
solat	(islam) 1 ritual prayers and actions performed five times daily. 2 perform such prayers.
soldadu	see serdadu.
solderan	soldering tool.
soleh	see saleh.
solek	well-dressed, stylish.
solidaritas	/slidaritet/ solidarity.
solider	in solidarity with.
solis	soloist.
solo	single, solo.
solok	gift, contribution in kind.
solokan	see selokan.
solot	(jakarta, java) heatedly angry.
solvabilitas	solvency.
som	a hem.
somah	houshold. somah-seperut maternally related family (but with different fathers).
somatis	somatic.
sombar	(ambon) shade, shadow.
sombong	arrogant, conceited.
sompek	chipped, broken off.
sompret	1. (jakarta) dammit !, term of verbal abuse. 2. see slompret 1.
somsom	(jakarta) conceited, arrogant.
sondak	see sundak.
sonder	(coll.) without.
sondolan	a forceful push (with the head).
sondong	k.o. net for catching shrimp.
sondor	see sodor.
sonebril	(coll.) sunglasses.
soneta	sonnet.
songar	proud, arrogant.
songgeng	1. protrude. 2. see sungging.
songket	see sungkit 1.
songkok	rimless fezlike cap us. made of velvet.
songpia	(china) k.o. small fried spring-roll us. filled with finely shrodded meat.
songsang	see sungsang.
songsong	1. (java) k.o. ceremonial umbrella of royalty. 2. against.
songsongan	welcome.
sono	1. (jakarta) place of origin. 2. (jakarta) see sana.
sontak	torn, damaged, broken off.
sontok-akal	see suntuk.
sontoloyo	(coll.) exclamation of disapproval or dislike, damn you. !.
soon	see sohun.
sop	soup.
sopak	1. k.o. discoloration of the skin. 2. (java) hairpiece.
sopan	1. respectful. 2. well mannered, decorous.
sopek	k.o. small traditional fishing boat.
sopi	1 distilled palm wine. 2 (lit.) liquor.
sopia	see songpia.
sopir	chauffeur, driver.
sopran	soprano.
sorak	applause, cheering.
sorakan	cheer, yells.
sorang	(coll.) alone.
sorangan	(sunda) alone, on o.'s own. sorangan-wae` all alone, single.
sorban	see serban.
sore	afternoon, early evening (between three and six p.m.).
soreh	see surih.
sorek	bamboo.
sorenya	the following afternoon.
sorga	see surga.
sorgaloka	(lit.) heaven, paradise.
sori	(coll.) excuse me !.
sorjan	see surjan.
sorok	1. see sogok 1. 2. see suruk.
sorong	1 sliding, pushing. 2 bribe.
sorongan	1 s.t. pushed or shoved (e.g. a bolt). 2 a bribe. 3 a push, shove.
sorot	ray, beam of light (of lamp, sun, etc.).
sorotan	1 ray, beam. 2 radiation, spotlight. 3 attention (in press, public, etc.).
sortasi	sorting, grading.
sos.	[sosial] social studies division.
sosbud	[sosial budaya] sociocultural.
sosi	(china) key (to lock, etc.).
sosial	1 social. 2 charitable.
sosialis	socialist, socialistic
sosialisasi	socialiszation.
sosialisme	socialism.
sosialitas	charitableness, charity.
sosiatri	measurement of social behavior, esp. as a field of study.
sosiawan	a social-minded or altruistic man.
sosiawati	a social-minded or altruistic woman.
sosio-budaya	sociocultural.
sosio-nationalisme	socialist nationalism.
sosiografi	social ethnography.
sosiolinguistik	sociolinguistics.
sosiolog	sociologist.
sosiologi	sociology.
sosiologis	sociological.
sosis	sausage.
sositet	social club (colonial period).
soska	[sosialis kanan] right-wing socialist.
soski	[socialis kiri] left-wing socialist.
sosok	1. 1) buttonhole, eye. 2) noose, loop. 2. 1) form, shape, frame. 2) numeral classifier for body.
sosong	see songsong 2.
sosor	bill (of duck, etc.).
sospol	[sosial dan politik] 1 social and political science. 2 university division of social and political sciences.
sosuio-psikologi	social psychology.
soto	k.o. clear soup. soto-ayam chicken soup. soto-babat tripe soup. sop-daging beef soup. soto-mi/mie noodle soup. soto-madura madurese-style soup (with potato croquettes).
sotoh	flat roof, roof-terrace.
sotong	cuttlefish, squid.
sovyet-uni	soviet union.
sowan	(java) visit (s.o. of higher status).
sp	[sri paduka) his excellency, title for kings and at o. time the president of indonesia.
sp-	see also entries with sep-.
spada	a call to announce o.'s arrival at a house, anybody home ?
spak	wheel spoke.
spalek	/spalk/ splints.
span	see sepan.
spanduk	street banner affixed on both ends.
spaneng	/spaning/ voltage.
spanrok	k.o. tight skirt.
spanyol	see sepanyol.
sparepart	/sperpar/ spare parts.
spasi	space (in typing, etc.).
spatbor	/spatbord/ (auto.) fender, mudguard.
speedometer	/spidometer/ speedometer.
spekkuk	see spekuk.
spektakuler	spectacular.
spektograf	spectograph.
spektogram	spectogram.
spektrum	spectrum.
spekuk	k.o. multilayered butter cake.
spekulan	(fin.) speculator.
spekulasi	1 speculation, conjecture. 2 risky commercial venture. 3 undertake a risky venture.
spekulatif	speculative.
spekulator	speculator.
speling	1 synchronization of mechanical parts. 2 erratic (of o.'s behavior).
sperma	(biol.) sperm.
spesi	(biol.) species.
spesial	special.
spesialis	specialist.
spesialisasi	specialization.
spesialitas	specialty.
spesies	(biol.) species.
spesifik	1 specific. 2 characteristic (of certain place or ethnic group).
spesifikasi	specification.
spidol	felt-tip marker.
spiku	see spekuk.
spion	1 spy. 2 reaview mirror.
spionase	espionage.
spir	unus. well-developed muscle. spir-lengan biceps.
spiral	1 piral. 2 (med.) intrauterine birth control device.
spiralisasi	program for getting the population to accept intrauterine birth control devices.
spiran	(ling.) spirant.
spirit	(coll.) enthusiasm, vigor.
spiritual	/spirituil/ spiritual.
spiritus	/spirtus/ methylated spirit, rubbing alcohol.
spon	/spons/ foam rubber sponge.
sponse	see besi.
sponsor	sponsor (of contest, etc.).
spontan	spontaneous.
spontanitas	spontaneity.
spor	/sport/ (coll.) 1 sports. 2 exercise.
spora	(biol.) spore.
sporadis	sporadic.
sportif	1 sportsman like, fair. 2 casual 9of clothing).
sportifitas	/sportivitas/ sportsmanship.
sportip	see sportif.
sprei	see seprai.
spreken	(coll.) speak dutch.
spt.	[seperti] as, like.
spuit	/spoit/ syringe.
spura	see spora.
sput	see seput.
spy.	[supaya] so that.
sr	[sekolah rakyat/rendah] elementary school.
sr-	see also entries with ser.
sr.	[suster] title of catholic nun.
sreg	(java) 1 well fitting, comfortable. 2 comfortable, at ease. 3 appropriate (of o.'s behavior).
srempeng	(java) enthusiastic.
srempet	see serempet.
sri	see seri 1.
sribombok	(java) k.o. long-necked waterbird.
srikandi	1 a heroin, arjuna's wife, in some old romances and wayang. 2 heroine.
srikaya	see serikaya 1.
srimpet	see serempet.
srimpi	(java) k.o. court dance.
srimpung	see serimpung.
sripah	1. (java) the deceased. 2. see syarifah.
sripanggung	see seri 1.
srrrt	written representation of sound of zipping or squirting.
srt.	[surat] letter (correspondence).
sruput	sound of a slurp.
ss	[sarjana sastra] bachelor's degree in literature.
ssk.	[surat-surat kabar] newspapers.
ssksd	[sekolah staf dan komando angkutan darat] (mil.) army command and staff school.
sss	[suka sama suka, senang sama senang] by mutual consent (esp. with regard to sex and marriage).
ssssst	/st/ hush ! (sound made to silence s.o.).
st-	see also entries with set-.
st.	[sutan] (m) title of nobility.
staar	see star.
stabil	stable.
stabilisasi	stabilization.
stabilisator	stabilizer, stabilizing factor.
stabilitas	stability.
stabilo	1 light color marking pen to highlight text. 2 neon-colored.
stabiloan	traces of marking with such a pen.
stadia	(med.) stages of a disease.
stadion	stadium.
stadium	(med.) stage of a disease.
staf	staff.
stagen	(java) women's waist sash or cummerbund.
stagnasi	stagnation.
staking	(coll.) a strike (work stoppage).
stalles	(coll.) center seats in a theater.
stambom	1 lineage. 2 pedigree (of animals).
stambuk	ledger.
stambul	k.o. stage show often featuring indigenous versions of western drama.
stamina	stamina.
stan	/stand/ 1. (sport) score. 2. stand, small shop (in recreation or shopping centers).
standar	1. standard. 2. bicycle or mortorcycle kickstand. 3. (mil.) standards, emblems of an army, etc.
standardisasi	standardization.
stang	1 bar (of vehicle, engine, etc.). 2 handlebar of a bicycle. 3 (coll.) control s.o. or s.t.
stanplas	/stanplat/ bus stop.
stansa	stanza.
star	(med.) catatact.
start	1 (coll.) begin a journey. 2 (sport) start.
starter	1 (auto.) starter. 2 (elec.) flourescent light starter.
stasi	(rel.) station of the way of the cross.
stasioner	stationary.
stasiun	see setasion.
stater	see starter.
statif	stative.
statis	static, stationary.
statistik	1 statistics. 2 statistical, according to statistics.
statistikus	statistician.
statistisi	statisticians.
status	status.
statuta	/statuten/ statutes.
stek	see setek.
steker	1 electrical plug, light switch. 2 cigarette lighter.
stel	see stil.
steling	(mil.) 1 installation, camps. 2 position. 3 take a position.
stelsel	system.
stembat	see stimbat.
stempel	see setempel.
stempet	lubricating grease.
sten-gun	k.o. machine gun.
steno	/stenografi/ stenographer.
stensilan	1 a stencil. 2 mimeographed materials.
stepa	(geog.) steppe.
ster	(che.) queen.
sterek	(coll.) 1 strong, full-flavored (of beverages). 2 strong and healthy.
stereokopis	stereoscopic.
stereometri	geometry.
stereotip	stereotype.
steril	sterile.
sterilisasi	sterilization.
stetoskop	stethoscope.
steup	see stuip.
stewal	see setiwal.
stiker	sticker, decal.
stil	1 (sl.) stylishly dressed. 2 have a certain attitude.
stilistika	stylistics.
stimbat	(coll.) steam bath.
stimulans	stimulant, stimulus.
stimulasi	stimulation.
stip	see stuip.
stir	see setir.
stki	[surat tanda kewarganegaraan indonesia] indonesian citizenship card.
stl.	[setelah] after.
stm	[sekolah tehnik menengah] technical high school.
stnk	surat tanda nomor kendaraan] motor vehicle license.
stock	/stok/ stock, supply.
stoker	(r.r.) engineer's helper.
stoking	women's stockings.
stop	see setop 1.
stopkontak	electric socket, plug.
stoples	stoppered glass jar for storing food.
stopmap	folio-sized folder.
stor	see setor.
storemking	see stromking.
storing	radio static, disturbance.
strap	see setrap.
strat	(coll.) street.
strata	levels (in society, education).
strategi	strategy.
strategis	strategic.
stratifikasi	stratification.
stratigrafi	stratigraphy.
stratosfer	see stratosfir.
stratosfir	stratosphere.
stratum	stratum (of soil, society, etc.).
streng	(coll.) strict, severe.
streples	strapless (bra, gown, etc.).
strimin	k.o. coarsely woven fabric used for lining.
strip	see setrip 1.
striptis	(sl.) strip-tease.
stromking	/strongking/ high-pressure kerosene lantern.
stroom	/strom/ see setrum.
structuralisme	structuralism.
struktur	structure.
struktural	structural.
strukturil	see struktural.
struma	(med.) goiter.
sttb	[surat tanda tamat belajar] diploma for primary or secondary school.
studen	(coll.) student.
studi	1 study. 2 research.
studio	studio.
studium-generale	k.o. introductory general studies course.
stuip	/step/ convulsions, fits (esp. accompanying children's fevers).
stupa	stupa. dome enclosing an effigy of buddha.
su	1. see sudah. 2 see bungsu.
suai	see sesuai.
suak	1. (lit.) inlet, small bay. 2. (m) cancel. 3. see swak.
suaka	1. 1) asylum. 2) sanctuary. 2. see sewaka 1.
sual	see soal.
suam	warm. suam-suam rather warm.
suami	husband.
suang-suang	(lit.) tak-suang-suang not easy.
