tutuh	lop off, trim.
tutuk	1 tap, knock on. 2 strike with o.'s fingers (in martial arts).
tutukan	a knock, a tap.
tutul	1 pockmarked. 2 spotted, stained.
tutup	1 closed, shut. 2 cover, lid. 3 complete, full.
tutupan	1 cover, lid. 2 place where people are locked up (prison, etc.).
tutur	speech, talk.
tuturan	1. 1) story, narrative, discourse. 2) information, announcement. 2. lowest part of thatched roof.
tuyul	k.o. spirit that obtains wealth for its human master.
tv	(televisi) television.
tvri	(televisi republik indonesia) television service of the republic of indonesia.
twedehan	/twedehans/ (coll.) secondhand, used.
typis	/tipis/ typical.
u	u, the 21st. letter of the the alphabet.
ua	/uak/ 1. 1) (coll.) term of address for (java or sunda) men and women of o.'s parent's age. 2) (sunda) uncle or aunt, term of address for o.'s parents' elder siblings. 3) (china) term of address and reference for o.'s elder aunt. 2. see kuak 2.
uang	1 money. uang-kontan cash. uang-receh small change. uang-saku pocket money. uang-sogok/suap bribe. 2 coin.
uap	1. 1) steam, vapor. 2) fume. 2. see kuap.
uar	announcement, proclamation.
ub.	(untuk beliau) on behalf of him (used when signing on behalf of a higher authority).
uba	vessel for sago meal.
ubah	difference.
ubal	see ubel.
uban	gray hair.
ubanan	gray headed
ubar	1. 1) k.o. tree the bark of which is used for dye or paint. 2) dye or paint derived from such a tree. 2. unroll s.t. and spread it out.
ubat	see obat.
ubek	/ubek, ube/ stir vigorously by hand.
ubekan	s.t. stirred or mixed up with the hands.
ubel	/ubel-ubel/ 1 anything wrapped around part of the body. 2 head-wrap, turban.
uber	go after, pursue.
uber-uberan	chase e.o.
ubi	1 edible tuber. ubi-jalar/jawa sweet potato. ubi-kayu/kasbi/kaspe cassava. 2 sweet potato.
ubin	floortile.
ubrak-abrik	see obrak-obrik.
ubub	/ububan/ a pair of brllows.
ubudiah	(islam) matters pertaining to prayer ritual.
ubun	loom.
ubun-ubun	1. 1) fontanel. 2) crown of head. 2. (lit.) nun.
ubur-ubur	jellyfish.
ucap	saying, word.
ucapan	1 utterance, expression. 2 statement, communication. 3 pronounciation.
ucek	(jakarta, java) rub with o.'s hands.
ucus	see usus.
uda	1. (m) older brother or male cousin. 2. /udah/ (jakarta) see sudah.
udak	chase after, pursue.
udak-udak	stir.
udal-adul	rumple hair, string, or other hairlike material.
udan	k.o. batik pattern.
udang	shrimp. udang-galah 1 k.o. large peawn. 2 (coll.) lobster. udang-geragau/gerangau k.o. small shrimp used for shrimp.
udang-udangan	1 various k.o. shrimps. 2 imitation shrimp.
udap-udapan	salad made of various k.o. vegetables, often bought as a snack on the street.
udar	(java) reel.
udara	1 air. 2 atmosphere. 3 sky, air space. 4 weather.
ude	/udeh/ (jaakrta) see sudah.
udek	(jakarta, java) stir.
udel	(java) navel.
udeng	(java, jakarta) headcloth (for men).
udet	(java) belt.
udi	(m) unfortune.
udik	1 upper course of a river. 2 interior, inland country. 3 (jakarta) backward, countrified.
udikan	s.o. raised in a rural area.
udu	see wudhu.
uduh	see odoh.
uduk	see nasi.
udur	see uzur.
udut	smoke.
udutan	pipe to smoke.
udzur	see uzur.
uek	see uik.
ufuk	horizon.
ugahari	(lit.) moderate, frugal, temperate.
ugal-ugalan	1 mischievous, naughty. 2 reckless, inconsiderate.
ugama	see agama.
ugem	(java) property.
ugeran	(java) rule, norm.
ugm	((universitas gadjah mada) gadjah mada university in yogyakarta.
ugut	intimidation, threat.
uhu	sound of s.o. crying and sobbing.
ui	(universitas indonesia) university indonesia in jakarta.
uih	see with.
uik	squeal (of pigs).
uir-uir	k.o. locust.
uja	see oja.
ujan	see hujan.
ujang	(in some regions only) term of familiar address for boys.
ujar	1 statement. 2 (ling.) utterance.
ujaran	statement, pronouncement.
ujat	see hujat.
uji	test, experiment.
ujian	examination.
ujud	see wujud.
ujung	1 tip, point, top. 2 end. ujung-pangkal lower and upper ends.
ujur	see uzur.
ujut	see wujud.
ukhrowi	(islam) eschatological matters.
ukhuwah	(islam) 1 fraternity (of believers). 2 association, organization.
ukir	carved, engraved.
ukiran	carved object.
ukon	coin worth 1/2 rupiah.
ukup	1 incense, perfume. 2 scent.
ukupan	1 perfume, scent. 2 censer.
ukur	1 measure. 2 measuring tape.
ukuran	1 measurement, measure. 2 size, dimension. 3 format. 4 norm, criterion, standard. 5 measuring stick.
ulah	manner, way, act.
