doyan	(jakarta) be fond of.
doyong	inclined, not straight.
dozer	bulldozer.
dpc	(dewan pimpinan cabang) leadership of political party at local level.
dpd	(dewan pimpinan daerah) leadership of political party at regional level.
dpp	1. (dewan pimpinan pusat) leadership of political party at national level. 2. (dada, pinggang, pinggul) chest, waist, hip measurements. 3. (dana pembinaan pendidikan) k.o. gvt. subsidy to state universities to supplement tuition fees.
dpr	(dewan perwakilan rakyat) indonesian legistilative assembly.
dprd	(dewan perwakilan rakyat daerah) assembly at provincial, regional, or municipal level.
dprgr	(dewan perwakilan rakyat gotong royong) the indonesian parliament (1959-1973).
dpt	(diphteri, pertussis, tetanus) diphtheria, whooping cough, tetanus vaccine.
dpt.	(dapat) can, be able.
dr-	see also entries with der-.
dr.	1. (dari) from. dr.2, dr.1 (dokter) doctor (of medicine). dr.2 (doktor) doctor (of philosophy).
dra.	(doktoranda) title of woman holding post-graduate degree in humanities below doctoral rank.
draft	draft (of plan, etc.).
dragon	manual water pump.
draimolen	carousel.
drainase	drainage.
dram	see drum.
drama	drama.
dramatari	dance drama.
dramatis	dramatic.
dramatisasi	men-dramatisasi-kan dramatize, make into a play.
dramatisir	men-dramatisir dramatize, make into a play.
dramaturg	dramatist.
dramaturgi	dramaturgy.
dramawan	stage actor, performer.
dramben	see drumband.
drastis	drastic.
drat	1 wire thread. 2 thread of a screw.
drei	k.o. drill.
drell	sound of ataccato crackling (gun salvo, etc.). men-drel spray with bullets.
dressoar	(dreswar) sideboard, buffet.
drg.	(dokter gigi) dentist.
drh.	(dokter hewan) veterinarian.
dribbel, dribel	men-dribbel (sport) dribble.
dril	k.o. cloth.
drive	(drayp) (sport) drive in golf.
drodok	(coll.) dry dock.
dromedaris	dromedary.
drop	mints, cough-drops.
droping,dropping	allocation, us from outside ordinary channels (direct order of president, etc.).
drs.	(dokterandus) title of o. holding graduate degree in humanities below doctoral rank.
drum	1 drum. 2 oil drum, canister for chemicals.
drumband	(dramben) marching band.
ds.	(domine) protestant clergyman.
dsb.	(dan sebagainya) etc.
dsl.	(dan selanjutnya) and so forth.
dst.,dstnya	(dan seterusnya) and so on.
dt	see daswati.
dt.	(datuk) title in malaysia and certain parts of indonesia.
dtk.	(detik) second moment.
