glos	(ling.) gloss.
glosarium	(ling.) glossary.
glotal	(ling.) glottal.
glotalisasi	(ling.) glottalization.
glotis	(ling., anat.) glottis.
glotokronologi	(ling.) glottochronology.
glugut	(java) fine hairs of the bamboo.
glukosa	glucose.
go	1. (china) five. go-ban 50,000. go-cap 50. go-ceng 5,000. go-pek 500. go-tiau five million. 2. go gonorrhea.
go-go	see sistem.
goa	see gua 1.
goal	see gol.
gobah	see kubah.
goban	see go 1.
gobang	k.o. colonial era coin (valued at two-and-a half cents) with hole in middle.
gobar	somber.
gobek	metallic cylinder with plunger to mince betel chew, esp. for toothless elders. meng-gobek pound areca nut with such a device.
gobernor	see gubernur.
gobet	meng-gobet cut very thin, grate.
goblek	1 finished, done. 2 done as o. pleases.
goblok	stupid.
gocan	(jakarta) toss and turn (ino.'s sleep).
gocap	see go 1.
gocek	meng-gocek (sport) maneuver with the foot.
goceng	see go 1.
gocet	see gocek.
gocoh	ber-gocoh fight, pummel.
goda	meng-goda 1 tempt. 2 plague, tease, torment. goda-an temptation.
godam	sledgehammer. strike, pound (of fist, club, etc.).
godek	side whiskers, sideburns. ber-godek growing side burns.
godog,godok	s.t. boiled.
godot	meng-godot slice, saw thinly.
goek	sound of clearing the throat.
gogo	1. nonirigated rice field. 2. go-go dance.
gogoh	meng-gogoh shiver.
gogok	(java) meng-gogok 1 drink straight from a pitcher or bucket. 2 guzzle, swill.
gogos	see gugus.
gohok	(jakarta) k.o. plant bearing sour purple fruit.
gohong	(m) hole, cave.
gojlog,gojlok	meng-gojlok 1 shake up (from accident, etc.). 2 haze (new students, etc.).
gokart	go-cart.
gol	1. goal, score, point. 2 achieve a goal. 3 (sport) goal, goal post.
gol.	[golongan] group.
golak	ber-golak 1 boil (of water). 2 seethe, churn. brew, boil. turbulence, upheaval.
golak-galik	1 up and down. 2 to and fro.
golbi	fly (of trousers).
golek	1. ber-golek 1) rol. 2) lie down. 2. (coll.) k.o. wooden rod-puppet used in a genre of wayang. golek-an (java) doll, puppet.
goler	lie down. ber-goler 1 turn or roll over. 2 lie down.
golf	/golef/ pe-golf golfer.
golkar	[golongan karya] (pol.) the group of functionaries, a political party established by gvt. for technocrats and civil servants.
golkarisasi	(pol.0 process or movement to enlist support and secure victory for golkar.
golok	machete (often somewhat short). meng-golok slash with such a weapon.
golongan	1 group 2 class .
golongisme	mentality characterized by divisiveness and group-orientation.
gombak	1 forelock. 2 tuft, crest.
gombal	empty, false.
gombang	1. glazed earthenware jar. 2. (m) handsome, good-looking.
gombeng	meng-gombeng enlarge (a hole), interspace s.t.
gombinis	see komunis.
gombol	bunch (of keys, etc.).
gombrong	(jakarta) loose-fitting (of clothing).
gombyok	(java) tassel, fringe.
gombyor	baggy (of k.o. pants).
gomok	see gemuk.
gompal	(jakarta) torn down, broken.
gompyok	1. thick (of hair, leaves). 2 betasseled. 2. (biol.) gonad.
goncang	1 shake. 2 shaky, swaying. 3 unstable, changeable.
gonceng	see bonceng.
gondang	(java) 1 snail, slug. 2 name for various k.o. mollusks.
gondok	1. goiter. 2. (java) angry in a suppressed way. gondok-an easily irritated.
gondol	1. meng-gondol 1 (java) carry in mouth (of dog, etc.). 2 walk away with or win (a championship). 3 (coll.)steal or swipe. peng-gondol winner, champion (of tournament, etc.). 2. see gundul.
gondong	goiter. gondong-an s.t. similar to goiter.
gondorukem	see gandarukam.
gondoruwo	see gendruwo.
gondrong	long-haired, esp. of men.
gong	1. gong. meng-gong-kan second a motion, idea, etc. 2. sound of barking.
gonggong	1. sound of barking. ber-, meng- 1) bark (of dog). 2) ( coll.) scold. 2. (lit) meng-gonggong carry in mouth (of animals).
gongli	(sunda) (bagong lieur) willing sexual partner.
gongseng	meng-gongseng fry s.t without oil.
goni	1 jute. 2 gunny-sack.
goniometri	goniometry.
gonjong	(lit.) steep and pointedd, pitched (of roof, etc.).
gono-gini	property acquired jointly, esp. during marriage, and which is divided equally in event of divorce.
gonorea, gonori	gonorrhea.
gonta-ganti	1 muttually, reciprocally. 2 take turns, ber-gonta-ganti alternate.
gontai	slow.
gontok	hit with the fists in anger.
gontokan	1 quarrel. 2 engage in a conflict, fistfight, etc.
gonyak	meng-gonyak-kan (lit.) ridicule, deride.
gonyok	meng-gonyok wipe, scour, make clean.
gonyokan	1 wiping, cleaning. 2 scourge, wiping out.
gopeh	quick. gopoh-gopoh in a hurry, hurriedly. ter(gopoh-gopoh) hurry, hurriedly, hastily.
gopek	see go 1.
gorden,gordin	curtain.
gordon	see kordon.
gorek	meng-gorek scratch. peng-gorek-an scratching, scraping.
goreng	s.t. fried, fried food. meng-goreng fry.
gores	1 scratch. 2 etch lines into s.t.
goret	see gores.
gori	(java) unripe jackfruit.
gorila	gorilla.
gorok	cut (a throat). peng-gorok-an slaughtering.
gorong-gorong	water-channel.
gosip	gossip. meng-gosip-kan gossip about s.t. gosip-gosip-an spreading by word of mouth.
gosok	gosok-gigi (coll.) toothbrush.
gosong	1. sandbar. 2. (java) burnt, scorched, singed.
gossip	see gosip.
got	gutter, drain.
gotes	meng-gotes pluck, pick, gather.
gotiau	see go 1.
gotong	meng-gotong carry s.t. so heavy two or more people must cooperate. gotong-an heavy burden, shared load.
gotong-royong	community self-help, mutual cooperation. ber-gotong-royong cooperate, share work.
gotri	(java) pellet, buckshot.
gotrok	(java) k.o. narrow-gauge railway (used for transporting sugar).
goyah	loose, wobbly (of teeth,chair legs, etc.).
goyak	meng-goyak (m) shake or rock s.t.
goyang	shaky, wobbly, unsteady.
goyangan	1 oscillation, staggering. 2 fluctuation.
goyor	see guyur.
gr	[gotong royong] mutual aid.
gr-	see also entries with ger-.
grad	degree.
gradag	(java) sound of dragging or moving over a rough surface. gradag-an clatter, tumult.
gradah,gradak	see geledah.
gradasi	gradation.
graduil	gradual.
graf	(ling.0 graph, letter (of a writing system).
grafik,grafika	on a graph.
grafis	graphic.
grafit	graphite.
gragal	bits of plaster, cement, rocks left over from construction.
