alto	kb. 1 penyanyi dengan suara alto. 2 nada suara wanita yang terendah.
altogether	kb. in the a. dengan telanjang bulat. --kk. 1 semuanya. 2 sama sekali. 3 pada keseluruhannya.
altruism	kb. altruisme, sifat mementingkan kepentingan orang lain.
altruistic	ks. altruistik. that foundation is most a. yayasan itu sangat altruistik. yayasan itu melulu mementingkan kepentingan orang lain.
alum	kb. tawas.
aluminum	kb. aluminium. a. foil kertas aluminium. a. ware barang-barang aluminium.
alumna	kb. (j. -ae). tamatan, lulusan, wanita bekas murid dari sesuatu sekolah.
alumnae	kb. j. dari alumna.
alumni	kb.j. dari alumnus.
alumnus	kb. (j. -ni). lulusan, tamatan, bekas pelajar lelaki sesuatu sekolah.
alveolar	ks. yang berhubungan dengan alveolus.
alveolus	kb. 1 lobang tempat gigi di rahang. 2 gelembung paru.
always	kk. selalu, senantiasa. she is a. singing ia selalu menyanyi.
am	lih be
am.	1 (america) amerika. 2 (american) orang amerika.
amalgam	kb. 1 campuran. 2 = alloy.
amalgamate	kkt. mencampur, menjadikan satu. to a. mercury with other metals mencampur air raksa dengan logam lain. --kki. menjadi satu, bercampur. the two unions amalgamated dua serikat buruh itu menjadi satu.
amalgamation	kb. 1 tindakan atau proses percampuran. 2 penggabungan. a. of the two trade unions penggabungan kedua serikat buruh itu.
amass	kkt. mengumpulkan, menumpuk, menimbun, menghimpun. to a. a fortune mengumpulkan kekayaan.
amateur	kb. 1 amatir. 2 pekerjaan seseorang yang tidak begitu baik. a. standing keamatiran.
amateurish	ks. secara kurang baik, tidak secara ahli.
amateurishly	kk. kurang baik. the work was a. done pekerjaan itu dikerjakan dengan kurang baik.
amatory	ks. penuh rasa kasih, dengan asmara cinta, dengan kasih sayang. an a. look pandangan dengan penuh rasa kasih.
amaze	kkt. mengherankan, mengagumkan, menakjubkan.
amazed	ks. kagum, heran, takjub.
amazement	kb. keheranan, katakjuban, kekaguman. to my utter a. he wont ia menang dan hal itu sangat mengherankan saya. ia menang samasekali diluar dugaan saya.
amazing	amazing
ambassador	kb. duta besar, dubes. ambassador-at-large duta besar keliling. a. extraordinary duta luar biasa. a. plenipotentiary duta besar dengan kekuasaan penuh..
ambassadress	kb. dutawati (besar), dutabesar wanita, dubes wanita.
amber	kb., ks. (warna) kuning sawo (lampu lalu lintas). a. light cahaya kuning (gading), cahaya kekuning-kuningan
ambidexterity	kb. 1 kecakapan mempergunakan kedua tangan dengan sama baiknya. 2 ketangkasan/kecakapan luar biasa.
ambidexterous	ks. 1 cakap mempergunakan kedua belah tangan dengan sama baiknya. 2 sangat tangkas/pandai.
ambiguity	(dj. -ties) ati-dua, kedwiartian, kemenduaan.
ambiguous	ks. berarti-dua.
ambition	kb. ambisi, hasrat, cita-cita. his a. life is to be a lawyer cita-cita hidupnya ialah menjadi pengacara. to make it s.o.'s a. menjadikan cita-cita seseorang.
ambitious	ks. ambisius, berambisi. he is very a. ia ambisinya keras. ia berambisi keras. ia bercita-cita keras.
ambivalence	kb. ambivalensi, dua perasaan yang bertentangan.
ambivalent	ks. ambivalen, berperasaan yang bertentangan.
amble	kki. 1 berjalan seenaknya, berjalan tanpa tergesa-gesa. he ambled along at a leisurely pace ia berjalan seenaknya tanpa tergesa-gesa. 2 berligas (of a horse)
ambrosia	kb. 1 makanan atau suguhan dewa-dewa dalam mitologi yunani. 2 masakan yang terdiri dari pisang yang diiris-iris, jeruk dan kelapa.
ambulance	kb. ambulans.
ambulatory	ks. dapat berjalan. an a. patient orang sakit yang dapat berjalan-jalan.
