fluorescent	ks. berpendar, berpijar. f. lamp/light lampu berpendar, lampu neon/tl, lampu pijar.
fluoridation	kb. hal pemberian/pembubuhan fluor kepada air minum.
fluoroscope	kb. fluoroskop.
flurry	kb. (j. -ries) 1 kesibukan/keributan yang tiba-tiba, kebingungan. 2 hujan/salju yang tiba-tiba. -kkt. (flurried) membingungkan. she became flurried dia menjadi bingung.
flush	kb. 1 gejolak, gelora. 2 semangat, kesegaran. 3 cahaya kemerah-merahan. -ks. 1 pemurah, royal. 2 sama rata/tinggi. -kk. tepat. -kkt. 1 mendirus, menyiram, membilas. 2 menyiram. -flushing kb. pembilasan (of drain, toilet).
fluster	kkt. membingungkan. to became flustered menjadi bingung.
flute	kb. 1 mus.: suling, seruling (logam). 2 arch.: galur.
fluted	ks. yang bergalur. f. coloumn tiang yang bergalur.
flutist	kb. pemain suling logam.
flutter	kb. 1 kibaran (of a flag). 2 kegugupan, kebingungan. 3 kegemparan. 4 debar, denyut. -kkt. 1 mengedip-ngedipkan. 2 mengipas- ngipaskan.-kki 1 berkibar. 2 berjela-jela (of a kite).
flux	kb. perubahan yang terus-menerus. 2 pengaliran darah atau air dalam tubuh.
fly	kb. 1 lalat. 2 golbi, tutup luar (of trousers). 3 fish.: mata pancing yang berumpan seperti serangga terbang. -kkt. (flew, flown) 1 menerbangkan 2mengemudikan. 3 mengibarkan. -flying kb. naik kapal terbang. ks. terbang.
flycatcher	kb. burung penangkap serangga.
flyer	kb. 1 pilot, penerbang. 2 inf.: percobaan. i once took a f. at insurence saya pernah mencoba bekerja dalam bidang asuransi. 3 inf.: pamflet.
flyleaf	kb. halaman buku paling depan yang tak tercetak.
flypaper	kb. kertas pelekat/perekat untuk menangkap lalat.
flyspeck	kb. tahi lalat.
flyswatter	kb. pemukul lalat.
flyweight	kb. box.: kelas terbang.
flywheel	kb. rodagaya, rodaberat, rodagendeng.
fm, f.m.	[frequency modulation] modulasi frekwensi.
fn.	[footnote] catatan dibawah halaman buku.
foal	kb. anak kuda. -kki. beranak (kuda).
foam	kb. 1 busa (from the mouth). 2 buih, busa. (of beer). -kki. 1 berbusa. 2 berbuih. f. rubber karet busa. -foamy ks. berbuih, berbusa (seperti bir, sabun dsb).
focus	kb. 1 titik api. 2 pusat. 3 med.: sarang (of infection). -kkt. 1 memusatkan. 2 menyetel lensa. -kki melihat dengan jelas.
fodder	kb. makanan hewan/ternak.
foe	kb. musuh, lawan.
foetal	= fetal.
foetus	= fetus.
fog	kb. kabut. f. bank dinding kabut. -kkt. (fogged) mengaburkan. to f. over/up menutup dengan kabut. f. light lampu (kuning) untuk menembus kabut.
fogbound	ks. terhalang oleh kabut.
fogey	kb. = fogy.
foggy	ks. berkabut. it's f. outside diluar kabut tebal.
foghorn	kb. peluit kabut.
fogy	kb. (j. -gies) orang yang sangat kolot.
foible	kb. kelemahan, kekurangan.
foil	kb. 1 kertas perak/timah. 2 sport : pedang untuk main anggar. -kkt. menggagalkan. to f. an attempt menggagalkan usaha.
foist	kkt. 1 menyelinapkan, menyisipkan tanpa diketahui. 2 menipu, mengibuli.
fold	kb. lipatan. -kkt. 1 melipat. 2 membungkus. -kki, tutup, gulung tikar. to f. back membalik. to f.in mengaduk. fold-away ks. lipatan, yang dapat dilipat. -folding ks. lipat(an), yang dapat dilipat.
folder	kb. 1 map, berkas. 2 brosur. travel f. brosur pariwisata.
foliage	kb. daun-daunan.
folio	kb. folio.
folk	kb. rakyat, bangsa. inf.: folks j. 1 sanak saudara, pamili. 2 orang - orang. f. song lagu rakyat. f. tales dongeng-dongeng rakyat.
folklore	kb. dongeng-dongeng, cerita-cerita, cerita rakyat.
folksy	ks. inf.: ramah-tamah, sederhana.
follicle	kb. kantung (rambut).
follow	kkt. 1 mengikuti. 2 menuruti. -kki. 1 terjadi, terdapat. 2 menyusul. 3 mengikuti. 4 menyusul. as follows sebagai berikut. follow-up kb. tindakan lanjutan, penyelenggaraan berikutnya. -following kb. pengikut - pengikut.
follower	kb. pengikut, penyokong.
folly	kb. (j. -lies) kebodohan, ketololan, kegoblokan.
foment	kkt. menimbulkan, menggerakkan. to f. trouble menimbulkan kekacauan.
fond	ks. sangat cinta. a f. father ayah yang sangat mencintai. to be f. of gemar. -fondly kk. sayang, kasih. to feel f. towards sayang kepada.
fondle	kkt. memanjakan, menimang.
fondness	kb. kesukaan, kemesraan, kegandrungan, kegemaran. a f. for kegandrungan kepada.
font	kb. 1 bak. 2 print.: fon, satu stel lengkap huruf cetakan yang sama jenis dan ukurannya.
food	kb. 1 makanan. f. and drink makanan dan minuman. 2 masakan. f. and clothing sandang pangan. f. for thought bahan untuk dipikirkan.
foodstuff	kb. bahan makanan.
fool	kb. 1 goblok, tolol. 2 orang gila. -kkt. mengelabui. -kki. berolok-olok. to f. around bermain-main. to f. away bermain-main dengan, mempermain - mainkan.
foolhardy	ks. gila-gilaan, membabi-buta.
foolish	ks. 1 bodoh, tolol. 2 nekad. -foolishly kk. dengan tolol. i f. agreed... bodoh benar saya menyetujui...
foolishness	kb. ketololan, kedunguan, kegoblokan.
foolproof	ks. sangat mudah dan aman sehingga seorang tololpun dapat menjalankannya/memakainya.
foolscap	kb. kertas folio.
foot	kb. (j. -feet) 1 kaki. 2 suku. -feet j. kaki. -kkt. berjalan kaki. foot-ang- mouth disease penyakit kuku dan mulut. -footing kb. pijakan, tempat berpijak.
footage	kb. panjangnya, ukuran panjang.
football	kb. football.
footbridge	kb. titian.
footgear	kb. alas kaki.
foothill	kb. bukit di kaki gunung.
foothold	kb. tumpuan, tempat berpijak, kedudukan. to get a f. in business mendapat kedudukan dalam dunia usaha.
footlights	kb., j. lampu yang menyoroti para pemain.
footlocker	kb. kopor besi.
footloose	kb. bebas untuk pergi kemana-mana atau mengerjakan apapun.
footman	kb.( j.-men) pelayan laki-laki, bujang.
footnote	kb. catatan dibawah halaman buku/majalah.
footpath	kb. jalan kecil/setapak.
footprint	kb. bekas jejak kaki.
footrest	kb. ganjal/penunjang kaki.
footsie	kb. sl.: 1 bercumbu-cumbuan secara diam-diam. to play f. beneath the table bercumbu-cumbuan dibawah meja. 2 sl.: bekerjasama (secara rahasia diam-diam).
footsore	ks. sakit kaki.
footstep	kb. langkah (kaki).
footstool	kb. ganjal/penunjang kaki.
footwear	kb. alas kaki.
footwork	kb. cara mengatur kaki.
fop	kb. pesolek.
foppish	ks. yang berhubungan dengan pesolek. he has f. manners dia bergaya pesolek.
for	kd. 1 untuk. 2 bagi. 3 selama. 4 atas. 5 karena. 6 ke. 7 terhadap. 8 supaya, agar. 9 jika. 10 demi. f. a long time lama, dalam waktu yang lama, dalam jangka waktu yang panjang. -ksamb. karena. f. sale akan dijual.
for.	[foreign] asing, luar negeri.
forage	kb. makanan hewan/ternak. f. crops tanaman makanan ternak. -kki. pergi kesana-kemari mencari makanan.
foray	kb. penggerebekan untuk perampasan, perampokan, penggarongan.
forbad(e)	lih forbid.
forbear	kki. (forbore, forborne) menahan diri, mengelak, bersabar hati. -forbearing ks. sabar, suka menahan hati/nafsu.
forbearance	kb. kesabaran, penahanan (nafsu).
forbid	kkt. (forbad(e), forbid(den) ) melarang. -forbidden ks. yang terlarang. f. fruit buah yang terlarang. -forbidding ks. yang menakutkan. he has a f. look wajahnya menakutkan.
forbore	lih forbear.
forborne	lih forbear.
force	kb. 1 kekuatan. 2 tenaga. 3 angkatan 4 gaya. -kkt. memaksa. f. force-feed memaksa menelan, mencekoki, memberi makan dengan paksa. -forced ks. 1 terpaksa. 2 dibuat-buat, dibikin-bikin.
forceful	ks. kuat. f. leader pemimpin yang kuat.
forceps	kb. gunting tang (dipakai di kedokteran).
forcible	ks. dengan memakai kekerasan secara paksa.
ford	kb. arungan. -kki. mengarungi/menyebrangi (a river).
fore	kb. bagian depan. to the f. kedepan. -ks. depan, muka. in the part of the building di bagian depan gedung itu.
forearm	kb. lengan bawah. forewarned is forearmed diberitahu sebelumnya berarti siap.
forebear	kb. nenek moyang.
forebode	kkt. meramalkan, memberi pertanda. -foreboding kb. ramalan, persangkaan, firasat. i had a f. that... saya mempunyai firasat bahwa...
forecast	kb. ramalan. weather f. ramalan cuaca. -kkt. meramalkan. to f. a victory for meramalkan kemenangan bagi. -forecasting kb. (pe)ramalan.
forecaster	kb. peramal cuaca, tukang ramal.
forecastle	kb. bangunan atas yang dimuka (pada kapal).
foreclose	kki. menyita, menutup, mencabut hak untuk menebus hutang.
foreclosure	kb. penutupan, penyitaan. f. on the property penutupan menebus harta, pencabutan hak menebus harta.
foredoom	kkt. mentakdirkan sebelumnya.
forefather	kb. nenek moyang.
forefinger	kb. (jari) telunjuk.
forefont	kb. front/garis terdepan.
forego	(forewent, foregone).= forgo -foregone ks. yg dulu-dulu, yg terdahulu.-foregoing ks. yg terlebih dahulu.
foregone	lih forego.
foreground	kb. bagian (ter)depan, latar depan. the man in the f. is my father laki-laki di bagian depan itu ayahku.
forehand	kb. tenn.: pukulan forhen.
forehead	kb. dahi.
foreign	ks. 1 luar negeri. f. affair urusan-urusan luar negeri. 2 asing, yang datang dari luar. foreign-born ks. keturunan asing. foreign-made ks. bikinan luar negeri.
foreigner	kb. orang asing.
foreleg	kb. kaki-depan.
forelock	kb. gombak. to take time by the f. merencanakan/bersiap-siap sebelumnya, mengerjakan dalam waktu yang cukup.
foreman	kb. (j. -men) mandor, kepala tukang, werekbas.
foremost	ks. terkemuka, terutama, terpenting. the country's f. stateman negarawan yang paling terkemuka di negeri itu.
forenoon	kb. pagihari, sebelum tengah hari.
forensic	ks. yang berhubungan dengan kehakiman dan peradilan. f. medicine jurisprudensi kedokteran.
forerunner	kb. 1 pelopor. 2 pratanda. a dark cloud may be the f. of the storm awan hitam mungkin pertanda hujan.
foresaw	lih foresee.
foresee	kkt. (foresaw, foreseen) meramalkan (the difficulties).
foreseeable	ks. yang dapat diduga, yang dapat diketahui dari sekarang. i expect to go in the f. future saya tidak mengharapkan akan pergi dalam waktu mendatang yang dapat diduga.
foreseen	lih foresee.
foreshadow	kkt. memberi pertanda, membayangkan.
foresight	kb. tinjauan ke masa depan.
foreskin	kb. kulup, kulit khatan.
forest	kb. hutan, rimba. f. fire kebakaran hutan. f. ranger polisi kehutanan.
forestall	kkt. mencegah.
forester	kb. rimbawan.
forestry	kb. ilmu kehutanan.
foretaste	kb. rasa pendahuluan.
foretell	kkt. (foretold) meramalkan.
forethought	kb. 1 pemikiran sebelumnya. 2 pemikiran ke masa depan.
foretold	lih foretell.
forever	kk. selalu, selama-lamanya, senantiasa. f. and ever untuk selama-lamanya.
forevermore	kk. untuk selama-lamanya.
forewarn	kkt. memperingati terlebih dahulu.
forewent	lih forego.
foreword	kb. prakata, prawacana, kata pendahuluan.
forfeit	kb. 1 denda, penebusan. 2 kehilangan. to f. a friendship kehilangan persahabatan. 2 mengorbankan. to f. o's life in a rebellion mengorbankan nyawanya dalam pemberontakan.
forgave	lih forgive.
forge	kb. tempat bekerja pandai besi. -kkt. 1 menempa. to f. on iron bar menempa sebatang besi. 2 memalsukan. to f. o's name on a check memalsukan namanya pada cek. to f. a head maju sedikit demi sedikit. -forging kb. tempaan, benda tempa, hasil tempaan.
forgene	lih forgo.
forger	kb. 1 pemalsu. 2 pandai besi.
forgery	kb. (j. -ries) pemalsuan (tanda tangan lukisan, naskah).
forget	kkt. (forgot, forgotten). lupa, melupakan. to f. o.s. mengabaikan kepentingan pribadi. forget-me-not. kb. semacam tanaman.
forgetful	ks. pelupa.
forgetfulness	kb. kelalaian.
forgive	kkt. (forgave, forgiven) memaafkan, mengampuni. f. me for being late maafkan atas kelambatanku. -forgiving ks. mudah memberi maaf. she's very f. dia mudah sekali memberi maaf.
forgiven	lih forgive.
forgiveness	kb. keampunan, tindakan memaafkan, kemauan mengampuni.
forgo	kkt. (forwent, forgone) tidak jadi melakukan sesuatu. she decided to f. the movies and study dia memutuskan untuk tidak (lagi) menonton film, melainkan belajar. = forego.
forgot	lih forget.
forgotten	lih forget.
forhcoming	ks. 1 yang datang. no compliment was f. tak ada pujian yang datang. 2 yang akan datang. f. election pemilihan yang akan datang.
fork	kb. 1 garpu. 2 percabangan menjadi dua, cabang, pertigaan. 3 anak sungai. -kki. bercabang menjadi dua. -forked ks. yang bercabang dua.
forkful	kb. segarpu penuh. sepenuh garpu.
forlorn	ks. sedih. f. hope harapan yang sangat tipis akan berhasil.
form	kb. 1 bentuk. 2 formulir, surat isisan. 3 kondisi. -kkt. 1 membentuk. 2 merupakan. 3 memperoleh. -kki. terbentuk. f. letter surat selebaran/edaran. f. of address tutursapa, bentuk/cara berbicara/menegur pada orang lain.
formal	kb. rok wanita untuk malam, gaun malam. -ks. 1 resmi, formil. 2 kaku. 3 mengenai bentuknya. -formally kk. dengan resmi. to receive f. menerima dengan/secara resmi.
formaldehyde	kb. formaldehida
formalism	kb. formalisme
formality	kb. (j. -ties) 1 formalita(s), sikap yang kaku. 2 upacara, acara resmi.
formalize	kkt. menyusun, membentuk, merumuskan. to f. o's thoughts menyusun pikirannya.
format	kb. 1 format, ukuran. a book's f. format buku. 2 pola, susunan, bentuk. what is the f. of the tv show ? bagaimana pola pertunjukan tv itu?
formation	kb. 1 pembentukan f. of a new group membentuk kelompok baru. 2 mil.: formasi. 3 bentukan, formasi.
formative	ks. yang berhubungan dengan pertumbuhan atau perkembangan. the f. years tahun-tahun pertumbuhan.
former	ks. 1 yang terlebih dahulu, yang tadi. 2 bekas, eks-, ex- my f. employer bekas majikanku. -formely kk. tadinya, dahulu.
formic	ks. f. acid asam-semut/formiat.
formidable	ks. hebat, berat. he's a f. opponent dia lawan yang hebat.
formula	formula
formulate	kkt. merumuskan.
formulation	kb. perumusan.
fornicate	kki. bersetubuh diluar nikah, berzina.
fornication	kb. perbuatan zina, persetubuhan diluar nikah.
forsake	kkt. (forsook, forsaken) meninggalkan, mengabaikan. to f. home and family meninggalkan rumah dan keluarga.
forsaken	lih forsake.
forseeable	= foreseeable.
forsook	lih forsake.
forswear	kkt. (forswore, forsworn) bersumpah untuk menghentikan. to f. o.s. makan sumpah, bersumpah palsu.
forswore	lih forswear.
forsworn	lih forswear.
forsythia	kb. semacam bunga.
fort	kb. benteng, kubu pertahanan. to hold the f. 1 bertahan. 2 meneruskan.
forte	kb. keahlian. cooking is his f. memasak adalah keahliannya.
forth	kk. seterusnya. from that day f. dari hari itu seterusnya, mulai dari hari itu. to come f. maju, tampil kedepan. to go f. keluar, pergi. and so f. dan sebagainya.
forthright	ks. jujur, terus-terang, blak-blakan.
fortieth	ks. yang keempat puluh. f. anniversary ulang tahun keempat puluh.
fortification	kb. kubu (pertahanan).
fortified	lih fortify.
fortifies	lih fortify.
fortify	kkt. (fortified) membangun benteng. to f. a city membangun benteng sekeliling kota. -fortified ks. yang diperkuat pertahanannya, dibentengi. f. area daerah yang dibentengi.
fortitude	kb. ketabahan, keuletan.
fortnight	kb. dua minggu. -fortnightly kb., ks., kk. dua-mingguan, sekali dua minggu.
fortress	kb. benteng.
fortuitious	ks. secara kebetulan saja. f. encounter perjumpaan yang kebetulan saja.
fortunate	ks. untung. f. break kejadian yang menguntungkan.
fortune	kb. 1 untung, nasib baik. i had the good f. saya beruntung. 2 kekayaan. he made his f. in oil dia menjadi kaya karena minyak.
fortuneteller	kb. ahli nujum, tukang tebak/tenung /tilik/ramal.
fortwith	kk. dengan segera.
forty	kb. (j. -ties) empat puluh. inf.: f. winks tidur sebentar. forty-five kb. 1 empet puluh lima. 2 repolper kaliber 45. 3. mus.: piringan hitam putaran 45.
fortyish	ks. sekitar 40-an tahun.
forum	kb. 1 musyawarah, majelis. 2 mimbar. 3 para pendengar.
forward	kb. soc.: pemain depan. -ks. 1 muka depan. f. section bagian muka. 2 progresip. 3 lancang. -kk. to come/go/step f. maju/tampil kedepan. -kkt. menyampaikan, meneruskan, mengirimkan terus (a letter, suggestion) forward-looking ks. memandang kedepan.
forwent	lih forgo.
fossil	kb. fosil. he's an old f. ia berpaham kolot.
foster	kkt. membantu perkembangan. the church fosters a youth group gereja itu membantu perkembangan perkumpulan pemuda.
fought	lih fight.
foul	kb. 1 kecurangan, pelanggaran.2 sport: penalti, hukuman.-ks.1 kotor 2 buruk.3 busuk.4 curang.-kk. to run f. of the law melanggar hukum.-kkt.1 mengotori.2 mencemarkan3 menyangkutkan.inf. : to f. up1 mengacau-balaukan.foul-minded ks.berpikiran keji
found	kkt. mendirikan.
foundation	kb. yayasan 2 pondasi, fondamen 3 dasar.
founder	kb. pendiri. 2 (metals) tukang cor.-kkt.1 tenggelam 2 terperosok.
foundling	kb.bayi terlantar, bayi yg diketemukan.
foundry	kb. (j.-ries) penuangan, pengecoran logam.
fount	kb. sumber.
fountain	kb. air mancur.2 kran.3 sumber.he's a f of information dia sumber informasi. soda f. tempat penjualan minuman dan eskrim.
fountainhead	kb. 1 asal, sumber asli. 2 sumber atau mata-air sebuah sungai.
four	empat. four-engined ks. bermotor empat. four-flusher kb. pembual. four-footed ks. berkaki empat. four-star ks. berbintang-empat. four- wheel ks. berempat roda.
fourfold	ks. rangkap empat. f. path jalan yang rangkap empat. -kk. empat kali lipat/ganda. production has been increased f. produksi telah ditingkatkan empat kali lipat.
fourscore	kb. delapan puluh. f. and ten sembilan puluh.
foursome	kb. sekelompok yang terdiri dari empat orang (in golf, bridge).
foursquare	ks. empat persegi. -kk. tegap, kokoh. to stand f. against menghadapi keadaan dengan tabah.
fourteen	kb., ks. empat belas.
fourteenth	ks. yang keempat belas.
fourth	ks. yang keempat. on the f. of july pada tanggal empat juli. fourth-class matter barang kelas 4 (of mail). the f. estate golongan wartawan.
fowl	kb. unggas.
fox	kb. rubah. he's sly as a f. dia secerdik kancil. -kkt. inf.: menipu secara licik. f. terrier sejenis anjing. f. trot dansa fox trot.
foxhole	kb. lubang perlindungan.
foxy	ks. licik, lihay.
foyer	kb. serambi, tempat menunggu.
fr.	[franc] 1 mata uang perancis, belgia dan swiss. 2 [from] dari.
fracas	kb. perkelahian, pertengkaran.
fraction	kb. 1 pecahan. his fraction are wrong hitungan pecahannya salah. 2 sedikit. i need a f. more dirt saya perlukan tanah sedikit lagi.
fractional	ks. kecil. a f. part sebagian kecil.
fractious	ks. rongseng, cengeng, suka mengomel. f. child anak yang cengeng.
fracture	kb. patah, retak. f. of the arm patah tulang lengan. -kkt. mematahkan.
fragile	ks. gampang/mudah pecah. f., handle with care barang pecah - belah, hati-hati. awas gelas, hati-hati.
fragility	kb. kerapuhan, kelemahan.
fragment	kb. 1 fragmen. 2 pecahan, penggalan. 3 sedikit-sedikit -kkt. memotong-motong, membagi menjadi kepingan-kepingan.
fragmentary	ks. tidak lengkap, terpisah-pisah. the evidence is f. bukti itu tidak lengkap.
