glamorous	ks. sangat menarik dan mempesonakan.
glamour	kb. daya tarik.
glance	kb. pandangan sekilas. -kki. melihat sekilas. to g. over membaca secara sepintas lalu. glancing blow pukulan sipi, pukulan yang luput.
gland	kb. kelenjar.
glandular	ks. yang berhubungan dengan kelenjar. g. tissue jaringan kelenjar.
glare	kb. 1 cahaya yang menyilaukan. 2 pandangan sorotan. -kki. membelalang, membelalak. -glaring ks. 1 yang menyilaukan. 2 yang menyolok.
glass	kb. 1 kaca. 2 gelas. 3 cermin. 4 (spy-) teropong. -glasses j. 1 kacamata. 2 (spy-) teropong. to see s.t. through rase-colored glasses melihat sesuatu secara amat optimistis.
glassful	kb. segelas penuh.
glasshouse	kb. = greenhouse.
glassmaker	kb. pembuat barang-barang elok dari gelas.
glassmaking	kb. pembuatan gelas.
glassware	kb. barang pecah-belah.
glassworks	kb. paberik kaca.
glassy	ks. 1 seperti kaca. g. sea laut seperti kaca. 2 tolol, dungu. he had a g. look pandangannya seperti orang tolol. g. stare tatapan hampa dan dungu.
glaucoma	kb. glaukoma.
glaze	kb. 1 lapisan (of ice). 2 upaman (on a china cup). -kkt. mengacai, memasang kaca (a window, picture).
glazier	kb. tukang kaca.
gleam	kb. 1 pancaran cahaya. 2 sekilas. -kki. 1 berkilat, berseri-seri. 2 bersinar.
glean	kkt. mengumpulkan sedikit. to g. all available data mengumpulkan sedikit demi sedikit semua keterangan yang ada.
glee	kb. riang, gembira. g. club paduan suara (disekolah).
gleeful	ks. dengan riang-gembira. -gleefully kk. dengan gembira-ria, dengan sangat gembira.
glen	kb. lembah kecil, celah-celah gunung.
glib	ks. lincir mulut/lidah, fasih.
glide	kb. 1 gerakan yang luwes. 2 phon.: huruf atau bunyi semivokal. 3 av.: peluncuran (tanpa memakai motor), penerbangan layang. -kki. 1 meluncur. 2 berlalu. 3 masuk dengan lemah-gemulai. 4 av.: terbang layang. -gliding kb. meluncur dengan pesawat terbang.
glider	kb. 1 (pesawat) peluncur, pesawat terbang layang. 2 furn.: kursi ayunan.
glimmer	kb. 1 cahaya yang samar-samar. 2 cahaya redup. -kki. berkelip redup (of a candle, fire).
glimpse	kb. penglihatan/pandangan sekilas. to catch a g. of s.o. melihat seseorang sekilas. -kkt. memandang melihat sepintas lalu.
glint	kb. 1 kilatan. the g. of silver kilatan perak. 2 cahaya yang menyilaukan mata.
glisten	kki. berkilau-kilauan. the diamond glistened in the light intan itu berkilau-kilauan kena cahaya.
glitter	kb. kegemilapan, kemegahan. the g. of the occasion kegemilapan peristiwa. -kki. berkerlap, berkerlip, gemerlapan.
gloat	kki. merenungkan dengan hati senang, melihat dengan tamak. to g. over o's wealth melihat dengan tamak kepada kekayaannya.
glob	kb. gumpal, selekeh.
global	ks. sedunia, sejagad. g. war perang (se)dunia.
globe	kb. 1 barang bulat/bundar seperti bola. 2 geog.: bola (peta) bumi. 3 elec.: lampu bola.
globetrotter	kb. pengeliling dunia.
globular	ks. bulat, bundar, berbentuk bola.
globule	kb. percikan, tetesan. globules of sweat percikan keringat.
gloom	kb. 1 kesuraman, kemurungan. 2 kegelapan.
gloomy	ks. 1 suram, muram, murung. to have a g. disposition sikap bermuram-durja. 2 mendung. g. day hari mendung.
glorification	kb. pemujaan.
glorify	kkt. (glorified) 1 memuja. 2 mengagungkan. 3 memuliakan. -glorified ks. dipuja. the house is a g. shack rumah itu adalah pondok yang diperindah.
glorious	ks. 1 mulia, agung. 2 meriah. 3 gilang-gemilang. g. weather cuaca cerah. -gloriously kk. senang. g. happy sangat senang.
glory	kb. (j. -ries) 1 kemuliaan keagungan. 2 semarak, cahaya kemuliaan. inf.: to be in o's g. merasa puas, bangga. -kki. to g. in merasa bangga dalam.
gloss	kb. permukaan yang halus (of furniture). 2 terjemahan, komentar, keterangan. -kkt. membubuhi catatan atau keterangan.
glossary	kb. (j. -ries) daftar kata-kata. g. of technical terms daftar istilah-istilah tehnik.
glossy	ks. yg megkilat. g.photo foto yg mengkilap. g. magazine majalah yg dicetak pd kertas yg mengkilap.
glottal	ks. yg berh. dgn celah suara. g.stop hamzah, penghentian suara dlm celah suara.
glottis	kb. celah suara.
glove	kb. sarung tangan. to fit like a g. cocok benar. g. compartment laci kecil didekat setir mobil.-gloved ks. bersarung.
glow	kb. sinar (of sunset, happiness).2 cahaya (of fire).3 suasana.-kki.1 memancarkan cahaya.2 berpijar.-glowing ks.1 yg bersemangat.2 menyala-nyala.-glowingly kk. dgn bersemangat.
glower	kkt. memandang,menatap dgn tajam. to g. at memandang dgn marah kpd.
glowworn	kb. ulat kelap-kelip.
glucose	kb. glukosa,sakar,gula anggur.
glue	kb. lem,perekat.-kkt.1 menempelkan.2 merapatkan. to be glued 1 terpaku.2 terpancang.3 tertambat.
glum	ks. muram, suram, murung.
glut	kb. persediaan yg melimpah-limpah. kkt (glutted) memakan dgn lahap.
gluten	kb. zat perekat (dlm ketan), perekat.
glutinous	ks. lengket, leceh, melekat.
glutton	kb. seorang rakus, pelahap, seorang gelojoh. he's a g. for punishment ia sudah kebal terhadap hukuman-hukuman.
gluttony	kb. (j. -nies) kerakusan.
glycerin(e)	kb. gliserin.
gmc	[germanic] yang berhubungan dengan bahasa-bahasa jerman.
gmt, g.m.t.	[greenwich mean time] waktu greenwich.
gnarled	ks. monggol, berkenjal-kenjal.
gnash	kkt. mengertakkan, mengeritkan. to g. o's teeth menggertakkan gigi. -gnashing kb. gertakan/kertakan gigi.
gnat	kb. agas yang suka menggigit. to strain at a g. menaruh keberatan terhadap hal kecil.
gnaw	kkt. menggerogoti. to g. a hole in a wall menggerogoti lubang di dinding. -kki. 1 menggerogoti lubang di dinding. 2 mengerkah. 3 mengganggu. -gnawing kb. there was a g. in his stomach perutnya rasanya. ks. perih sekali.
gneiss	kb. gneiss.
gnome	kb. jembalang, orang cebol/katai.
gnp, g.n.p.	[gross national product] hasil kotor nasional.
go	kb. 1 kesempatan. 2 giliran. -kki. (went, gone) 1 pergi. 2 berangkat. 3 hancur. 4 meninggal. 5 hilang. 6 berjalan. 7 (ber)bunyi. 8 jatuh. 9 lari. 10 naik. 11 putus. 12 menuju. 13 diperhentikan. 14 boleh. 15 diatur. 16 menjadi. -gone ks. terpesona.
goad	kb. tongkat/galah untuk menghalau. -kkt. mendorong. he was goaded beyond endurance by... dia didorong dengan tidak tertahan-tahan oleh..
goal	kb. 1 gawang. 2 cita-cita. 3 gol. 4 tujuan, sasaran.
goalie	kb. = goalkeeper.
goalkeeper	kb. kiper, penjaga gawang, penggawang.
goat	kb. 1 kambing. 2 bandot (tua). 3 orang yang dipersalahkan. sl.: to get s.o's g. membuat marah/kesal.
goatee	kb. janggut seperti janggut kambing.
gob	kb. 1 gumpal. 2 nau.: sl.: kelasi as.
gobble	kb. kokok (kalkun). -kkt. 1 melahap. to g. down/up o's food menelan makanannya dengan cepat. 2 membeli habis (bargains). -kki. berkokok (of a turkey).
gobbledygook	kb. inf.: uraian yang berbelit-belit dan sulit untuk dipahami.
gobbler	kb. kalkun jantan.
goblet	kb. gelas minum berbentuk piala.
goblin	kb. hantu, setan, jin, jembalang, peri.
gocart	kb. kereta beroda untuk anak-anak
god	kb. dewa. g. tuhan (yang maha esa). -god-fearing ks. saleh, taqwa. -god-given ks. yang diberikan tuhan.
godchild	kb. bayi yang di baptiskan digereja dan bersama itu juga diwalikan kepada orang lain.
goddaughter	kb. bayi perempuan yang dibaptiskan di gereja dan bersama itu juga diwalikan kepada orang lain.
goddess	kb. dewi.
godfather	kb. wali laki-laki seorang bayi.
godforsaken	ks. terkutuk. g. town kota yang terkutuk.
godhead	kb. kedewaan. the g. ketuhanan.
godlike	ks. ilahi(yah) kedewaan.
godliness	kb. 1 keilahian, ketuhanan. 2 kesalehan.
godly	ks. saleh. g. life kehidupan yang saleh.
godmother	kb. wali wanita seorang bayi.
godown	kb. gudang.
godparent	kb. seorang laki-laki atau perempuan yang menjadi wali atas seorang bayi.
godsend	kb. sesuatu yang tak terduga dan menggembirakan
godson	kb. seorang bayi laki-laki yang dibaptiskan di gereja dan bersama itu juga diwalikan kepada orang lain.
godspeed	kb. semoga saudara berhasil.
goes	lih = go.
