stubble	kb. 1 tunggul (jeram). 2 pangkal janggut (on o's chin).
stubborn	ks. 1 keras kepala, bandel. s. as a mule keras kepala seperti kemar. 2 susah dihilangkan (of a stain). 3 susah sembuh (of a cough).
stubbornness	kb. sikap keras kepala. s. of a stain cedera yang sukar hilang. s. of a cold pilek yang sukar sembuh.
stubby	ks. pendek dan gemuk/tegap.
stucco	kb. plester semen, plesteran. -kkt. memplesteri, melapisi (dengan semen).
stuck	lih stick.
stud	kb. 1 kuda pembiak/pacek, bapak kuda. 2 cloth.: kancing. 3 corp.: papan, tiang. -kkt. (studded) 1 menabur. 2 menatah. -studding ks. tunggak, tiang.
student	kb. 1 male) mahasiswa (at a college or university). 2 (female) mahasiswi. 3 pelajar (secondary school). 4 penyelidik (of human nature).
studied	lih study.
studies	lih study.
studio	kb. 1 studio. 2 studio, sanggar.
studious	ks. rajin belajar. to make a s. efferot to help others bersungguh-sungguh untuk menolong orang lain. -studiously kk. sangat berhati-hati.
studiousness	kb. kerajinan, kesungguhan hati.
study	kb. (j. -dies) 1 pelajaran. 2 mata pelajaran (in school). 3 penyelidikan. 4 bahan pelajaran. 5 lokakarya, kamar kerja. -kkt. 1 mempelajari (a map, customs). 2 belajar. 3 memikirkan (ways to do s.t.). 4 mernghapalkan (a part in a play). -kki. belajar.
stuff	kb. 1 bahan. 2 barang. 3 kesanggupan. -kkt. 1 mengisi (a turkey). 2 memasukkan (hands in the pocket, tobacco into a pipe). 3 menyumbat. 4 memasukkan, menyumpalkan. -stuffed ks. yang diisi. -stuffing ks. isian, pengisi.
stuffiness	kb. kekakuan (of a person). 2 kesesakan (of a room).
stuffy	ks. 1 kaku (of a person). 2 sesak (of a room). my head feels s. kepala saya rasanya tersumbat.
stultified	lih stultify.
stultify	kkt. melemahkan, mematikan semangat. stultifying atmosphere suasana yang melemahkan semangat.
stumble	kki. tersandung. be careful, don't s. hati-hati, jangan tersandung. stumbling block batu penarung, penghalang.
stumblebum	kb. sl.: orang yang janggal.
stump	kb. 1 tunggul (of a tree). 2 puntung (of arm, leg, tail). 3 ujung/puntung (of candle). 4 puntung/ujung (of pencil). -kkt. 1 membingungkan (s.o.). 2 membungkamkan (the experts). 3 kesandung (o's toes).
stumper	kb. inf.: pertanyaan yang sukar untuk dijawab.
stun	kkt. (stunned) 1 membisingkan. 2 menyebabkan kelenger/pingsan (from a blow). -stunning ks. 1 yang menarik perhatian, mempesonakan (outfit). 2 yang menulikan, membuat tuli (blow).
stung	lih sting.
stunk	lih stink.
stunner	kb. 1 inf.: seorang wanita yang menarik perhatian. 2 hal yang sungguh-sungguh mengejutkan.
stunt	kb. pertunjukan ketangkasan, akrobatik (at a circus, an motorcycles). -kkt. menghalangi,. memperlambat (o's growth). -stunted ks. terbantut (tree). 2 kerdil (person). 3 terhalang/terbantut/terintang (growth).
stuntman	kb. (j. -men) akrobat.
stupefaction	kb. 1 kelumpuhan, ketakutan. 2 keadaan kelenger.
stupefied	lih stupefy.
stupefy	kkt. (stupefied) 1 membuat seperti kena bius. 2 mengherankan. i am completely stupefied by what has happened saya sama sekali terpesona oleh apa yang terjadi.
stupendous	ks. 1 raksasa, mengagumkan. 2 menakjubkan.
stupid	ks. bodoh, dungu, tolol. don't be s. ! jangan bodoh (begitu) ! how s. of me ! alangkah tololnya saya ini ! -stupidly kk. (secara) tolol, berbuat bodoh. i s. left the key in the door saya berlaku bodoh meninggalkan kunci di pintu.
stupidity	kb. (j. ties) ketololan, kebodohan, kedunguan.
