tempter	kb. penggoda.
temptress	kb. penggoda wanita.
ten	kb. sepuluh. by tens berpuluh-puluh. for tens years untuk puluhan tahun. t. spot uang kertas sepuluh dolar.
tenable	ks. yang dapat dipertahankan (view, position).
tenacious	ks. yang mengotot, kuat bertahan, ulai, tahan.
tenacity	kb. ketahanan, kegigihan, keuletan.
tenancy	kb. (j. -ties) 1 sewa-menyewa., persewaan. 2 jangka persewaan.
tenant	kb. penyewa. t. farmer petani penyewa.
tend	kkt. merawat, memelihara (a form). -kki. cenderung. she tends to talk too loud ia cenderung untuk berbicara terlalu keras.
tendency	kb. (j. -cies) kecenderungan, kecondongan, he has a t. to stutter ia cenderung untuk menggagap.
tendentious	ks. 1 rewel, suka melawan. 2 berpihak. t. report laporan yang berpihak.
tender	kb. 1 penawaran. 2 tawaran. 3 rr.: gerobak arang lok. -ks. 1 empuk (of food). t. meat daging lunak/empuk. 2 lembut, lunak (of skin). 3 perih, sakit (of a wound, cut). 4 sabar/tidak lekas marah (parents). 5 halus. -kkt. mengajukan (o's resignation).
tender-hearted	ks. mesra, ramah, simpatik. -tenderly kk. dengan lemah lembut, dengan halus.
tenderfoot	kb. orang yang masih hijau.
tenderize	kkt. membuat/bikin empuk (steak).
tenderizer	kb. zat/bahan pelunak.
tenderloin	kb. daging pinggang yang lunak.
tenderness	kb. kelembutan (hati), kehalusan budi. 2 keempukan (of food).
tendon	kb. urat daging. t. of achilles urat daging tumit.
tendril	kb. sulur, carang.
tenement	kb. rumah petak (yamg jembel).
tenet	kb. 1 ajaran, prinsip. 2 pendirian, pendapat.
tenfold	ks., kk. lipat sepuluh, sepuluh kali lipat.
tennis	kb. tenis. t. ball bola tenis. t. court lapangan tenis. t. mutch pertandingan tenis. t. racket raket tenis.
tenor	kb. 1 tujuan, maksu, arah (of a remark). 2 suasana umum (of affairs, of life). 3 penyanyi tenor. t. voice suara tenor.
tenpins	kb., j. sejenis permaoinan pancang, menggunakan sepuluh botol-botol kayu.
tense	kb.: masa. present t. of a verb katakerja masa kini. -ks. 1 tegang, regang ( person, moment). 2 keras (of voice).
tensenees	kb. ketegangan, kerenggangan of the situation). his t. was apparent ketegangannya tampak benar. t. in the voice kekerasan dalam suara.
tensile	ks. yang dapat direnggangkan, yang berkaitan dengan ketegangan. t. strength daya rentang.
tent	kb. tenda, kemah.
tentacle	kb. 1 alat penangkap. 2 alat peraba/perasa.
tentative	ks. (bersifat) sementara. t. arrangement suatu aturan percobaan. -tentatively kk. sementara.
tenterhook	kb. kait pada bingkai peregang. to be on tenterhooks merasa tegang dan gelisah.
tenth	kb., ks. 1 (ke) sepuluh. your letter of the t. suratmu tertanggal sepuluh. 2 persepuluh. a t. of a dollar sepersepuluh dari sedolar.
tention	kb. 1 ketegangan. the t. rose ketegangan meningkat. under great t. dalam keadaan sangat tegang. nervous t. ketegangan syaraf. 2 tegangan (on a cable or rope).
tenuous	ks. lemah, renggang (relationship, influence).
tenure	kb. 1 masa jabatan (of office). 2 kedudukan tetap (as professor).
tepid	ks. suam-suam/hangat-hangat kuku (of liquid).
tercentenary	kb. (j. -j. -ries) peringatan tigaratus tahun.
term	kb. 1 masa. 2 istilah. 3 ucapan (of reproach. -terms j. 1 syarat-syarat (of a contract). 2 hubungan. -kkt. mengatakan.
term.	1 [terminal] setasiun, terminal (is, kereta api, kepal terbang]. 2 terminology] terminologi, peristirahatan. 3 [termination] pengakhiran, kesudahan.
terminal	kb. 1 stasiun (bis, kereta api). 2 setasiun, terminal, pangkalan (airlines). 3 sambungan (of a battery.
terminate	kkt. mengakhiri (a countract). -kki. berakhir (of contract.
termination	kb. 1 kesudahan, penghentian (of acontract). 2 gram.: akhiran.
terminology	kb. (j. -gies) istilah, peristilahan, terminologi.
terminus	kb. ujung penghabisan.
termite	kb. anai-anai, rayap.
tern	kb. semacam burung laut.
terr.	[territory] wilayah, daerah.
terrace	kb. 1 petak. rice t. petak sawah. 2 teras. -kkt. membuat, berteras-teras, berjenjang. -terraced ks. bertingkat- tingkat.
terrain	kb. tanah lapangan, daerah.
terrapin	kb. semacam kura-kura, penyu.
terrestrial	ks. yang berkaitan dengan bumi. t. globe bola bumi.
terrible	ks. 1 buruk sekali. t. situation keadaan yang buruk sekali. 2 mengerikan, dahsyat (of an accident). 3 malas, tidak baik (of a worker). 4 yang sama sekali tidak menyenangkan (of a talker). -terribly kk. sangat, amat.
terrier	kb. sejenis anjing.
terrific	ks. hebat, dahsyat. he got a t. reception ia mendapat sambutan yang hebat. 2 amat manakutkan, dahsyat (of a storm). 3 menyala.
terrified	lih terrify.
terrifies	lih terrify.
terrify	kkt. (terrified) mengerikan bagi, menakutkan. such a thought terrifies me pikiran yang demikian mengerikan bagiku. -terrifying ks. mengerikan.
territorial	ks. yang berkaitan dengan wilayah, daerah, teritorial. he has no t. ambitions ia tak mempunyai keinginan mengambil (tanah) wilayah orang/piuhak lain. t. waters perairan wilayah/teritorial.
territory	kb. (j. -ries) daerah, wilayah. indian t. daerah tempat tinggal orang-orang indian. sales t. daerah perdagangan.
