bedel	(coll.) surgical operation.
bedeng	1. shed, barracks. 2. 1) dike embankment of a paady field. 2) ditch. 3) flowerbed, seedbed.
bedil	gun, rifle.
bedol	bedol-desa immigration of an entire village.
bedolan	drop-out (from school).
bedudak	(java) viper.
bedug	/beduk/ large drum suspended horizontally at mosque to summon to prayer.
bedukang	k.o. freshwater catfish.
bedung	mem-bedung swathe, put on a diaper.
beeng	(sl.) very, extremely.
bega	1. ber-bega, mem-bega circle around (of a bird). 2. mem-bega aim, take aim.
begadang	(coll.) stay up and talk all night.
begadrung	gathering, meeting, assembly.
begal	robber.
begap	sturdy, stout, stocky.
begar	confirmed, inveterate
begar, beger	ber-beger, mem-beger circle around, pivot.
begasi	see bagasi.
begawan	title for hindu priest or ascetic (in shadow plays, etc.).
begini	1 thus, like this. 2 well, so (often used to start a conversation).
begitu	1 like that. 2 so, very. 3 how very. 4 just at the moment.
bego	/begok/ stupid, imbecilic, idiotic.
begondal	see begundal.
begonia	begonia.
begroting	(behroting) (coll.) budget.
beguk	1 goiter. 2 mandible, lower jaw.
begundal	hoodlum.
beha	see bh.
behandel	(coll.) mem-behandel 1 take care of, treat (patient, wound, etc.). 2 manage, handle.
behaviorisme	behaviorism.
bejana	1 container, vessel, receptacle. 2 vase.
bejat	1 damaged, spoiled (esp. of baskets, bags, etc. with split seams). 2 depraved, wanton.
bejo	(java) licky.
bek	1. (sport) backfield player. 2 (coll.) head of a village.
beka	ber-beka-beka chat, discuss.
bekak	ber-bekak be cruel.
bekakak	(sunda) whole baked chicken, esp. in weddings when bridal couple pulls it apart.
bekakas	see perkakas.
bekal	stock, supplies, provisions.
bekam	1. bruise. 2. mem-bekam 1) bleed s.o. 2) seize (prey).
bekantan	proboscis mongkey (of kalimantan).
bekas	1. 1) print, trace. 2)former (site, wife, etc.). 3) ex, former. 4 used, second-hand. 2. receptacle, container.
bekatul	1 bran. 2 rice siftings.
bekecot	see bekicot.
bekek	see berkik.
bekel	game of jacks.
beken	(coll.). well known, familiar.
beker	1. alarm clock 2. 1) trophy. 2) cup, breaker.
bekerja	1 work. 2 active (of a volcano, etc.). 3 have a celebration or ceremony.
bekicot	k.o. edible snail, similar to escargot.
bekil	k.o. fish, snapper.
beking	backing, support.
bekingisme	practice of seeking and relying on support from influential figures in (often) questionable projects.
bekisar	cross between domestic chicken and jungle fowl.
bekleding	upholstery or covering of car interior, chair, wall.
bekles	backless gown.
beklit	mem-beklit upholster s.t.
bekot	see boikot.
beku	1 frozen. 2 congealed, coagulated. 3. rigid, inflexible, unbending.
bekuk	bend in two, fold.
bekuku	/bekukung/ k.o. fish, sea bream.
bel	see also entries with bl-.
bela	care for, nurture.
belacan	shrimp or fish paste condiment.
belaco	/belacu/ unbleached cotton, gray shirting.
beladau	k.o. bolo knife.
belado	(m) a dish with red pepper sauce.
belagu	put on, act affected.
belah	1 crack, gap, crevice. 2 half, cut in half. 3 side.
belahak	mem-belahak clear o.'s throat, expectorate.
belai	mem-belai 1 caress, stroke. 2 flatter.
belajar	1 study. 2 learn.
belak	1 black spot (on wood). 2 white spot (on skin).
belaka	1 entirely, completely. 2 quite, very. 3 only, merely.
belakang	1 back, backside. 2 behind, back of. 3 later. 4 on the back of, the reverse side.
belalai	1 trunk, snout. 2 proboscis. 3 tentacle, feeler.
belalak	mem-belalak stare, open wide. 2 look at s.o. with big eyes.
belalang	1. locust, grasshopper. 2. mem-belalang stare.
belam	see balam 1.
belan	bolt. mem-belan fasten with crossbar.
belanda	1 dutch. 2 treat as dutch.
belandang	(java) mem-belandang run fast.
belandanisasi	hollandization.
belandong	see blandong.
belang	1 spot, band, stripe. 2 skin blemish. 3 blemished, spotted.
belanga	earthen cooking pot.
belangkas	1. horseshoe crab. 2. k.o. small bolo knife.
belangkin	1 asphalt. 2 black shoe polish.
belanja	1 expense, expenditure. 2 cost, expense.
belantan	club, cudgel, nightstick.
belantara	forest, jungle.
belantik	1. k.o. spear used in hunting. 2. see blantik. 3. see bintang.
belarak	see blarak
belas	1. mercy, pity. 2. teens, tens (used in numbers from 11 through 19).
belasah	whip s.o.
belastar	see blaster.
belasteng,belasting	(coll.) 1 tax. 2 duty, tariff.
belasungkawa	condolences.
belasut	growl, snarl.
belat	1 bamboo screen. 2 fish trap of plaited bamboo. 3 splint.
belat-belit	devious, surreptitious.
belati	k.o. broad-bladed knife.
belatik, belatuk	woodpecker.
belatik,belatuk	woodpecker.
belatung	maggot.
belau	1. (ber)-belau-belau-an flicker, glitter, shine. 2. see blau.
beldu	see beludru.
belebas	1 lathe. 2 ruler, yardstick.
beledang	sea eel.
beledu	see beludru.
belegar	booming noise of explosion.
beleguk	bubbling sound of water.
beleh	see sembelih.
beleid	policy.
belek	1 mem-belek operate on, cut open. 2. see blek.
belekok	see blekok.
belel	bell-bottom style trousers, wide at the cuff.
belencong	see blencong.
belendung	(java) mem-belendung be sticking out (of stomach).
beleng	ber-beleng turn around.
belengeh	mem-belengeh-kan bibir distort o.'s lips, grimace.
belenggu	handcuff , fetter, shackle of wood or iron.
belengket	mem-belenget stick, cling, adhere.
belengkik	turn.
belengkong	curve, arch.
belengset	ectropion, with the lower eyelid turned inside out.
belenong	sound of a bell.
belepotan	(coll.) 1 be smeared all over with s.t. 2 be messy.
beler	(java) cut into s.t.
belerang	sulphur.
belerong	market stall.
belesek	see blesek.
belet	(java) ke- have the need, have compelling urge (esp. to urinate or defecate).
beletak-belenong	clamg-clang (of streetcar bell).
belgia	belgium.
beli	buy.
belia	1 youth. 2 young.
beliak	mem-beliak, ter-beliak wide open and staring (of eyes). mem-beliak-kan open eyes wide.
belian	see berlian.
beliau	(respectful form of reference) he, she.
belibis	k.o. wild duck, the teal.
belida	k.o. fish.
beligo	wax gourd.
belik	see blek.
belikat	scapula, shoulder bone.
beliku	bend, curve (in road etc).
belimbing	1 ridged longitudinally. 2 star fruit, carambola.
belincung	pickax.
beling	1 porcelain. 2 shards (of glass, platter, etc.).
