nambor	(coll.) name-plaque.
namnam	k.o. fruit-bearing tree.
nampak	visible, evident. nampak-nya apparently.
nampan	tray.
namun	yet, however.
nan	(lit.) which, a particle between a noun and its modifying adjective.
nanah	suppuration, pus.
nanak-nunuk	(java) slow-moving (person), slowpoke.
nanap	1 with wide-open eyes. 2 amazed.
nanar	1 confused. 2 angry.
nanas	pineapple.
nanda	see anakanda.
nang-ning-nong	sound of metallic resonance (e.g. gamelan, bell, etc.).
nangka	jackfruit.
nangkir	(islam) o. of the two angels that observe and record o.'s deeds.
nangkring	see tangkring.
nanti	1 wait. 2 later, presently. 3 presently at (such-and-such a time), to(night), this (noon, afternoon, etc.). 4 next, it might happen that (so watch out).
nantiasa	see senantiasa.
nanyang	/nan-yang/ the overseas chinese, esp. of s.e. asia.
napal	k.o. clay (eaten for medicinal purposes).
napas	1 roan (of horses). 2. see nafas.
napekah	see nafkah.
napi	1. [narapidana] inmate, prisoner. 2. see nafi.
napoli	naples.
napsi	see nafsi.
napsu	see nafsu.
naqli	(islam) reference to relevant citation from koran.
naradakwa	accused, defendant.
naraka	see neraka.
narapidana	1 convict, prisoner, prison inmate. 2 (leg.) convicted criminal.
narapraja	gvt. official.
narasumber	resource person, informant.
narayana	1 a boyhood name of kresna. 2 (lit.) (time) of o.'s youth.
narkose	narcotics.
narkotika	narcotics.
narsisisme	narcissism.
narwastu	spikenard oil.
nas	(islam) authoritative quotation (from the koran).
nasab	1 lineage, descent (in the male line). 2 (family) tie.
nasabah	1 customer, client. 2 relationship.
nasakh	abrogated.
nasakom	[nasionalisme, agama, komunisme] "nationalism, religion, communism," political concept in sukarno era.
nasar	1 vulture. 2 see penasaran.
nasarani	see nasrani.
nasehat	see nasihat.
nasgitel	[panas legi kentel] (sl.) hot, sweet, and syrupy.
nasi	1. 1) cooked rice. 2) a meal (of rice). 2. see natie.
nasib	fate, destiny.
nasihat	advice, admonition.
nasion	nation.
nasional	national.
nasionalis	nationalist, nationalistic.
nasionalisasi	nationalization.
nasionalisir	me-nasionalisir nationalize.
nasionalisme	nationalism.
nasip	see nasib.
naskah	1 manuscript. 2 document, original text.
nasofaring	(anat.) nasopharynx.
nasrani	1 christian. 2 (lit.) portuguese, of portuguese creole descent.
natal	christmas. natal-an christmas celebration.
natalitas	birth rate.
natang	(lit.) small window, opening.
natar	basic color, background.
natie	/nasi/ (lit.) nation.
natijah	(lit.) core issue (of argument, etc.).
natirlek	(coll.) of course, naturally.
nato	[naskah asli ditetapkan oleh] (leg.) certified to be a true copy by.
natura	in kind.
naturalisasi	naturalization.
naturalisme	naturalism.
naturel	neutral-colored shoe polish.
naudu-billahi	/nauzu-billahi, naudzu-billahi/ (islam) i find protection in god, god bless us, god forbid that i should ever do it ! (uttered when hearing of a despicable act or fact).
naung	1 shadow, shade. 2 shelter, protection.
nautik	nautical.
nautika	nautical science.
nautis	nautical.
navigasi	navigation.
navigator	navigator.
nayaga	see niyaga.
nayuban	see tayub.
nazam	poem, composition.
nazar	1. (rel.) vow (to do s.t. if prayer is gratted). 2. eagle.
nazir	see nadir.
ndableg	/ndablek/ (java) 1 stubborn. 2 thick skinned.
ndak	1 (coll.) no, not. 2. see hendak.
ndang-ndut	see dang dang dut.
ndoro	(java) master, term of address for a member of the aristocracy.
ndoroisme	feudal attitude.
nduk	(java) see genduk.
ndut-ndutan	(coll.) pulsate, throb (with pain, etc.).
ne	(china) term address for o.'s mother.
nebeng	(jakarta) 1 sponge off s.o. 2 hitchhike.
necis	(coll.) neat, well groomed.
nederlan	/nederland/ the netherlands.
nefo,nefos	[new emerging forces] newly independent countries (sukarno-era term).
neg.	1. [negeri] country. 2 [negara] nation, state.
negara	state. tamu-negara state guest. negara-berkembang developing country. negara-hukum constitutional state. negara-terbelakang underdeveloped state.
negarawan	statesman.
negasi	negation.
negatif	/negatip/ negative.
neger	/neher/ (coll.) negro, a black (esp. in colonial period).
negeri	1 country, land. 2 (m, e. indonesia) village. 3 state-owned, state-run.
negosiasi	negotiation.
neher	see neger.
nek	1. 1) too rich (foods). 2) indigestion due to greasy foods. 2. see enek. /ne`k/ see nenek.
neka	see aneka.
nekad	see nekat.
nekar	marbles.
nekara	(lit.) kettledrum.
nekat	determined, to do s.t. no matter what, ready to take serious risks.
nekel	see nikel.
neko-neko	(java) 1 all k.o. things. 2 do diverse things unnecessarily.
nekolim	[neokolonialisme, kolonialisme, imperialisme] neocolonialism, colonialism, imperialism (sukarno-era term).
nekrologi	necrology.
nelangsa	(java) arousing pity.
nelayan	fisherman.
nelongso	pathetic.
nem	see enam.
nempil	(java) buy s.t. from a place of business that does not normally sell that item, e.g. buy (uncooked) rice from a food stall.
nemplok	1. position o.s. 2. 1) lean on. 2) depend.
nemu	see temu 2.
nen	see nan.
nenas	see nanas.
nenda	see nenekanda.
nenek	1 grandmother, great-aunt. 2 (in some regions) grandfather, great-uncle. 3 respectful term of reference and address (esp. as nek) for elderly persons (esp. women) and, in some areas, dangerous wild animals, e.g. tigers, etc.
nenekanda	/nenenda/ grandmother (esp. in letters).
nener	young milkfish.
neng	(jakarta, sunda) polite form of address to younger woman.
neng-nong	sound of metallic ringing (e.g. railway crossing bells, gamelan, etc.).
neo	neo-. neo-kolonialisme neocolonialim.
neolitis	neolithic.
neologisme	neologism.
neon	fluorescent or neon light.
neonisasi	provision of flourescent lamps for street lights.
nepotisme	nepotism.
neraca	1 pair of scales. 2 balance.
neraka	1 hell. 2 destruction, misfortune.
nerawang	translucent, lacy.
nerimo	(java) passive, acquiescent to o.'s fate.
nerocos	see crocos.
nesan	see nisan.
nestapa	sorrow, grief.
net	1. clear, precise. 2 (sport) net.
netral	1 neutral. 2 uncommitted, nonaligned.
netralis	neutralist.
netralisasi	neutralization.
netralisir	neutralize.
netralisme	neutralism.
netralitas	/netralitet/ neutrality.
netron	see neutron.
netto	(fin.) net.
neurolog	(med.) /nerolokh/ neurologist.
neurologi	(med.) /nerologi, nerolokhi/ neurology.
neutron	/netron/ neutron.
neven	ancillary (of an organization).
ng-	see also entries with k-.
ngabehi,ngabei	(java) title of nobility.
ngaben	(bali) cremation.
ngablak	open wide.
ngabrukin	(jakarta) slam or set s.t. down with a crash.
ngabuburit	(sunda) seek amusement and distractions while waiting for day's fast to end.
ngacau	see kacau.
ngaceng	(coll.) 1 be erect. 2 have an erection.
ngacir	1. flee, run away. 2. (coll.) 1) in disarray. 2) helter-skelter.
ngaco	1. (coll.) talk at random, talk without knowing what o. is talking about. 2. see kacau.
ngadak-ngadak	make a fuss.
ngadat	1. break down, sulk, go wrong. 2. 1) make a fuss, cry and be naughty. 2) not run properly (of car).
ngahari	see gahari.
ngai	(china) i.
ngak-ngik-ngok	/ngak-ngik-nguk/ 1 sound of cacophonic music. 2 low grade music (esp. pop music).
ngakak	boisterous laughter.
ngalor-ngidul	(java) in all directions, without direction.
ngambek	pout, mope.
ngambreng	have a pervasive odor.
ngambul	(java) sulk.
ngamen	1 beg while singing playing musical instruments or reciting prayers. 2 be persistent (like a singing beggar).
ngana	(coll., menado, n. maluku) you (singular).
nganga	agape.
ngangeni	see kangen.
ngangut	mumble to o.s.
ngantek	1. (java) until. 2. (coll.) be a lackey.
ngantuk	see kantuk.
ngap-ngap	gasp for breath, pant.
ngapa	(coll.) see mengapa.
ngarai	(m) chasm, gorge.
ngarep	see harap.
ngarit	see arit.
ngarsa-dalem	/ngarso dalem/ (java) the sultan (of yogya).
ngarti	(jakarta, sunda) understand, comprehend.
ngaung	sound of s.t. resonating (airplane, etc.).
ngawur	do s.t. haphazardly or without basis.
ngayau	see kayau 1,2.
nge-	see also entries with e-. or the root alone.
ngeak	sound of a baby crying.
ngebet	(coll.) want s.t. intensely, desire s.t. very stroungly
ngebluk	see kebluk.
ngebodoin	(jakarta) see bodo 2.
ngeden	(java, jakarta) strain during bowel movement.
ngedumel	grumble, complain under o.'s breath.
ngek-ngek	sickly.
ngel-	see also entries ngl-, l-.
ngelantur	1 stray (from a path). 2 digress.
ngelayap	(jakarta) wander around.
ngelayat	make a visit of condolence.
ngeledek	(jakarta) tease.
ngelendot	hang on to (arm, sarong edge, etc., e.g. a child hanging on to his mother).
ngelesot	(java) sit on the ground or floor.
ngelindur	(java, jakarta) talk in o.'s sleep.
ngelmu	esoteric knowledge.
ngeloneng	see loneng.
ngelotok	(jakarta) burst open (of fruit).
ngeloyor	1 (jakarta) slither. 2 (coll.) leave without saying goodbye.
ngelu	(java) have a headache.
ngeluyur	1 loaf around, stroll about without purpose. 2 hang around.
ngemong	see emong.
ngemut	see kemut 2.
ngenes	(java) deeply saddened.
ngengap	gasp for breath, pant.
ngengat	moth.
ngenger	(java) live with s.o. (esp. relatives) and do chores in return for room and board.
ngengkel	see engkel.
ngentit	(coll.) shortchange s.o. cheat s.o.
ngentot	see entot.
ngenyek	see enyek.
ngeong	meow.
ngepas	1 try clothes on. 2 fit (of clothes). 3 be just enough.
ngepiah	see piah.
ngepot	see kepot 1.
ngepres	1 tight (of clothing). 2 urgent.
nger-	see also entries r-.
ngeram	see eram.
ngeran	see keran 4.
ngereh	(java) boss around.
ngerem	see rem.
ngeres	1 (java) unpleasant or irritating sensation due to sand or dust (of sand in o.'s sheets, dust in o.'s eyes, etc.). 2 (coll.) touching, sad.
ngeri	1 horrified. 2 horrifying.
ngerokok	smoke s.t.
nges	(java) very agreeable.
ngeslong	see slong.
ngetem	wait for sufficient numbers (of passengers).
ngeteng	see keteng.
ngetop	be on top.
ngetrek	1 operate a public vehicle along such a route. 2 drive a vehicle very fast.
nggak	(coll.) no, not.
ngglenggem	see glenggem 2.
nggreges	see greges.
nggrengseng	see grengseng.
