percis	see persis.
percit	spurt forth strongly.
percul	dart away.
percuma	see cuma.
perdana	1 principal. perdana-mentreri prime minister, premier. 2 inaugural, first introduction to the public.
perdata	(leg.) 1 court of justice. 2 civil (cases).
perdatam	[departemen] perindustrian dasar dan pertambangan] (department) of basic industries and mining.
perdeo	see prodeo.
perdikan	freed from payment of taxes (in villages) as result of assuming some burden or responsibility.
perdiping	story, floor.
perdom	(coll.) mild swear word.
perdu	1 clump (of bamboo, etc.). 2 lowest part of tree trunk.
perduli	see peduli.
pere	see perai 1.
pereaksi	reagent.
perebutan	struggle, fight.
peredaan	quieting down, slowing down (of activity, etc.).
peredam	k.o. device to reduce noise or light.
peredus	1 pregnant. 2 potbellied.
pereh	be overly meticulous.
perei	see perai 1.
perek	/prek/ [perempuan eksperimental] loose and freewheeling girl. /pere`k/ see prek.
perekat	glue. adhesive.
perekik	see prikik.
peremajaan	rejuvenation, renovation.
pereman	see preman.
perembetan	involvement.
perembukan	1 discussion, deliberation. 2 conference, consultation.
perempuan	1 woman, female. 2 feminine.
perenang	see renang, centang-perenang.
perenggi	(lit.) european.
perentang	see centang-perenang.
perenung	daydreamer.
peres	see peras. /pe`re`s/ leveled off.
peresmian	1 official announcement or appointment. 2 official appointment. 3 formal ceremony (of dedication, etc.).
peretas	1 o. who breaks through. 2 instrument for opening s.t.
peretel	see pretel.
perewa	(m) o. who lives outside customary law.
perewangan	see prewangan.
perfeksionis	perfectionist.
perfeksionisme	perfectionism.
perforasi	perforation.
perforator	hole puncher.
pergajul	see bergajul.
pergat	(naut.) frigate.
pergaulan	1 association, social intercourse. 2 society. 3 sexual intercourse.
pergedel	see perkedel.
pergi	1 go. 2 leave, be out. 3 (coll.) go to.
pergigian	dentition, dentistry.
pergok	1 catch by surprise. 2 catch s.o. red-handed.
pergol	/pergul/ gold-plated.
pergolakan	pergolakan
pergulatan	1 wrestling. 2 struggle, encounter, contact.
pergumulan	1 wrestling. 2 stuggle.
pergundikan	concubinage.
perguruan	1 instituation, school. 2 school (building). 3 instruction.
perhal	see peri 1.
perhatian	1 attention, notice. 2 interest.
perhentian	1 cessation, discontinuance, closing down (of factory program, etc.). 2 stopping place (of bus, etc.).
perhiasan	1 jewelry (esp, gold). 2 decoration (in building, etc.).
perhimpunan	1 association, organization. 2 gathering place, place of assembly.
perhitungan	1 calculation, computation. 2 accounting. 3 consideration.
perhubungan	1 communications (radio, highway, etc.). 2 liaison. 3 relationship.
perhutanan	1 forestry affairs. 2 forestry service.
peri	1. 1) having to do with. 2) attitude. 2. (lit.) k.o. female celestial being of exceeding beauty.
peria	1. see pria. 2. see pare.
periai	see priyayi.
perian	bamboo for carrying water.
peribadatan	observance of religious duties.
peribahasa	proverb.
peribumi	see pribumi.
peridi	fertile (of animals).
peridolar	see peri 1.
perigi	well, spring.
perih	see pedih.
perijam	see peri 1.
periksa	1 investigation, inspection, examination. 2. get o.s. examinated.
perilaku	behavior.
perimnas	[perumahan nasional] national housing authority.
perinci	see rinci.
perincian	1 details, the way s.t. is broken down (of calculation, etc.). 2 subsection.
perincis	specify.
perindustrian	industry, industrial affairs.
pering	1. bamboo. 2.stink.
peringan	s.t. which lightens s.t.
peringanan	1 lightening of s.t. 2 (leg.) commutation of a sentence.
peringkat	1 level. 2 rank.
perintah	order, command.
perintis	see rintis.
periode	period (of time).
periodik	periodic, rotating.
periodisasi	division of history into periods.
perisai	shield.
periskop	periscope.
peristirahatan	place provide for employees or members of a given group to spend their vacation.
peristiwa	1 event, incident, happening, affair. 2 phenomenon.
periuk	caldron, cooking pot.
perjajakan	1 measuring. 2 investigation.
perjaka	young, unmarried man.
perjalanan	1 trip , journey , tour 2 course .
perjanka	[perushaan jawatan kereta api] state railway corporation.
perji	see farji.
perjurit	see prajurit.
