reben	o.-way glass.
rebewes	(coll.) driver's license.
rebo	see rabu.
reboasasi	/reboisasi/ reforestation.
rebon	k.o. small shrimp.
rebu	see rabu.
rebung	bamboo shoot.
rebus	boiled.
rebut	1 snatch away, take away by force. 2 struggle to obtain a goal.
reca	see arca.
recak	1. light pockmarks. 2. (m) ride (a horse).
recall	/rikol/ (pol.) recall and force resignation of member of parliament for failure to agree with party policies.
receh	see uang.
recet	cry, protest.
recik	droplet.
recok	1 noise, uproar. 2 excitement.
recup	burgeon.
red.	1. [redaksi] editorial staff. 2. [redaktur] editor.
reda	abate, subside. /re`da/ see rela.
redah	1. (m) cut down (trees). 2. traverse s.t.
redaksi	1 editorial staff. 2 wording (of text).
redaksionil	pertaining to editing.
redaktris	female editor.
redaktur	editor.
redam	1 vague, dim, faint. 2 muffled, hushed.
redaman	attentuation.
redang	1. lukewarm, tepid. 2. bog.
redap	1. tambourine. 2. spread. 3 impenetrable.
redas	see redah 2.
redenasi	reasoning.
redha	/redho/ see rela.
redi	ready.
redistribusi	redistribution.
redla	/redlo/ see rela.
reduksi	1 reduction. 2 discount.
reduktor	(chem.) reductor.
redum	sound of thumping.
redundansi	redundancy.
redup	1 overcast, dull. 2 dull, dreary. 3 extinguished (of embers).
reduplikasi	reduplication.
reedukasi	reeducation.
reekspor	reexport.
reevaluasi	reevaluation.
referat	k.o. university level course relying on a single reference book.
referensi	reference (logical, bibliographical, etc.).
refleks	reflex. be-refleks show reflex.
refleksi	reflection.
reflektor	reflector.
reformasi	reformation.
reformir	reform.
reformis	reformer.
reformisme	reformism.
reformulasi	reformulation.
reformulir	reformulate.
refrain	(music) refrain, chorus.
refraksi	refraction.
refungsionalisasi	refunctionalization, i.e. reorganization of a staff such that the same personel hold new positions.
rega	(coll.) see harga.
regang	tense, tightly stretched.
regat	take a shortcut (by following a straight line). /re`gat/ regatta.
regel	1 ruler. 2 lath (for tracing).
regen	regent.
regenerasi	regeneration.
reges	(jakarta) defoliated.
regi	1. administration. 2. (film) director.
regiem	/regim/ see rezim.
regimentasi	regimentation.
regional	regional.
regionalisasi	regionalization (of power, etc.).
regisir	see regi 2.
registrasi	registration.
reglemen	regulation.
reglementasi	/reglementering/ imposition of regulation.
regol	1 (java) archway, entrance. 2 drainage pipes (under bridges, etc.).
regresi	regression.
regu	1 team, group. 2 shift.
reguk	a slug, a drink.
regular	/reguler/ regular.
regularisasi	regularization.
regulasi	regulation.
reh	(java) boss around.
rehabilitasi	rehabilitation.
rehabiliter	/rehabilitir/ rehabilitate.
rehal	(islam) k.o. folding book stand for the koran during recitations.
reindoktrinasi	reindoctrination.
reinkarnasi	reincarnation.
reja	remains, waste, leftover.
rejah	transgress s.t.
rejam	see rajam.
rejan	strained, forced (of coughs, etc.).
rejang	1. horoscope, almamac (for finding favorable days). 2. see rajang. 3. see lejang.
rejasa	tin.
rejeb	(java) see rajab.
rejeki	see rezeki.
rejeng	(jakarta) seize, catch (several people).
rejim	see rezim.
rejimentasi	see regimentasi.
rejuk	jump forward.
rek	1. row, line. 2. sound of rubbing. 3. see arek. 4 see rak 2.
reka	1 invention, creative action. 2 trick, ruse.
reka'at	see rakaat.
rekah	craked, split, broken.
rekalsitran	recalcitrant.
rekam	see rakam.
rekan	comrade, colleague.
rekanan	1 partner, friend. 2 partnership. 3 steady customer.
rekap	/rekapitulasi/ recapitulation.
rekat	glue s.t. together or to s.t. else.
rekayasa	engineer (changes, etc.).
reken	(coll.) count.
rekenan	calculation, mathematics.
rekening	1 bill. 2 ( fin.) bank account.
rekes	(leg.) petition, formal request for s.t.
rekisitor	/rekisitur/ see rekuisitoir.
reklamasi	reclamation.
reklame	advertisement.
reklasering	/reklasifikasi/ reclassification.
rekomendasi	recommendation.
rekomendir	recommend.
rekonsiliasi	reconciliation.
rekonstruksi	1 (ling.) reconstruction. 2 reconstructing the crime, events, etc.
rekonstruktif	reconstructive.
rekor	record (in sports, politics, etc.).
rekreasi	recreation.
rekrut	recruit.
rekrutir	recruit s.o.
reksa	(java) watch over, guard.
rekstok	exercise bars (esp. on walls).
rektifikasi	rectification.
rektor	(acad.) head of university.
rektorat	(acad.) office of university head.
rektorium	(acad.) 1 presidium governing university. 2 university president's office.
rekuiem	/rekuim/ requiem.
rekuisisi	requisition.
rekuisitoir	/rekuisitor, rekwisitoar, rekwisitor/ (leg.) sentence demanded by public prosecutor, prosecutor's summation.
rel	railway track.
rela	willing, acquiesce in.
relai	crumble, fall to pieces (of cakes, etc.).
relaks	see rilek, rileks.
relang	1. glitter, flash. 2. rattan hoop.
relap	shine, glisten.
relasi	1 customer, client. 2 relations.
relatif	relative.
relativis	relativist.
relativisme	relativism.
relativitas	(phys.) relativity.
relawan	volunteer.
relban	railroad tracks.
relevan	relevant.
relevansi	relevance.
relevir	relevant.
relief	relief on temple walls, etc.
religi	religion.
religiositas	religiosity.
religius	religious.
relikui	(rel.) relics.
reliwan	participant in a sports rally.
relung	niche, recess, hollow.
rem	brake.
remah	crumbs, food remnants.
remai	sharply painful.
remaja	adolescent.
remak	preferable, more valued.
remang	1. 1)cloudy, overcast. 2) obscure, vague. 2. stand on end (of hair). 3. 1) buzz, hum of insects. 2) stream, flow (of perspiration, tears).
remang-remang	1 blurred, barely visible. 2 dim, obscure.
remas	see ramas 1.
rematik	rheumatism.
remba	a pair.
rembah	drip.
rembang	midpoint of a certain period of time.
rembes	1 ooze out, leak. 2 permeate, seep in. /re`mbe`s/ (java) k.o. eye disease in which the eyes are watery.
rembet	1. hampered, obstructed. 2. 1) creep, climb up. 2) hang down. 3) spread.
rembih	see rembah.
rembong	(java) be frayed.
rembug,rembuk	discuss, confer.
rembulan	(java) moon, s.t. similar to the moon.
rembunai	average, normal.
