sadistis	sadistic.
sadmatra	hexameter.
sado	1 two-wheeled horse-drwn carriage. 2 (sumatra) small motorized jitneys or taxis used for urban transportation.
sadrah	submissive, resigned.
sadran	(java) ceremony to pay homage to ancestoral spirits.
sadsudut	(math.) hexagon.
sadtunggal	province or kabupaten-level council of the six highest gvt. officials (in the 1960s).
sadur	coating of metal.
saduran	1 metal coating. 2 adaptation.
saf	line, series, row.
safaat	see syafaat.
safar	(islam) the 2d month of the arabic calendar.
safari	1 safari. 2 traveling group (of entertainers, etc.).
safi	clean, pure.
safir	/safier/ sapphire.
saga	k.o. tall pinnate tree and its red seeds. merah-saga bright red.
sagang	1 buttress, support. 2 use a pole to ward off.
sago	see sagu 1.
sagon	cookie made of rice flour with coconut and sugar.
sagor	see sagur.
sagu	1. sago palm or its products. 2. (coll.) code name for narcotic powder.
saguer	/saguir/ (north sulawesi) palm toddy.
sagur	dugout canoe.
sah	1. 1) valid, legal. 2) legally, officially. 3) certain, for sure. 2. see syah 1.
sahabat	friend.
sahadat	see syahadat.
sahaja	1. simple, natural. 2. do s.t. on purpose. 3. see saja.
saham	1 share, stock. 2 contribution. 3 part, role (in an affair, etc.).
sahan	large plate, platter.
sahang	black pepper.
sahap	cover, lid.
sahaya	1. (lit.) slave, servant. 2. see saya.
sahbandar	see syahbandar.
sahdan	see syahdan.
sahdu	see syahdu.
sahib	(lit.) owner, possesor.
sahibul-hikayat	(lit.) author.
sahid	see syahid.
sahifah	(leg.) document.
sahih	valid, genuine.
sahir	see sihir.
sahkan	1. see usah. 2 see sah 1.
sahur	1. (islam) the meal eaten before daybreak during the fasting month. 2. see saur 2.
sahut	answer s.o.'s call.
sahwat	see syahwat.
sai	1. enattentive, careless. 2. /sa'i / ceremony of running between the hills of sofa and marwa during the hajj.
said	see sayid.
sailan	ceylon.
saing	1. compete. 2. fang, tusk.
sains	science.
sair	/sa'ir/ see syair.
sais	(lit.) coachman.
saja	1 only, nothing else than. 2 just, only (as the best thing under the circumstances). 3 exactly, name the things, people, etc. (with interrogative words). 4 just, exactly. 5 just, alone. 6 emphasizing particle. 7 (java) even. 8 nevertheless.
sajadah	(islam) prayer rug.
sajak	1 poem, verse, lyrics. 2 rhyme.
sajarah	see sejarah.
sajen	(rel.) offering of flowers or food (to spirits, etc.).
saji	dishes laid out on the table.
sajian	1 dish of food offered to quests. 2 see sajen.
sak	1. 1) sack, bag. 2) pocket 2. see syak.
saka	1 heritage. 2 heirloom.
sakadang	term of address in fables.
sakaguru	see sokoguru.
sakal	see angin, samun 2.
sakalor	(sunda) epidemic.
sakap	sharecrop.
sakar	(chem.) sugar.
sakaratulmaut	/sakarat ulmaut/ see sakratul maut.
sakarin	saccharin.
sakarosa	(chem.) sucrose.
sakat	1. tease, annoy. 2. beach a boat.
sakduk	kerchief.
sake	k.o. alchoholic beverage, shake.
sakedidi	see kedidi.
sakelar	electric switch.
sakelek	(coll.) matter-of-fact, businesslike.
sakharin	see sakarin.
saking	(coll.) on account of.
sakit	1 ill, sick, sickness. 2 sore, painful. 1 be ill. 2 in pain. 3 illness, sickness. 4 hardship, misery, trouble.1 disease, illness. 2 trouble. 3 bad habit.
saklar	see sakelar.
sakral	sacred.
sakramen	(rel.) : sacrament. sakramen-perminyakan (suci) (rel.) extreme unction.
sakrat-ulmaut	/sakratul maut, sakratulmaut/ death agony.
sakristi	sacristy.
saksama	see seksama.
saksi	1 witness. 2 testimony.
saksofon	saxophone.
saksofonis	saxophonist.
saksrak	search through s.t. by beating it.
sakti	1 supernatural, divine power. 2 having magic or divine power. 3 sacred.
saku	1 bag, sack. 2 pocket.
sakura	1 cherry tree. 2 (coll.) other trees bearing pink blossoms.
sakwasangka	see syak.
sal	1 hospital ward. 2. see syal.
sala	see solo.
salada	see selada.
salah	1. 1) fault. 2) (coll.) be at fault, be guilty. 3) mistake. 4) wrong. 5) be in the wrong, mistaken. 6) do s.t. the wrong way. 2. o. of the, o. out of several.
salai	1 smoked. 2 dried. salai-an grill, grate.
salak	1. the zalacca palm and its fruit. 2. high-pitched bark.
salam	1. 1) peace (in greetings). 2) greetings. 2. see daun. 3. see ikan.
salamalaikum	/salam lekum/ see assalam alaikum.
salaman	salaman
salang	stab with a knife, dagger.
salap	see salep.
salasilah	genealogy.
salat	1. salad. 2. see solat.
salawat	see selawat.
saldo	(fin.) balance.
sale	see salai.
saleh	pious, virtuous, godly.
salem	see ikan.
salempang	see selempang.
salep	ointment, salve.
salesman	salesman.
sali	steadfast.
salib	1 (bib.) (christian) cross. 2 see salip. peny-(s)alib-an crucifixion.
salih	see saleh.
salim	healthy.
salin	1 change clothes. 2 bear a child, give birth.
salinan	1 copy. 2 translation.
saling	o. another, mutual(ly). saling-tergantung/bergantung(an) interdependent.
salinitas	(chem.) salinity.
salip	pass, overtake (a car).
salju	snow.
salla'llahu'alaihiwasallam	(islam) may allah bless him and give him peace (said after mentioning muh.'s name).
salmiak	ammonium chloride.
salome	[satu lobang rame-rame] (sl.) 1 prostitute, loose women. 2 golf.
salon	1 drawing room. 2 console.
salp	see salep.
salto	somersault.
saluir	salute.
saluk	man's kerchief.
salung	flute.
salur	1 channel, gutter, duct. 2 (tel.) line (switchboard). 3 lines, stripes.
salut	1. 1) cover, envelope. 2) wrapping. 3) casing. 2. 1) salute. 2) greetings. 3) respect, admire.
salvo	salvo, volley.
salwat	see selawat.
sama	1. same, equal. 2. 1) (coll.) together, with. 2) and. 3) do together, also do. 4) (coll.) regarding (an all-purpose preposition). 5) plural marker of adjectives.
sama-ada	whether.
sama-rata	see sama1.
sama-sekali	absolutely.
samadi	see semadi.
samak	1. tannin. 2. covered, plated.
samapta	(mil.) ready, prepared.
samar	1 dim, vague, indistinct. 2 obscure, hidden. 3 disguised, masked. samar-an object of disguise, camouflage.
samas	(rel.) deacon (protestant).
sambal	condiment us. containing chili peppers. sambal-bajag/bajak fried spieces. sambal-terasi sauce made with shrimp paste.
sambalewa	done half-heartedly.
sambang	1. watch, guard, patrol. 2. (java) disease or affliction caused by evil spirits. 3. empty honeycomb. 4. (java, jakarta) visit.
sambar	1 swoop down and seize. 2 strike, attack. 3 steal, rob.
sambat	1. (java, jakarta) ask for help. 2. connected, joined.
sambatan	1 (mutual) assistance. 2 assistant. 3 help each other.
sambekala	(java) accident.
sambel	see sambal.
samben	1 sideline, part-time extra job. 2 side issue.
samber	see sambar.
sambet	1 struck by a sharp object. 2 struck with disease.
sambi	1 do at the same time. 2 have a side job.
sambil	while, at the same time.
sambilan	1 side line. 2 part-time. 3 pretext.
sambit	throw.
sambuk	a whip.
sambung	1 continue, go on (in conversation). 2 be connected.
sambur	see sabur.
sambut	answer.
sambutan	welcome, reception. 2 answer, response, reaction. 3 agreement, approval. 4 speech given in formal setting where a representative from every group attending says a few words.
samedi	see semadi.
samenleven	live together like husband and wife without benefit of matrimony.
samenwerking	cooperation.
samimawon	(java, humorous) it is just the same.
samin	see minyak.
samirana	breeze.
samiri	(bib.) samaritan.
samodera	see samudera.
sampah	rubbish, trash. sampah-hijau compost. sampah-masyarakat scum of society.
sampai	1. 1) to, till, as far as. 2) arrive. 3) reach, extend far enough. 4) arrive, materialize. 5) go as far as to, get to the point of. 2. hang up to dry.
sampaian	1 rack, hat rack. 2 drying frame, clothesline.
sampak	metal band around a knife handle.
sampan	small boat, dugout.
sampang	1. brown varnish. 2. paddle at stern of the boat. 3. stock to hold water buffalo's neck. 4. k.o. tree.
sampanye	champagne.
sampar	plague, pest.
sampe	see sampai 1.
sampean	(java) you (polite).
sampek	see sampai 1.
sampel	sample.
samper	(coll.) call on s.o., drop by to pick s.o. up.
sampeyan	see sampean.
sampi	see sapi.
samping	1. side. 2. ceremonial sarong (us. silk with gold threads).
sampir	hang.
sampiran	1 place to hang clothes, a rack, peg, hook. 2 first two lines of a pantun, couplet.
sampo	shampoo.
sampu	1. shampoo. 2. (med.) anemia.
sampuk	run into s.o., fly at.
sampul	cover, wrapper. sampul-bantal pillowcase. sampul-surat envelope.
sampur	(java) sash, k.o. long scarf worn by female dancer.
samroh	k.o. islam music sung in chorus (us. by women).
samseng	1 gamecock. 2 rowdy, bully.
samsi	1. (china) lion dance. 2. sun.
samsir	(lit.) k.o. sword.
samsonit	attache case.
samudera	/samudra/ ocean. samudera-indonesia indian ocean.
samudrawi	oceanic.
samun	1. bushes, shrubs. 2. samun-sakal robbery accompanied by violence.
samurai	1 samurai sword. 2 samurai.
san	see sersan.
sana	there, yonder.
sanak	relative.
sanat	(islam) muslim year. sanat-masehi a.d.
sanatorium	sanatorium, health resort.
sanca	see ular.
sandal	sandal, open-toe slipper. sandal-jepit/jepang sandals with a thong.
sandang	1. shoulder strap.sandang-an sling. 2. clothing. sandang-pangan food and clothing, basic necessities.
sandar	1 lean on. 2 (naut.) moor, tie up (ship). 3 be dependent on, be based on.
sandaran	1 support, assistance. 2 abutment, prop, back. 3 basis.
sandel	1. kayu-sandel sandalwood. 2. see kuda. 3. see sandal.
sandera	1 hostage. 2 debt bondsman.
sandi	code. kata-sandi codeword.
sanding	1. close, near. 2. sharp angle.
sandiwara	1 play, drama. 2 theatrical troupe.
