semenda	related by marriage.
semendal	(geog.) mica.
semenggah	proper, seemly.
semenjak	(lit.0 since.
semenjana	mediocre.
sementang	just because.
sementara	1. 1) while. 2) provisional, temporary, interim. 2. certain unnamed party.
semer	see semir.
semerap	absorbent, absorptive.
semerbak	1 fragrant. 2 pervade (fragrance).
semesta	whole, entire, total.
semestaan	universalism.
semestinya	should have been.
semi	young shoot.
semi-final	1 (sport) semi-finals. 2 semifinal.
semi-finals	semifinalist.
semiang	1 a bit. 2 a grain, a drop of s.t.
semilih	alternating.
semilir	breezy (of wind).
seminar	see sinar. /se`minar/ seminar.
seminari	(rel.) seminary.
seminaris	(rel.) seminarian.
semingkin	all the more.
semiotika	semiotics.
semir	polish.
semisal	be like.
semoga	may it happen, i hope that.
semokel	smuggling.
semokelar	(coll.) smuggler.
sempadan	1 border, demarcation. 2 (sport) finishing line.
sempak	1. chipped. 2. see swempak.
sempal	(java) broken, chipped.
sempalan	fragment.
sempana	see sempena.
sempat	1 have sufficient time, opportunity. 2 still be able to do s.t.
sempe	k.o. waffle, wafel. /se`mpe`/ (ambon) k.o. earthenware bowl.
sempelah	1 rubbish, dregs. 2 useless, of no value.
sempena	blessing.
sempena-hati	conscience.
semper	paralyzed.
semperit	see semprit 1.
semperong	see semprong.
semperot	see semprot 1.
sempit	1 narrow, tight. 2 pressed, limited.
sempoa	(china) abacus.
sempor	see cempor.
sempoyongan	totter, stagger from drunkenness.
semprit	1. a whistle. 2. s- shaped cookie made of sago or tapioca flour.
sempritan	whistle (sound).
semprong	1 lamp chimney. 2 chimney, smokestack, ship's funnel. 3 tube, telescope.
semprot	1. syringe, squirt gun. 2. s-shaped cookie made of sago or tapioca flour.
semprotan	1 syringe, squirt gun. 2 scolding.
semprul	(java) mild swear word : you jerk !.
sempurat	see semburat.
sempurna	1 perfect. 2 complete.
semrawut	chaotic, disorganized.
semsem	see sengsem.
semu	1 appearance, mien. 2 apparent, pseudo-, quasi-. 3 deceit, trick.
semua	all. semua-nya all (of them), everything.
semudera	see samudera
semuhun-dawuhisme	see sumuhun-dawuhisme.
semuka	1 having the same appearance. 2 having the same front, fronting in the same direction.
semula	1 from the beginning. 2 since. 3 formerly, originally. 4 at first.
semur	dish of meat and sometimes bean curd, tempeh, etc. stewed with spices.
semusim	semusim
semut	ant. semut-rangrang/keranggang k.o. red ant.
sen	1. cent. 2 (auto.) mechanical turning signal.
sen-an	1 o.-cent piece. 2 in cents.
sena	k.o. timber tree, narra.
senada	senada
senak	1 tight, oppressed. 2 having a stuffed feeling (from overeating).
senam	1. (sport) gymnastics, calisthenics. 2. indigo blue.
senam-jantung	panic, pounding of the heart.
senamaki	senna, a purgative.
senandung	a hum.
senang	1 happy, contented. 2 like. 3 comfortable.
senang-senang	gladly.
senantiasa	always.
senapan	/senapang/ rifle, gun. senapan-angin air rifle. senapan-buluh bamboo toy gun.
senapati	(java) commander in chief.
senar	string (of musical instrument, racquet, for fishing, etc.).
senat	1 (acad.) faculty senate. 2 (pol.) senate.
senawi	boat passenger who is working his way.
senda	see sandal.
senda-gurau	senda-gurau
sendang	(java) spring, source.
sendat	stagnant, not flowing freely (water or, figuratively, s.t. else).
sendawa	1. saltpeter, gunpowder. 2. a burp.
sendel	lean on.
sendeng	1 slanting, leaning. 2 mentally off.
sender	(coll.) transmitting station. /se`nde`r/ see sandar.
sendera	see sandera.
sendi	1 hinge, joint. 2 socket. 3 pivotal strenght, principle.
sendiri	1 self (the intensifier). 2 own. 3 on o.'s own. 4 (java) most.
sendiri-sendiri	individual, apart.
sendirian	alone.
sendok	1 spoon. 2 ladle. 3 spoonlike tool (e.g. trowel, etc.).
sendorong	slide forward.
sendratari	[seni, drama, dan tari] (thea.) dance-drama, ballet.
sendu	sad.
senduduk	k.o. flowering shrub, melastoma.
senduk	see sendok.
senel	see sepur.
senen	monday. senen-kemis precarious (that is, in a situation where o. should intensify religious duties, e.g. fast on mondays and thursdays).
senentiasa	see senantiasa.
senewen	nervous, have a nervous fit.
seng	1 zinc. 2 iron sheeting. 3 roofing.
sengaja	intentional, deliberate, expressly.
sengak	1) pungent, piercing in smell (like vinegar, etc.) 2) obnoxious.
sengal	painful joints.
sengal-sengal	out of breath, having difficulty breathing.
sengam	eat up, devour gluttonously.
sengap	quiet, silent.
sengat	the sting (organ) of certain insects.
sengatan	pain or wound resulting from a sting.
sengau	talk through the nose, nasal.
senget	1 slanted. 2 placed on o. side.
