terpaan	attack.
terpacul	extracted.
terpadamkan	extinguishable.
terpakai	1 used (up). 2 canceled, void (passport, visa, etc.). 3 applied.
terpal	tarpaulin, canvas.
terpampang	put up, spread out.
terpana	1 stupified, stunned. 2 stunned, impressed.
terpancar	radiated, emitted.
terpandang	1 visible. 2 spot, catch sight of 3 esteemed, highly regarded.
terpanting	1 dart away. 2 fall with thud.
terpapas	cut off or aut.
terpasah	land, end up being s.w. plane (wood).
terpaut	see tepaut.
terpecik	arise.
terpedo	see torpedo.
terpekur	see tafakur.
terpelajar	1 educated, learned. 2 intellectual.
terpelanting	1 darted off. 2 shot away. 3 fall with thud.
terpelecok	sprained.
terpelencit	1 being pressed. 2 be projected by being filiped.
terpelengak	(jakarta) surprised.
terpelesat	dart away.
terpelosot	1 fall down. 2 go down in price.
terpendam	1 hidden, buried. 2 held in the heart.
terpenjak	1. starled. 2. glow.
terpental	flung away.
terpenten	turpentine.
terpenting	of paramount importance.
terpepet	cornered, trapped.
terperangah	be agape with surprise.
terperanjak	fall on o.'s behind.
terperanjat	starled, surprised.
terpereh-pereh	be overly meticulous.
terperonyok	crushed, crumpled.
terperosok	sink in, slip into.
terperuk	collapsed, given away.
terpesong	1 go off course. 2 miss the target.
terpetik	be picked up.
terpica	careless, negligent.
terpikir	come to o.'s mind.
terpilih	1 elected. 2 selected.
terpingkel-pingkel	double up with laughter.
terpisah	1 separate (table room). 2 get separated accidentally.
terpukau	1 stunned. 2 mesmerized.
terpulang	be left up to s.o. else, be thrown back in o.'s court.
terpuruk	be hidden, buried.
tersaruk-saruk	with the noise of dragging feet.
tersasar	tersasar
tersaur	get caught on, stumble.
tersebar	spread, scattered., dispersed.
tersebut	1 mentioned. 2 talked about.
tersedak	choke, swallow the wrong way.
tersedia	on hand, available.
tersedot	sucked up.
tersier	tertiary.
tersiksa	tortured.
tersilang	crossed.
tersilap	tersilap
tersimbah	drenched, spattered.
tersimpul	1 knotted. 2 implied, included
tersinggung	offended.
tersingkap	opened, disclosed.
tersingkirkan	be shoved aside by s.t.
tersipu-sipu	1 embarrassed, shy, bashful. 2 in a hurry.
tersiram	get s.t. splashed on it.
tersirap	1 tersirap-darah suddenly starled and terified, scared to death. 2 shingled.
tersirat	1 knotted. 2 implied, implicit.
tersisa	left (ever).
tersisih	isolated, set apart, ignored.
tersisihkan	(sport) eliminated.
tersisip	1 inserted. 2 implied, interpolated.
tersisir	combed.
tersita	confiscated.
tersobek	torn.
tersohor	famous.
tersomplok	be trapped.
tersontak	1 all of a sudden. 2 shocked.
tersorong	1 put or slid for ward. 2 forced, pushed into doing.
tersorot	gaze, look at, be directed to (eyes).
tersudu	nipped by a duck or goose.
