cuka	vinegar.
cukai, cuke	1 (customs) duty, toll, tax. 2 excise duty. 3 tariff.
cuki	1.game of draughts. 2. (vulg.) have sexual intercourse.
cukil	see cungkil.
cukin	bib.
cukit	1 pick. 2 fork (for eating0.
cukong	1 well-to-do financier, financial backer. 2 capitalist (engaged in illegal practices). 3 broker, wholesale distributor.
cukongisme	a mode of (often illegal) cooperation between authorities and (us. china) financiers.
cukulele	ukulele.
cukup	1 enough, sufficient, adequate. 2 exactly, precisely. 3 well-to-do, prosperous. 4 complete. 5 quite, rather.
cukur	1 razor, shaver. 2 tonsure.
cula	rhinoceros horn.
culan	k.o. shrub, the flowers of which are used to perfume tea and clothes.
culas	1. 1) lazy, indolen. 2) slow, plodding, poky. 3) clumsy, awkward. 2. deceitful, dishonest, not straightforward.
culik	men-culik kidnap, abduct.
cuma	1 only, merely. 2 only, but.
cuman	(coll.) only.
cumbu	1 flattery. 2 sweet talk, honeyed words. 3 joke, jest, good-natured banter.
cumi-cumi	1. squid. 2. 1) evildoer, criminal. 2) traitor. 3 enemy spy.
cumlaud	(kumlot) with distinction (esp. of academic achievements).
cumpang-camping	see compang-camping.
cun	1. inch. 2. (child language) kiss.
cunam	pliers, pincers.
cunang-cuning	time at random.
cuncum	k.o. cone-shaped pastry with sweet filling.
cunda	see cucunda.
cundang	1. defeat. 2. incite, instigate, foment.
cundrik	k.o. small kris.
cunduk	large pin for holding a chignon in place.
cung	1. (java) laddy, sonny, aterm of address. 2. k.o. machine gun.
cungap	pant, gasp (for breath).
cungkil	crowbar, lever.
cungkilan	chunks peried from s.t. (coconut, etc.)
cungkup	dome or cover over grave.
cunguk	see cecunguk.
cungul	see congol.
cungur	see jungur.
cuosangiin	indonesian advisory body assisting the japanese occupation.
cup	1. smack (of kiss). 2. that is mine ! (assertive exclamation).
cupai	neglect, ignore.
cupak	1. a measure of volume, esp. for rice. 2. bowl (of an opium pipe).
cupang	(coll.) love-bite, hickey.
cupar	1. deride, sneer at. 2. a man who is stingy and a busybody in the kitchen.
cupat	/cupet/ 1 inadequate, short, insufficient, skimpy. 2 shortsighted. 3 petty, narrow, bigoted.
cuping	ear lobe.
cuplak	see celupak.
cuplik	pick out a small portion.
cupu	/cupu-cupu/ 1 box for pills. 2 posthole, hole for mast.
cupul	too short.
cur	sound of spouting.
cura	joke, jest.
curah	men-curah fall (of rain).
curai	1 loose, detached, apart. 2 clear, evident, real.
curam	steep, precipitous, sheer, abrupt (cliff, abyss, etc.).
curang	dishonest, fraudulent, deceitful.
curat	spout, nozzle. men-curat gush out, spew forth, spout.
curat-coret	see corat-coret.
cureng	deep-socketed (of eyes). ny- (nyureng) (java) put on serious face, frown.
curi	1 steal. 2 surreptitious.
curiga	suspicious, distrusful.
curu-curu	diarhea or dysentery.
curuk	(java) waterfall.
cus	sound of fizzing or sizzling (i.e. water poured on a fire).
cutbrai	/cutbray/ see celana.
cuti	leave, furlough.
cuwil	see cuil.
cv	(commanditaire vennootschop) limited partnership.
d	d, the 4th letter of the alphabet.
d-1	(diploma satu) o.-year diploma program.
d-2	(diploma dua) two-year diploma program.
d-3	(diploma tiga) three-year diploma program.
d.	(danau) lake.
d.a.	(dengan alamat) c/o., in care of.
d/p	(dengan perantaraan) via s.o.
da	1. (china) at, on, in. 2. daa, daag (coll.) goodbye.
da'wa	see dakwa.
da'wah	see dakwah.
dab	men-dab dub a film.
dabing	dubbing.
dabung	(lit.) ber-, men- file teeth (for aesthetic or religious reasons).
dabus	see debus 2.
dacin, dacing	k.o. portable balances scale. men-dacin weigh items with such a scale.
dada	1 chest, thorax. 2 bosom.
dadah	1. medicine, medicinal herb. 2. (coll.) wave goodbye, bye-bye.
dadak	men-dadak sudden.
dadal	fall down or burst apart (as of dike or dam).
dadap	flowering trees of erythrina spp.
dadar	1 fry a mixture spread into a pan. 2 omelette.
dadih	(lit.) fermented water buffalo milk.
dadu	1. 1) dice. 2) cube. 2. pink, light brownish-red.
daduh	/dadung/ 1. (lit.) sing a lullaby. 2. (java, sunda, naut.) hawser.
daeng	(makassar) 1 tittle of rank in s. sulawesi. 2 respectful term of address for pedicab drivers.
