gae, gaek	(coll.) old.
gaet	hook, snare. meng-gaet 1 snatch, hook. 2 rake in. 3 tickle with fingers to catch s.o.'s attention.
gaga	see gogo 1.
gagah	1 strong. 2 brawny, muscular. 3 handsome, dashing. 4 heroic, brave, dauntless.
gagai	meng-gagai climb a tree by embracing the trunk.
gagak	raven, crow.
gagal	fail.
gagang	1 handle. 2 stem, stalk, spadix.
gagap	1. stammer, stutter. 2. meng-gagap feel, grope.
gagas	have an idea.
gagasan	1 idea. 2 concept.
gagau	1. meng-gagau grope. 2. ber-gagau-gagau-an scream uncontrollably.
gagu	1 mute, dumb. 2 empty-minded, void of ideas.
gaguk	see gagap 1.
gahar	meng-gahar scrub, scour.
gahara	(lit.) of royal descent.
gahari	moderate.
gaharu	k.o. tree eaglewood, the rotted xylem of which yields fragrant resinous material.
gaib	1 mysterious. 2 invisible, hidden, inscrutable (meaning, etc.). 3 disappear, vanish (of gods, etc.) 4 belonging to the invisible (divine or supernatural) sphere. 5 in absence.
gaing	(naut.) sheer.
gairah,gairat	passion, strong desire.
gait	meng-gait 1 pull, book, pluck (fruit, etc. with a pole). 2 wheedle money, etc. from s.o.). 3 swipe, steal, purloin.
gajah	1 elephant. gajah-mada 1) the prime minister of majapahit. 2) name of a university in yogyakarta. 2. (che.) bishop.
gaji	wage, salary.
gajih	(java) fatty portions of meat.
gajuh	cashew.
gajul	scoundrel, rascal. ber-gajul 1 hang around engaging in petty criminal activities. 2 act like a scoundrel.
gak	see nggak.
gakang	(ga'ang) see gaang.
gala	1. resin, pitch. 2 caulking. 3 a resin-collecting bee. gala-gala putty. 2. gala-yudha (mil.) field test. 3. main-gala-asin k.o. children's game. 4. see segala.
galah	1. 1) punting pole. 2) spear. 2. see gala 3.
galak	1 fierce, vicious. 2 sharp and mean. 3 impudent, forward.
galaksi	galaxy.
galang	girder, supporting beam.
galant	gallant.
galantin	galantine, k.o. meatloaf.
galar	1 k.o. mat made of bamboo pounded flat. 2 board, two-by-four.
galas	1 carrying pole. 2 goods carried on a shoulder pole. 2 peddle merchandise (carried in containers suspended from carrying poles).
galasi	(jakarta) k.o. poisonous spider.
galat	see ralat.
galau	hubbub, confusion.
galbani	meng-galbani galvanize.
galengan	(java) small dike in rice field.
galenika	k.o. patent medicine.
galgal	hurried and rude (in activity, behavior, etc.).
gali	1. meng-gali 1) dig ( hole, well, mine, grave). 2) dig up (potatoes, etc.), excavate, unearth, exhume. 3) delve. 4) unearth, discover. 2. [gabungan anak liar] ( sl.) 1) gang of street toughs. 2) racketeers.
galib	normal.
galing	see ikal.
galing-galing	k.o. wild climbing vine.
galir	1 loose (of screws, key, ring, etc.). 2 fluent, glib, articulate. 3 agile, nimble, spry.
galon	gallon.
galungan	balinese celebration, lasting 10 days and occurring once every 210 days according to the wuku calendar.
galur	1 furrow, groove. 2 channel.
galuran	probing back into s.t.
galvanisasi	meng-galvanisasi-kan galvanize.
gama	(gajah mada) gajah mada university in yogyakarta.
gamak	meng-gamak-gamak 1 take s.t. in hand to feel size or estimate its weight. 2 estimate, make a guess. 3 put o.'s hand threateningly on the hilt of a dagger.
gamalisasi	planting of gamal trees to eliminate elephant grass.
gamam	see gamang.
gaman	weapon. ber-gaman armed.
gamang	1 nervouse, afraid. 2 feel dizzy from heights.
gamat	sea cucumber, sea slug.
gamawan	male student at gajah mada university, yogyakarta.
gamawati	female tudent at gajah mada university, yogyakarta.
gamb.	[gambar] illustration, picture.
gambang	traditional instrument similar to xylophone. gambang-keromong 1 small popular chinese-indonesian orchestra. 2 jakarta gamelan.
gambangan	yoke.
gambar	1 picture, drawing. 2 sketch.
gambas	k.o. squash.
gambir	1 gambier, ingredient used in betel chewing, tanning and dyeing. 2 the climbing plant that produces gambier.
gamblang	(java) 1 clear, understandable.2 explicit, mincing no words.
gamblok	ng-gamblok 1 be attached to, hold on to. 2 join.
gambuh	(java) 1 a make dancer. 2 k.o. dance.
gambus	1 k.o. six-stringed, plucked instrument of arabic origin, us. accompanied by a drum. 2 band with such an instrument or a harmonium and with other instruments plaing arabian songs.
gambut	1 peat moss. 2 turf.
gambyong	(java) k.o. woman's dance. ng-gambyong perform this dance
game	(gim) 1 expression signalling end of a game. 2 (sl.) dead.
gamelan	gamelan orchestra.
gamik	see gamit.
gamis	k.o. arab-style shirt.
gamit	ber-gamit(an) 1 nudge, atap s.o. on the shoulder, arm. 2 attract s.o.'s attention.
gampang	easy.
gampar	stike, slap.
gamparan	1 slap, stroke. 2 wooden clog, flapping slipper.
gamping	limestone.
gamuh	k.o. water jar.
gan	see juragan.
gana-gini	see gono-gini.
ganang	see gunung.
ganas	savage, ferocious, vicious. 2 malignant (tumor).
gancang	quick, spray, alert.
gancaran	(java) prose.
ganco, gancu	1 pole with a hook (e.g. to pluck fruit from trees). 2 boat hook. 3 pickax.
ganda	1. fold. 2. 1) opponent of unequal strength. 2) (sport) handicap.
gandal	gandal-an, peng-gandal obstache, hindrance.
gandapita	k.o. cake.
gandapura	k.o. tree whose fragrant leaves are used for medicinal purposes and whose seeds smell like musk.
gandar	1. 1) lever, arm of scales. 2) axle of wheel. 3) carrying pole. 2. drive a vehicle.
gandaria,gandariah	ko. tree bearing edible fruit, used for medicinal purposes.
gandarukam	k.o. tree that provides resin used for caulking, soap, etc.
gandarusa	various k.o. small trees the leaves of which are used for medicinal purposes.
gandaruwa	see gendruwo.
gandasuli	k.o. medicinal herb.
gandel	clapper (bell).
ganden	see gandin.
gandeng	ber-gandeng 1 side by side, arm in arm. 2 coupled.
ganderuwo	see gendruwo.
gandes	(java) graceful, charming, elegant.
gandik	1 golden ornament worn on forehead by bride. 2 ornament on top of a kris. 3 milling stone.
gandin	large mallet.
ganding	see gandeng.
gandol	see gandul.
gandos	k.o. cookie made of rice flour and coconut.
gandrung	1 infatuated, in love, crazy about. 2 devoted to a cause.
gandu	k.o. flat black seed as marble.
ganduh	ber-, meng- barter, exchange by providing s.t. extra in the exchance.
gandul	ber-gandul-an hang down (of several things).
gandum	1 wheat. 2 wheat flour.
gandung	outrigger.
gandungan	see gadungan.
ganesa	ganesha, hindu elephant god.
gang	1. 1) alley, narrow street. 2) corridor, passageway. 2. gang (of thieves, etc.).
ganggang	1. algae, seaweed. 2. space between two objects. 3. ber-gangang 1) warm o.s. by a fire. 2) warm things on a fire.
ganggu	meng-ganggu 1 disturb. 2 disturb, intrude on, interfere with. 3 annoy, molest.
ganggut	meng-ganggut pull, tug.
